step_idx,avg_score,loss_train,avg_winning,avg_diff
0.478,0.022,0.50225,246000,0.0
0.478,0.017,0.5026,247000,0.0
0.504,0.014,0.52931,248000,0.0
0.475,0.02,0.49835,249000,0.0
0.493,0.017,0.51592,250000,0.0
0.495,0.021,0.5185,251000,0.0
0.493,0.015,0.51805,252000,0.0
0.499,0.013,0.52443,253000,0.0
0.499,0.02,0.52496,254000,0.0
0.495,0.019,0.5198,255000,0.0
0.493,0.017,0.51811,256000,0.0
0.495,0.016,0.51983,257000,0.0
0.497,0.01,0.52197,258000,0.0
0.5,0.012,0.52441,259000,0.0
0.512,0.011,0.53708,260000,0.0
0.498,0.015,0.523,261000,0.0
0.51,0.01,0.53508,262000,0.0
0.509,0.017,0.53494,263000,0.0
0.509,0.013,0.53499,264000,0.0
0.514,0.019,0.53985,265000,0.0
0.524,0.011,0.54868,266000,0.0
0.518,0.017,0.54258,267000,0.0
0.519,0.013,0.54423,268000,0.0
0.514,0.014,0.53921,269000,0.0
0.507,0.016,0.53355,270000,0.0
0.508,0.012,0.53447,271000,0.0
0.515,0.015,0.54149,272000,0.0
0.515,0.014,0.53957,273000,0.0
,0.0,0.48,0.014
273000,0.51229,0.0,0.485,0.013
274000,0.49027,0.0,0.464,0.012
275000,0.49856,0.0,0.472,0.01
276000,0.49579,0.0,0.47,0.012
