avg_score,loss_train,step_idx,avg_winning,avg_diff
0.61691,0.0,159000,0.605,0.02
0.58029,0.0,160000,0.57,0.005
0.6157,0.0,161000,0.605,0.02
0.58044,0.0,162000,0.57,0.025
0.56973,0.0,163000,0.56,0.015
0.61185,0.0,164000,0.6,0.015
0.57048,0.0,165000,0.56,0.03
0.53436,0.0,166000,0.525,0.005
0.5554,0.0,167000,0.545,0.01
0.58027,0.0,168000,0.57,0.03
0.60272,0.0,169000,0.59,0.03
0.5656,0.0,170000,0.555,0.02
0.61811,0.0,171000,0.61,0.005
0.52979,0.0,172000,0.52,0.035
0.62156,0.0,173000,0.61,0.02
0.61619,0.0,174000,0.605,0.02
0.5784,0.0,175000,0.57,0.015
0.5652,0.0,176000,0.555,0.015
0.60976,0.0,177000,0.6,0.005
0.60125,0.0,178000,0.59,0.005
0.56487,0.0,179000,0.555,0.025
0.59463,0.0,180000,0.585,0.01
0.59069,0.0,181000,0.58,0.015
0.63248,0.0,182000,0.62,0.015
0.57133,0.0,183000,0.56,0.0
0.58975,0.0,184000,0.58,0.01
0.61594,0.0,185000,0.605,0.02
0.57514,0.0,186000,0.565,0.005
0.59605,0.0,187000,0.585,0.03
0.6206,0.0,188000,0.61,0.03
0.60531,0.0,189000,0.595,-0.005
0.57693,0.0,190000,0.565,0.015
0.56491,0.0,191000,0.555,0.02
0.61464,0.0,192000,0.605,0.03
0.61065,0.0,193000,0.6,0.03
0.58074,0.0,194000,0.57,0.03
0.57625,0.0,195000,0.565,0.015
0.55623,0.0,196000,0.545,0.01
0.58686,0.0,197000,0.575,0.015
0.67294,0.0,198000,0.66,0.015
0.54526,0.0,199000,0.535,-0.005
0.6269,0.0,200000,0.615,0.025
0.59695,0.0,201000,0.585,0.015
0.63203,0.0,202000,0.62,0.0
0.61652,0.0,203000,0.605,0.0
0.56075,0.0,204000,0.55,0.005
0.59325,0.0,205000,0.58,0.01
0.61437,0.0,206000,0.6,0.025
0.56892,0.0,207000,0.555,0.025
0.5753,0.0,208000,0.565,0.015
0.57905,0.0,209000,0.57,0.04
0.59566,0.0,210000,0.585,0.03
0.57371,0.0,211000,0.56,0.005
0.63405,0.0,212000,0.62,0.01
0.57754,0.0,213000,0.565,0.015
0.56191,0.0,214000,0.55,0.01
0.56715,0.0,215000,0.555,0.035
0.58938,0.0,216000,0.575,0.02
0.59434,0.0,217000,0.58,0.05
0.61877,0.0,218000,0.605,0.005
0.60683,0.0,219000,0.595,0.02
0.61374,0.0,220000,0.6,0.01
0.56794,0.0,221000,0.555,0.025
0.60889,0.0,222000,0.595,0.01
0.64405,0.0,223000,0.63,0.02
0.59864,0.0,224000,0.585,0.04
0.6135,0.0,225000,0.6,0.02
0.55269,0.0,226000,0.54,0.03
0.57509,0.0,227000,0.56,0.0
0.59038,0.0,228000,0.575,0.03
0.61714,0.0,229000,0.6,0.0
