avg_winning,step_idx,avg_score,avg_diff,loss_train
0.353,159000,0.37366,0.018,0.0
0.353,160000,0.37428,0.014,0.0
0.36,161000,0.38041,0.016,0.0
0.359,162000,0.37995,0.016,0.0
0.35,163000,0.3719,0.016,0.0
0.372,164000,0.3929,0.017,0.0
0.371,165000,0.3922,0.02,0.0
0.363,166000,0.38594,0.013,0.0
0.367,167000,0.38958,0.013,0.0
0.362,168000,0.38433,0.014,0.0
0.357,169000,0.37916,0.012,0.0
0.382,170000,0.40443,0.017,0.0
0.358,171000,0.38079,0.014,0.0
0.383,172000,0.40459,0.016,0.0
0.373,173000,0.39421,0.016,0.0
0.38,174000,0.40033,0.015,0.0
0.37,175000,0.39145,0.017,0.0
0.371,176000,0.39313,0.018,0.0
0.371,177000,0.39373,0.015,0.0
0.36,178000,0.38333,0.011,0.0
0.376,179000,0.39857,0.009,0.0
0.36,180000,0.38145,0.014,0.0
0.373,181000,0.39585,0.013,0.0
0.361,182000,0.38456,0.01,0.0
0.366,183000,0.38921,0.014,0.0
0.387,184000,0.41,0.012,0.0
0.377,185000,0.40006,0.016,0.0
0.371,186000,0.3944,0.016,0.0
0.38,187000,0.40229,0.011,0.0
0.384,188000,0.40414,0.013,0.0
0.385,189000,0.4046,0.013,0.0
0.373,190000,0.39253,0.013,0.0
0.407,191000,0.42586,0.017,0.0
0.401,192000,0.41855,0.022,0.0
0.407,193000,0.42443,0.016,0.0
0.396,194000,0.41533,0.014,0.0
0.393,195000,0.41242,0.009,0.0
0.392,196000,0.41074,0.015,0.0
0.383,197000,0.40166,0.02,0.0
0.389,198000,0.40912,0.011,0.0
0.385,199000,0.40494,0.009,0.0
0.369,200000,0.38714,0.006,0.0
0.39,201000,0.40734,0.016,0.0
0.391,202000,0.40745,0.012,0.0
0.381,203000,0.39838,0.01,0.0
0.397,204000,0.41508,0.017,0.0
0.371,205000,0.3893,0.018,0.0
0.396,206000,0.41561,0.016,0.0
0.367,207000,0.38692,0.013,0.0
0.388,208000,0.40754,0.017,0.0
0.375,209000,0.39302,0.015,0.0
0.363,210000,0.38042,0.015,0.0
0.387,211000,0.40569,0.023,0.0
0.386,212000,0.40422,0.021,0.0
0.379,213000,0.39597,0.017,0.0
0.397,214000,0.41547,0.016,0.0
0.401,215000,0.41872,0.017,0.0
0.403,216000,0.42212,0.023,0.0
0.39,217000,0.40828,0.017,0.0
0.381,218000,0.39982,0.011,0.0
0.397,219000,0.4158,0.017,0.0
0.392,220000,0.41108,0.019,0.0
0.411,221000,0.42949,0.019,0.0
0.371,222000,0.38911,0.012,0.0
0.387,223000,0.40623,0.019,0.0
0.392,224000,0.41057,0.016,0.0
0.394,225000,0.41216,0.017,0.0
0.398,226000,0.416,0.02,0.0
0.398,227000,0.41677,0.016,0.0
0.388,228000,0.40587,0.018,0.0
0.412,229000,0.43055,0.02,0.0
0.394,230000,0.41141,0.01,0.0
0.396,231000,0.41243,0.022,0.0
0.399,232000,0.41579,0.015,0.0
0.399,233000,0.41703,0.02,0.0
0.386,234000,0.40542,0.021,0.0
0.4,235000,0.41965,0.013,0.0
0.392,236000,0.40969,0.024,0.0
0.39,237000,0.40737,0.023,0.0
0.415,238000,0.43443,0.016,0.0
0.408,239000,0.42771,0.017,0.0
0.414,240000,0.4341,0.021,0.0
0.396,241000,0.41628,0.02,0.0
0.398,242000,0.41884,0.018,0.0
0.406,243000,0.4266,0.022,0.0
0.429,244000,0.45001,0.018,0.0
0.417,245000,0.43794,0.02,0.0
0.415,246000,0.43618,0.022,0.0
0.403,247000,0.42407,0.014,0.0
0.421,248000,0.44136,0.013,0.0
0.416,249000,0.43616,0.022,0.0
0.44,250000,0.46137,0.017,0.0
0.414,251000,0.4349,0.014,0.0
0.43,252000,0.45196,0.008,0.0
0.426,253000,0.44792,0.017,0.0
0.425,254000,0.4469,0.007,0.0
0.422,255000,0.44537,0.012,0.0
0.44,256000,0.46211,0.015,0.0
0.442,257000,0.46353,0.017,0.0
0.43,258000,0.45093,0.022,0.0
0.427,259000,0.44789,0.016,0.0
0.43,260000,0.45057,0.016,0.0
0.431,261000,0.45144,0.017,0.0
0.412,262000,0.43258,0.007,0.0
0.437,263000,0.4586,0.017,0.0
0.42,264000,0.44018,0.019,0.0
0.44,265000,0.45996,0.014,0.0
0.412,266000,0.43195,0.019,0.0
0.418,267000,0.43785,0.014,0.0
0.423,268000,0.44452,0.015,0.0
0.411,269000,0.43348,0.013,0.0
0.412,270000,0.43409,0.019,0.0
0.403,271000,0.42388,0.019,0.0
0.415,272000,0.43704,0.029,0.0
0.423,273000,0.44291,0.016,0.0
0.429,274000,0.44786,0.013,0.0
0.42,275000,0.43859,0.018,0.0
0.428,276000,0.44795,0.014,0.0
0.412,277000,0.43194,0.025,0.0
0.417,278000,0.43657,0.016,0.0
0.427,279000,0.44592,0.016,0.0
0.439,280000,0.45678,0.01,0.0
0.428,281000,0.44712,0.008,0.0
0.442,282000,0.45958,0.007,0.0
0.415,283000,0.43247,0.02,0.0
0.432,284000,0.4504,0.014,0.0
0.442,285000,0.46092,0.023,0.0
0.435,286000,0.45311,0.012,0.0
0.432,287000,0.45058,0.018,0.0
0.436,288000,0.45423,0.012,0.0
0.442,289000,0.46156,0.016,0.0
0.438,290000,0.45764,0.01,0.0
0.416,291000,0.43574,0.01,0.0
0.42,292000,0.43969,0.014,0.0
0.42,293000,0.43877,0.016,0.0
0.437,294000,0.45659,0.015,0.0
0.418,295000,0.43771,0.021,0.0
0.439,296000,0.45695,0.017,0.0
0.439,297000,0.45639,0.017,0.0
0.434,298000,0.45219,0.013,0.0
