loss_train,avg_diff,avg_winning,avg_score,step_idx
0.0,0.024,0.455,0.49852,1000
0.0,0.017,0.44,0.48446,2000
0.0,0.021,0.435,0.47845,3000
0.0,0.01,0.424,0.46726,4000
0.0,0.018,0.417,0.45977,5000
0.0,0.017,0.427,0.47066,6000
0.0,0.018,0.449,0.49315,7000
0.0,0.018,0.44,0.48474,8000
0.0,0.014,0.457,0.50292,9000
0.0,0.024,0.43,0.47513,10000
0.0,0.005,0.429,0.47348,11000
0.0,0.018,0.451,0.49773,12000
0.0,0.02,0.433,0.47885,13000
0.0,0.007,0.435,0.48009,14000
0.0,0.011,0.453,0.49882,15000
0.0,0.018,0.45,0.49487,16000
0.0,0.02,0.451,0.49696,17000
0.0,0.011,0.442,0.48694,18000
0.0,0.021,0.453,0.49883,19000
0.0,0.01,0.462,0.50736,20000
0.0,0.017,0.465,0.51109,21000
0.0,0.022,0.466,0.51161,22000
0.0,0.02,0.465,0.51056,23000
0.0,0.025,0.457,0.50393,24000
0.0,0.019,0.464,0.51039,25000
0.0,0.019,0.455,0.50151,26000
0.0,0.016,0.452,0.49874,27000
0.0,0.021,0.445,0.49067,28000
0.0,0.016,0.45,0.49594,29000
0.0,0.011,0.45,0.49677,30000
0.0,0.021,0.458,0.50511,31000
0.0,0.019,0.472,0.51863,32000
0.0,0.01,0.469,0.51613,33000
0.0,0.015,0.464,0.51136,34000
0.0,0.022,0.453,0.49957,35000
0.0,0.024,0.453,0.50036,36000
0.0,0.016,0.458,0.50468,37000
0.0,0.015,0.469,0.51561,38000
0.0,0.031,0.462,0.50841,39000
0.0,0.019,0.474,0.52118,40000
0.0,0.016,0.465,0.51193,41000
0.0,0.015,0.46,0.50724,42000
0.0,0.014,0.454,0.50149,43000
0.0,0.021,0.459,0.50575,44000
0.0,0.015,0.465,0.51186,45000
0.0,0.019,0.471,0.5189,46000
0.0,0.01,0.478,0.52634,47000
0.0,0.024,0.481,0.52878,48000
0.0,0.026,0.474,0.52141,49000
0.0,0.016,0.486,0.53367,50000
0.0,0.025,0.482,0.52982,51000
0.0,0.023,0.467,0.51448,52000
0.0,0.016,0.486,0.53455,53000
0.0,0.019,0.472,0.51952,54000
0.0,0.017,0.485,0.53306,55000
0.0,0.023,0.482,0.52967,56000
0.0,0.024,0.473,0.52121,57000
0.0,0.02,0.486,0.5333,58000
0.0,0.021,0.482,0.5294,59000
0.0,0.015,0.49,0.53709,60000
0.0,0.01,0.491,0.53949,61000
0.0,0.016,0.483,0.53139,62000
0.0,0.016,0.478,0.52562,63000
0.0,0.026,0.493,0.54142,64000
0.0,0.02,0.486,0.53413,65000
0.0,0.009,0.483,0.53144,66000
0.0,0.022,0.481,0.53034,67000
0.0,0.008,0.479,0.5275,68000
0.0,0.017,0.493,0.54156,69000
0.0,0.018,0.475,0.52316,70000
0.0,0.017,0.489,0.53617,71000
0.0,0.029,0.491,0.53918,72000
0.0,0.021,0.487,0.53407,73000
0.0,0.015,0.495,0.54234,74000
0.0,0.009,0.497,0.54488,75000
0.0,0.015,0.495,0.5422,76000
0.0,0.012,0.472,0.51953,77000
