avg_score,avg_diff,step_idx,loss_train,avg_winning
0.52705,0.02,159000,0.0,0.502
0.51595,0.015,160000,0.0,0.491
0.4981,0.009,161000,0.0,0.474
0.52227,0.016,162000,0.0,0.498
0.51262,0.015,163000,0.0,0.489
0.50708,0.011,164000,0.0,0.482
0.51257,0.014,165000,0.0,0.488
0.50013,0.016,166000,0.0,0.475
0.50703,0.013,167000,0.0,0.482
0.51164,0.014,168000,0.0,0.485
0.52543,0.012,169000,0.0,0.499
0.51208,0.02,170000,0.0,0.485
0.51965,0.014,171000,0.0,0.492
0.50123,0.02,172000,0.0,0.475
0.51477,0.013,173000,0.0,0.488
0.51084,0.018,174000,0.0,0.485
0.51827,0.022,175000,0.0,0.493
0.51316,0.02,176000,0.0,0.489
0.53219,0.012,177000,0.0,0.508
0.51274,0.016,178000,0.0,0.49
0.51032,0.016,179000,0.0,0.488
0.51673,0.01,180000,0.0,0.493
0.50711,0.023,181000,0.0,0.485
0.50261,0.016,182000,0.0,0.48
0.51939,0.018,183000,0.0,0.496
0.51985,0.014,184000,0.0,0.495
0.51445,0.015,185000,0.0,0.49
0.52445,0.009,186000,0.0,0.499
0.51422,0.019,187000,0.0,0.489
0.52303,0.016,188000,0.0,0.496
0.50965,0.015,189000,0.0,0.482
0.50718,0.017,190000,0.0,0.48
0.52205,0.014,191000,0.0,0.494
0.5359,0.015,192000,0.0,0.507
0.53389,0.01,193000,0.0,0.505
0.53306,0.015,194000,0.0,0.506
0.52752,0.016,195000,0.0,0.502
0.5169,0.012,196000,0.0,0.491
0.51843,0.011,197000,0.0,0.494
0.53413,0.012,198000,0.0,0.511
0.5121,0.016,199000,0.0,0.49
0.5373,0.014,200000,0.0,0.514
0.52638,0.015,201000,0.0,0.502
0.52155,0.016,202000,0.0,0.497
0.51791,0.016,203000,0.0,0.492
0.528,0.02,204000,0.0,0.501
0.51898,0.017,205000,0.0,0.492
0.52821,0.015,206000,0.0,0.502
0.52865,0.016,207000,0.0,0.502
0.53867,0.016,208000,0.0,0.511
0.52692,0.015,209000,0.0,0.499
0.54085,0.013,210000,0.0,0.513
0.52582,0.012,211000,0.0,0.499
0.53389,0.014,212000,0.0,0.507
0.55003,0.015,213000,0.0,0.524
0.51622,0.008,214000,0.0,0.491
0.52569,0.021,215000,0.0,0.5
0.52919,0.013,216000,0.0,0.504
0.51976,0.018,217000,0.0,0.494
0.52057,0.018,218000,0.0,0.496
0.5174,0.013,219000,0.0,0.491
0.51361,0.013,220000,0.0,0.489
0.53396,0.015,221000,0.0,0.508
0.53567,0.013,222000,0.0,0.509
0.5342,0.014,223000,0.0,0.507
0.52198,0.016,224000,0.0,0.494
0.53535,0.01,225000,0.0,0.508
0.50362,0.014,226000,0.0,0.478
0.51943,0.012,227000,0.0,0.494
0.53127,0.016,228000,0.0,0.504
0.52855,0.01,229000,0.0,0.5
0.52849,0.014,230000,0.0,0.5
0.51839,0.016,231000,0.0,0.491
0.52889,0.008,232000,0.0,0.504
0.51721,0.01,233000,0.0,0.492
0.51828,0.007,234000,0.0,0.493
0.54411,0.015,235000,0.0,0.519
0.5314,0.012,236000,0.0,0.507
0.51849,0.017,237000,0.0,0.494
0.5158,0.02,238000,0.0,0.493
0.51453,0.021,239000,0.0,0.491
0.5131,0.018,240000,0.0,0.489
0.52048,0.013,241000,0.0,0.496
0.51153,0.014,242000,0.0,0.486
0.52072,0.023,243000,0.0,0.495
0.51473,0.016,244000,0.0,0.489
0.51492,0.014,245000,0.0,0.489
0.52399,0.017,246000,0.0,0.498
0.51195,0.014,247000,0.0,0.487
0.52729,0.013,248000,0.0,0.503
0.52493,0.01,249000,0.0,0.502
0.52493,0.016,250000,0.0,0.502
0.53061,0.015,251000,0.0,0.507
0.52102,0.016,252000,0.0,0.499
0.52398,0.01,253000,0.0,0.501
0.53378,0.008,254000,0.0,0.509
0.52009,0.009,255000,0.0,0.497
0.52193,0.013,256000,0.0,0.498
0.53295,0.011,257000,0.0,0.508
0.5242,0.009,258000,0.0,0.5
0.52989,0.015,259000,0.0,0.506
0.50918,0.016,260000,0.0,0.487
0.52189,0.016,261000,0.0,0.499
0.51085,0.013,262000,0.0,0.488
0.51989,0.014,263000,0.0,0.498
0.53266,0.012,264000,0.0,0.511
0.51777,0.013,265000,0.0,0.496
0.50824,0.01,266000,0.0,0.486
0.51852,0.018,267000,0.0,0.495
0.52616,0.015,268000,0.0,0.503
0.51581,0.014,269000,0.0,0.492
0.52616,0.015,270000,0.0,0.502
0.53387,0.013,271000,0.0,0.509
0.53347,0.013,272000,0.0,0.51
