avg_diff,avg_score,loss_train,avg_winning,step_idx
0.013,0.51407,0.0,0.467,159000
0.012,0.51858,0.0,0.472,160000
0.011,0.51183,0.0,0.466,161000
0.023,0.51866,0.0,0.473,162000
0.013,0.53053,0.0,0.484,163000
0.008,0.51278,0.0,0.468,164000
0.001,0.52334,0.0,0.478,165000
0.009,0.52277,0.0,0.476,166000
0.005,0.52553,0.0,0.48,167000
0.019,0.52671,0.0,0.48,168000
0.012,0.53517,0.0,0.489,169000
0.012,0.53118,0.0,0.484,170000
0.022,0.52501,0.0,0.478,171000
0.025,0.52427,0.0,0.477,172000
0.013,0.52611,0.0,0.48,173000
0.011,0.53053,0.0,0.484,174000
0.023,0.52699,0.0,0.482,175000
0.015,0.52403,0.0,0.479,176000
0.015,0.50829,0.0,0.463,177000
0.024,0.53576,0.0,0.49,178000
0.017,0.51666,0.0,0.471,179000
0.014,0.52225,0.0,0.476,180000
0.02,0.52943,0.0,0.485,181000
0.02,0.50532,0.0,0.461,182000
0.017,0.52166,0.0,0.477,183000
0.011,0.50366,0.0,0.459,184000
0.016,0.51167,0.0,0.467,185000
0.025,0.50838,0.0,0.465,186000
0.019,0.51089,0.0,0.467,187000
0.026,0.52652,0.0,0.482,188000
0.021,0.51371,0.0,0.469,189000
0.023,0.5272,0.0,0.483,190000
0.022,0.51928,0.0,0.475,191000
0.026,0.50839,0.0,0.465,192000
