avg_winning,avg_diff,step_idx,avg_score,loss_train
0.457,0.013,159000,0.47962,0.0
0.444,0.016,160000,0.46675,0.0
0.452,0.018,161000,0.47417,0.0
0.426,0.016,162000,0.44896,0.0
0.458,0.007,163000,0.48068,0.0
0.443,0.013,164000,0.46548,0.0
0.44,0.013,165000,0.46252,0.0
0.452,0.015,166000,0.47406,0.0
0.425,0.013,167000,0.44641,0.0
0.455,0.014,168000,0.47647,0.0
0.434,0.018,169000,0.4545,0.0
0.438,0.013,170000,0.45987,0.0
0.456,0.011,171000,0.47711,0.0
0.449,0.017,172000,0.4725,0.0
0.434,0.017,173000,0.45687,0.0
0.447,0.016,174000,0.47051,0.0
0.443,0.011,175000,0.46583,0.0
0.433,0.018,176000,0.45599,0.0
0.413,0.02,177000,0.43424,0.0
0.416,0.015,178000,0.43912,0.0
0.448,0.014,179000,0.47186,0.0
0.431,0.015,180000,0.45533,0.0
0.44,0.021,181000,0.46451,0.0
0.429,0.02,182000,0.45273,0.0
0.432,0.014,183000,0.45484,0.0
0.429,0.015,184000,0.45119,0.0
0.442,0.016,185000,0.4657,0.0
0.437,0.013,186000,0.46051,0.0
0.434,0.016,187000,0.45682,0.0
0.436,0.019,188000,0.45912,0.0
0.409,0.015,189000,0.43082,0.0
0.454,0.011,190000,0.47682,0.0
0.444,0.02,191000,0.46605,0.0
0.429,0.014,192000,0.45062,0.0
0.447,0.017,193000,0.46897,0.0
0.431,0.019,194000,0.45185,0.0
0.436,0.012,195000,0.45405,0.0
0.438,0.012,196000,0.45688,0.0
0.444,0.009,197000,0.46254,0.0
0.444,0.016,198000,0.46243,0.0
0.438,0.01,199000,0.45556,0.0
0.45,0.019,200000,0.46967,0.0
0.444,0.012,201000,0.46312,0.0
0.431,0.011,202000,0.44945,0.0
0.437,0.016,203000,0.45583,0.0
0.458,0.007,204000,0.47806,0.0
0.442,0.018,205000,0.46253,0.0
0.45,0.01,206000,0.47023,0.0
0.454,0.016,207000,0.47467,0.0
0.453,0.013,208000,0.47229,0.0
0.433,0.016,209000,0.45195,0.0
0.434,0.015,210000,0.45355,0.0
0.436,0.009,211000,0.45811,0.0
0.437,0.013,212000,0.45943,0.0
0.425,0.015,213000,0.44763,0.0
0.422,0.019,214000,0.44492,0.0
0.424,0.016,215000,0.44508,0.0
