avg_score,step_idx,avg_winning,avg_diff,loss_train
0.551,159000,0.532,0.014,0.0
0.57548,160000,0.557,0.012,0.0
0.58272,161000,0.564,0.017,0.0
0.59367,162000,0.574,0.015,0.0
0.58186,163000,0.564,0.017,0.0
0.58679,164000,0.569,0.022,0.0
0.58359,165000,0.565,0.016,0.0
0.58411,166000,0.566,0.015,0.0
0.57066,167000,0.552,0.014,0.0
0.58225,168000,0.562,0.015,0.0
0.59661,169000,0.576,0.016,0.0
0.59198,170000,0.572,0.017,0.0
0.60164,171000,0.582,0.015,0.0
0.59811,172000,0.579,0.012,0.0
0.6107,173000,0.59,0.016,0.0
0.60179,174000,0.581,0.016,0.0
0.59704,175000,0.575,0.012,0.0
0.59494,176000,0.575,0.015,0.0
0.59314,177000,0.573,0.012,0.0
0.61281,178000,0.593,0.013,0.0
0.60364,179000,0.584,0.013,0.0
0.60381,180000,0.584,0.009,0.0
0.59986,181000,0.581,0.011,0.0
0.59541,182000,0.575,0.007,0.0
0.60086,183000,0.581,0.01,0.0
0.60248,184000,0.583,0.009,0.0
0.61284,185000,0.595,0.012,0.0
0.60086,186000,0.584,0.009,0.0
0.60248,187000,0.585,0.011,0.0
0.62106,188000,0.602,0.014,0.0
0.60602,189000,0.588,0.01,0.0
0.59779,190000,0.579,0.011,0.0
0.60744,191000,0.588,0.014,0.0
0.61851,192000,0.597,0.011,0.0
0.59712,193000,0.576,0.011,0.0
0.59451,194000,0.573,0.011,0.0
0.60765,195000,0.585,0.011,0.0
0.60763,196000,0.586,0.017,0.0
0.60527,197000,0.583,0.009,0.0
0.59498,198000,0.574,0.01,0.0
0.61862,199000,0.596,0.007,0.0
0.60238,200000,0.582,0.009,0.0
0.6085,201000,0.587,0.013,0.0
0.61611,202000,0.596,0.008,0.0
0.60129,203000,0.58,0.007,0.0
0.60838,204000,0.588,0.009,0.0
0.61395,205000,0.594,0.012,0.0
0.60437,206000,0.584,0.011,0.0
0.61319,207000,0.591,0.009,0.0
0.61558,208000,0.593,0.01,0.0
0.60673,209000,0.585,0.01,0.0
0.61219,210000,0.591,0.01,0.0
0.60373,211000,0.581,0.01,0.0
0.6187,212000,0.597,0.009,0.0
0.60584,213000,0.582,0.007,0.0
0.61781,214000,0.596,0.003,0.0
0.60374,215000,0.583,0.012,0.0
nan,216000,0.581,0.009,0.0
0.60102,217000,0.58,0.015,0.0
0.60369,218000,0.582,0.013,0.0
0.60494,219000,0.585,0.011,0.0
0.60156,220000,0.581,0.009,0.0
0.60396,221000,0.582,0.017,0.0
0.60658,222000,0.584,0.009,0.0
0.60506,223000,0.583,0.008,0.0
0.57427,224000,0.552,0.017,0.0
0.58606,225000,0.564,0.013,0.0
0.60747,226000,0.586,0.011,0.0
0.59413,227000,0.573,0.012,0.0
0.57986,228000,0.559,0.007,0.0
0.59008,229000,0.57,0.008,0.0
0.58896,230000,0.569,0.008,0.0
0.61917,231000,0.599,0.012,0.0
0.60068,232000,0.58,0.004,0.0
0.59935,233000,0.578,0.009,0.0
0.62021,234000,0.598,0.011,0.0
0.59074,235000,0.57,0.01,0.0
0.58566,236000,0.563,0.011,0.0
0.60915,237000,0.587,0.009,0.0
0.59106,238000,0.571,0.006,0.0
0.59908,239000,0.577,0.01,0.0
0.59973,240000,0.579,0.011,0.0
0.60323,241000,0.583,0.01,0.0
0.60588,242000,0.585,0.009,0.0
0.61677,243000,0.595,0.011,0.0
0.59854,244000,0.578,0.014,0.0
0.60975,245000,0.589,0.01,0.0
0.59816,246000,0.577,0.012,0.0
0.58774,247000,0.568,0.009,0.0
0.59589,248000,0.576,0.01,0.0
0.60586,249000,0.587,0.013,0.0
0.62257,250000,0.602,0.014,0.0
0.60159,251000,0.581,0.012,0.0
0.6042,252000,0.583,0.003,0.0
0.60474,253000,0.586,0.009,0.0
0.60276,254000,0.586,0.01,0.0
0.60743,255000,0.587,0.014,0.0
0.60079,256000,0.579,0.008,0.0
0.60477,257000,0.583,0.009,0.0
0.60212,258000,0.58,0.009,0.0
0.58593,259000,0.564,0.01,0.0
0.60426,260000,0.582,0.012,0.0
0.59002,261000,0.569,0.016,0.0
0.59627,262000,0.576,0.013,0.0
0.59325,263000,0.572,0.013,0.0
0.60142,264000,0.58,0.008,0.0
0.60973,265000,0.59,0.007,0.0
0.60046,266000,0.581,0.01,0.0
0.58276,267000,0.563,0.012,0.0
0.60779,268000,0.586,0.012,0.0
0.61229,269000,0.591,0.012,0.0
0.59824,270000,0.577,0.014,0.0
0.58386,271000,0.563,0.017,0.0
0.61013,272000,0.589,0.013,0.0
0.60056,273000,0.58,0.01,0.0
0.59833,274000,0.578,0.01,0.0
0.6066,275000,0.587,0.005,0.0
0.61168,276000,0.592,0.01,0.0
0.62128,277000,0.601,0.009,0.0
0.59337,278000,0.575,0.01,0.0
0.60655,279000,0.586,0.011,0.0
0.60396,280000,0.583,0.008,0.0
0.61575,281000,0.594,0.011,0.0
0.61168,282000,0.59,0.009,0.0
0.63017,283000,0.608,0.006,0.0
0.58218,284000,0.56,0.014,0.0
0.63365,285000,0.612,0.01,0.0
0.5996,286000,0.577,0.007,0.0
0.61189,287000,0.59,0.012,0.0
0.62771,288000,0.606,0.013,0.0
0.62178,289000,0.6,0.013,0.0
0.63398,290000,0.613,0.006,0.0
0.61754,291000,0.595,0.007,0.0
0.62179,292000,0.6,0.015,0.0
0.62053,293000,0.598,0.011,0.0
0.61572,294000,0.594,0.015,0.0
0.60182,295000,0.58,0.011,0.0
0.62766,296000,0.606,0.007,0.0
0.61848,297000,0.598,0.012,0.0
0.62218,298000,0.601,0.011,0.0
0.59346,299000,0.574,0.012,0.0
0.61612,300000,0.596,0.005,0.0
0.61492,301000,0.593,0.013,0.0
0.62074,302000,0.598,0.006,0.0
0.63036,303000,0.608,0.016,0.0
0.62086,304000,0.6,0.011,0.0
0.60208,305000,0.58,0.006,0.0
0.61302,306000,0.592,0.008,0.0
0.61936,307000,0.598,0.01,0.0
0.62169,308000,0.6,0.012,0.0
0.61566,309000,0.595,0.01,0.0
0.61105,310000,0.59,0.005,0.0
0.61089,311000,0.59,0.005,0.0
0.59176,312000,0.57,0.011,0.0
0.60028,313000,0.579,0.009,0.0
0.60589,314000,0.585,0.004,0.0
0.60943,315000,0.588,0.009,0.0
0.62507,316000,0.603,0.006,0.0
0.61572,317000,0.593,0.013,0.0
0.58765,318000,0.568,0.007,0.0
0.6072,319000,0.587,0.009,0.0
0.62499,320000,0.605,0.005,0.0
0.60855,321000,0.59,0.009,0.0
0.60593,322000,0.587,0.009,0.0
0.61379,323000,0.594,0.01,0.0
0.60249,324000,0.582,0.005,0.0
0.61228,325000,0.591,0.006,0.0
0.62597,326000,0.605,0.008,0.0
0.61757,327000,0.596,0.004,0.0
0.62273,328000,0.601,0.009,0.0
0.60689,329000,0.587,0.009,0.0
0.59887,330000,0.579,0.013,0.0
0.64434,331000,0.623,0.01,0.0
0.62603,332000,0.605,0.009,0.0
0.61853,333000,0.597,0.01,0.0
0.62963,334000,0.608,0.011,0.0
0.6312,335000,0.608,0.01,0.0
0.6206,336000,0.6,0.008,0.0
0.61219,337000,0.591,0.011,0.0
0.61382,338000,0.593,0.011,0.0
0.62063,339000,0.6,0.008,0.0
0.62637,340000,0.606,0.007,0.0
0.61115,341000,0.59,0.009,0.0
0.59666,342000,0.576,0.008,0.0
0.61077,343000,0.589,0.006,0.0
0.60437,344000,0.583,0.011,0.0
0.60483,345000,0.584,0.006,0.0
0.60622,346000,0.584,0.011,0.0
0.5993,347000,0.578,0.005,0.0
0.60865,348000,0.588,0.008,0.0
0.62564,349000,0.605,0.005,0.0
0.61655,350000,0.596,0.008,0.0
0.62393,351000,0.604,0.003,0.0
0.62056,352000,0.599,0.015,0.0
0.62519,353000,0.604,0.009,0.0
0.60865,354000,0.589,0.006,0.0
0.624,355000,0.604,0.006,0.0
0.60959,356000,0.589,0.01,0.0
0.62623,357000,0.605,0.008,0.0
0.61978,358000,0.601,0.008,0.0
0.62352,359000,0.602,0.005,0.0
0.60097,360000,0.58,0.006,0.0
0.61088,361000,0.59,0.009,0.0
0.61911,362000,0.598,0.007,0.0
0.61424,363000,0.593,0.007,0.0
