loss_train,avg_diff,avg_score,step_idx,avg_winning
0.0,0.01,0.56026,160000,0.539
0.0,0.011,0.5562,161000,0.536
0.0,0.02,0.55304,162000,0.534
0.0,0.011,0.57334,163000,0.555
0.0,0.013,0.54386,164000,0.528
0.0,0.014,0.55745,165000,0.539
0.0,0.015,0.54575,166000,0.528
0.0,0.009,0.55366,167000,0.534
0.0,0.012,0.56059,168000,0.542
0.0,0.009,0.58222,169000,0.562
0.0,0.012,0.58925,170000,0.569
0.0,0.014,0.58109,171000,0.562
0.0,0.004,0.56208,172000,0.543
0.0,0.013,0.5711,173000,0.551
0.0,0.013,0.58012,174000,0.559
0.0,0.013,0.57004,175000,0.549
0.0,0.014,0.5612,176000,0.541
0.0,0.012,0.57543,177000,0.555
0.0,0.008,0.57791,178000,0.559
0.0,0.011,0.56963,179000,0.55
0.0,0.013,0.58822,180000,0.568
0.0,0.009,0.58327,181000,0.562
0.0,0.011,0.56868,182000,0.548
0.0,0.009,0.56397,183000,0.543
0.0,0.012,0.56669,184000,0.545
0.0,0.018,0.57524,185000,0.554
0.0,0.009,0.57596,186000,0.556
0.0,0.004,0.57414,187000,0.554
0.0,0.009,0.56606,188000,0.547
0.0,0.012,0.57283,189000,0.552
0.0,0.013,0.56775,190000,0.547
0.0,0.011,0.57724,191000,0.558
0.0,0.015,0.58257,192000,0.564
0.0,0.011,0.57352,193000,0.555
0.0,0.008,0.55846,194000,0.541
0.0,0.011,0.55826,195000,0.541
0.0,0.009,0.55844,196000,0.54
0.0,0.017,0.56095,197000,0.542
0.0,0.008,0.58222,198000,0.562
0.0,0.017,0.57283,199000,0.553
0.0,0.015,0.56885,200000,0.55
0.0,0.013,0.57062,201000,0.552
0.0,0.006,0.57442,202000,0.556
0.0,0.008,0.56871,203000,0.55
0.0,0.013,0.55846,204000,0.539
0.0,0.009,0.58278,205000,0.564
0.0,0.005,0.58727,206000,0.567
0.0,0.018,0.56771,207000,0.548
0.0,0.01,nan,208000,0.556
0.0,0.009,0.57761,209000,0.559
0.0,0.008,0.56757,210000,0.55
0.0,0.015,0.57919,211000,0.56
0.0,0.009,0.58529,212000,0.566
0.0,0.008,0.57466,213000,0.557
0.0,0.007,0.56813,214000,0.548
0.0,0.012,0.59146,215000,0.571
0.0,0.008,0.57341,216000,0.553
0.0,0.015,0.57347,217000,0.553
0.0,0.015,0.55722,218000,0.537
0.0,0.013,0.57236,219000,0.552
0.0,0.011,0.58454,220000,0.566
0.0,0.019,0.56725,221000,0.549
0.0,0.014,0.56271,222000,0.545
0.0,0.013,0.55261,223000,0.535
0.0,0.018,0.56434,224000,0.546
0.0,0.012,0.57203,225000,0.556
0.0,0.011,0.59806,226000,0.579
0.0,0.019,0.56468,227000,0.545
0.0,0.009,0.57171,228000,0.553
0.0,0.014,0.55342,229000,0.534
0.0,0.014,0.55971,230000,0.54
0.0,0.019,0.57784,231000,0.558
0.0,0.012,0.59307,232000,0.574
0.0,0.013,0.60143,233000,0.581
0.0,0.014,0.58186,234000,0.562
0.0,0.016,0.58925,235000,0.57
0.0,0.014,0.57759,236000,0.558
0.0,0.018,0.57745,237000,0.558
0.0,0.009,0.5728,238000,0.554
0.0,0.01,0.5575,239000,0.538
0.0,0.017,0.58471,240000,0.565
0.0,0.015,0.57546,241000,0.556
0.0,0.015,0.57107,242000,0.551
0.0,0.011,0.59139,243000,0.572
0.0,0.009,0.56992,244000,0.551
0.0,0.014,0.58202,245000,0.563
0.0,0.017,0.58401,246000,0.564
0.0,0.016,0.58418,247000,0.563
0.0,0.012,0.5919,248000,0.57
0.0,0.012,0.58397,249000,0.564
0.0,0.017,0.58219,250000,0.562
0.0,0.013,0.58285,251000,0.562
0.0,0.013,0.57714,252000,0.556
0.0,0.01,0.59894,253000,0.577
0.0,0.012,0.59239,254000,0.572
0.0,0.011,0.56514,255000,0.547
0.0,0.015,0.59129,256000,0.571
0.0,0.006,0.59499,257000,0.574
0.0,0.009,0.59273,258000,0.572
0.0,0.013,0.59339,259000,0.573
0.0,0.017,0.57948,260000,0.559
0.0,0.012,0.57023,261000,0.551
0.0,0.013,0.58367,262000,0.564
0.0,0.014,0.57363,263000,0.553
0.0,0.007,0.59513,264000,0.574
0.0,0.016,0.59522,265000,0.574
0.0,0.011,0.59087,266000,0.57
0.0,0.012,0.58451,267000,0.565
0.0,0.018,0.58773,268000,0.567
0.0,0.007,0.57472,269000,0.554
0.0,0.008,0.5879,270000,0.569
0.0,0.019,0.59812,271000,0.579
0.0,0.01,0.60288,272000,0.583
0.0,0.013,0.60394,273000,0.583
0.0,0.013,0.5985,274000,0.578
0.0,0.013,0.60452,275000,0.586
0.0,0.01,0.58526,276000,0.566
0.0,0.004,0.59738,277000,0.577
0.0,0.013,0.57257,278000,0.553
0.0,0.011,0.59289,279000,0.572
0.0,0.018,0.60357,280000,0.583
0.0,0.009,0.60312,281000,0.583
0.0,0.009,0.60442,282000,0.586
0.0,0.017,0.59774,283000,0.578
0.0,0.009,0.5992,284000,0.58
0.0,0.01,0.57418,285000,0.554
0.0,0.011,0.58373,286000,0.565
0.0,0.016,0.60147,287000,0.583
0.0,0.016,0.59454,288000,0.577
0.0,0.015,0.59479,289000,0.575
0.0,0.012,0.60009,290000,0.58
0.0,0.011,0.5773,291000,0.558
0.0,0.02,0.57102,292000,0.553
0.0,0.006,0.58565,293000,0.566
0.0,0.014,0.5867,294000,0.567
0.0,0.014,0.56944,295000,0.55
0.0,0.009,0.59205,296000,0.573
0.0,0.01,0.57897,297000,0.559
0.0,0.01,0.60236,298000,0.583
0.0,0.013,0.58398,299000,0.565
0.0,0.011,0.57932,300000,0.56
0.0,0.019,0.58092,301000,0.561
0.0,0.007,0.59288,302000,0.573
0.0,0.01,0.59445,303000,0.573
0.0,0.015,0.59779,304000,0.577
0.0,0.004,0.59294,305000,0.572
0.0,0.012,0.58947,306000,0.568
0.0,0.013,0.60103,307000,0.581
0.0,0.01,0.58597,308000,0.567
0.0,0.009,0.58576,309000,0.566
0.0,0.011,0.59037,310000,0.57
0.0,0.015,0.58237,311000,0.562
0.0,0.014,0.5966,312000,0.576
0.0,0.009,0.58046,313000,0.562
0.0,0.009,0.6003,314000,0.58
0.0,0.008,0.59047,315000,0.57
0.0,0.017,0.58927,316000,0.568
0.0,0.01,0.58709,317000,0.565
0.0,0.017,0.60356,318000,0.583
0.0,0.014,0.59035,319000,0.571
0.0,0.012,0.5976,320000,0.578
0.0,0.014,0.58571,321000,0.565
0.0,0.013,0.57479,322000,0.555
0.0,0.009,0.59455,323000,0.575
0.0,0.016,0.59527,324000,0.576
0.0,0.014,0.57797,325000,0.558
0.0,0.014,0.60324,326000,0.583
0.0,0.014,0.59155,327000,0.572
0.0,0.014,0.58768,328000,0.569
0.0,0.016,0.58722,329000,0.568
0.0,0.01,0.58849,330000,0.567
0.0,0.011,0.59332,331000,0.572
0.0,0.01,0.58048,332000,0.56
0.0,0.013,0.58081,333000,0.561
0.0,0.012,0.5845,334000,0.564
0.0,0.012,0.5743,335000,0.553
0.0,0.017,0.59296,336000,0.573
0.0,0.014,0.58428,337000,0.564
0.0,0.011,0.58233,338000,0.561
0.0,0.016,0.59028,339000,0.57
0.0,0.012,0.57171,340000,0.552
0.0,0.009,0.60391,341000,0.584
0.0,0.016,0.59788,342000,0.579
0.0,0.013,0.60582,343000,0.586
0.0,0.015,0.5932,344000,0.573
0.0,0.014,0.58312,345000,0.564
0.0,0.015,0.58204,346000,0.563
0.0,0.01,0.59823,347000,0.578
0.0,0.015,0.58979,348000,0.571
0.0,0.018,0.5655,349000,0.547
0.0,0.009,0.59239,350000,0.574
0.0,0.008,0.59311,351000,0.573
0.0,0.017,0.57783,352000,0.559
0.0,0.012,0.59868,353000,0.578
0.0,0.014,0.60603,354000,0.585
0.0,0.014,0.58924,355000,0.571
0.0,0.01,0.60486,356000,0.585
0.0,0.016,0.59706,357000,0.577
0.0,0.011,0.5862,358000,0.566
0.0,0.015,0.61769,359000,0.596
0.0,0.015,0.58572,360000,0.565
0.0,0.014,0.59217,361000,0.571
0.0,0.01,0.59139,362000,0.571
0.0,0.02,0.58943,363000,0.568
0.0,0.012,0.6009,364000,0.581
0.0,0.017,0.59837,365000,0.576
0.0,0.013,0.5908,366000,0.57
0.0,0.011,0.60392,367000,0.584
0.0,0.013,0.60991,368000,0.591
0.0,0.007,0.58769,369000,0.569
0.0,0.003,0.57664,370000,0.558
0.0,0.009,0.60968,371000,0.589
0.0,0.007,0.59514,372000,0.575
0.0,0.003,0.58598,373000,0.565
0.0,0.011,0.59135,374000,0.57
0.0,0.011,0.59544,375000,0.575
0.0,0.011,0.57676,376000,0.557
0.0,0.014,0.60984,377000,0.589
0.0,0.013,0.56829,378000,0.55
