avg_winning,avg_score,avg_diff,loss_train,step_idx
0.392,0.41216,0.016,0.0,159000
0.407,0.42863,0.008,0.0,160000
0.402,0.42332,0.018,0.0,161000
0.39,0.41122,0.02,0.0,162000
0.399,0.42087,0.015,0.0,163000
0.399,0.41939,0.017,0.0,164000
0.404,0.42547,0.013,0.0,165000
0.403,0.42357,0.02,0.0,166000
0.407,0.42787,0.01,0.0,167000
0.416,0.4381,0.013,0.0,168000
0.407,0.42905,0.015,0.0,169000
0.391,0.41268,0.013,0.0,170000
0.395,0.41653,0.018,0.0,171000
0.391,0.41076,0.017,0.0,172000
0.405,0.42549,0.014,0.0,173000
0.385,0.40478,0.013,0.0,174000
0.377,0.39722,0.015,0.0,175000
0.382,0.40122,0.015,0.0,176000
0.392,0.41145,0.011,0.0,177000
0.391,0.41056,0.012,0.0,178000
0.379,0.39825,0.017,0.0,179000
0.39,0.40801,0.016,0.0,180000
0.394,0.41267,0.014,0.0,181000
0.396,0.41301,0.016,0.0,182000
0.402,0.41821,0.013,0.0,183000
0.396,0.41334,0.014,0.0,184000
0.395,0.41286,0.015,0.0,185000
0.392,0.41049,0.017,0.0,186000
0.377,0.39468,0.017,0.0,187000
0.389,0.40768,0.011,0.0,188000
0.396,0.41387,0.022,0.0,189000
0.379,0.39869,0.014,0.0,190000
0.385,0.40484,0.028,0.0,191000
0.386,0.40653,0.008,0.0,192000
0.392,0.41271,0.011,0.0,193000
0.384,0.40436,0.022,0.0,194000
0.378,0.39664,0.016,0.0,195000
0.38,0.40086,0.02,0.0,196000
0.384,0.40695,0.014,0.0,197000
0.391,0.41257,0.014,0.0,198000
0.38,0.4004,0.024,0.0,199000
0.4,0.42019,0.018,0.0,200000
0.387,0.40796,0.021,0.0,201000
0.396,0.41612,0.016,0.0,202000
0.393,0.4126,0.021,0.0,203000
0.398,0.41882,0.014,0.0,204000
0.388,0.40863,0.018,0.0,205000
0.407,0.42801,0.011,0.0,206000
0.395,0.41486,0.019,0.0,207000
0.406,0.42662,0.011,0.0,208000
0.388,0.40837,0.016,0.0,209000
0.402,0.42038,0.016,0.0,210000
0.389,0.40764,0.018,0.0,211000
0.407,0.42681,0.012,0.0,212000
0.394,0.41179,0.013,0.0,213000
0.396,0.4145,0.016,0.0,214000
0.415,0.43428,0.009,0.0,215000
0.411,0.43092,0.015,0.0,216000
0.397,0.41578,0.019,0.0,217000
0.4,0.41807,0.005,0.0,218000
0.408,0.42569,0.014,0.0,219000
0.403,0.42135,0.015,0.0,220000
0.403,0.4203,0.015,0.0,221000
0.388,0.40694,0.02,0.0,222000
0.396,0.41569,0.012,0.0,223000
0.403,0.42325,0.014,0.0,224000
0.403,0.42268,0.015,0.0,225000
0.389,0.41074,0.022,0.0,226000
0.393,0.41496,0.013,0.0,227000
0.395,0.41644,0.014,0.0,228000
0.402,0.42254,0.015,0.0,229000
0.411,0.43205,0.015,0.0,230000
0.386,0.40626,0.018,0.0,231000
0.403,0.42085,0.016,0.0,232000
0.39,0.40769,0.015,0.0,233000
0.383,0.40271,0.022,0.0,234000
0.373,0.39385,0.014,0.0,235000
0.393,0.41234,0.013,0.0,236000
0.373,0.3938,0.016,0.0,237000
0.372,0.39151,0.017,0.0,238000
0.387,0.40646,0.016,0.0,239000
0.387,0.40616,0.015,0.0,240000
0.393,0.41324,0.015,0.0,241000
0.387,0.40688,0.014,0.0,242000
0.411,0.42937,0.009,0.0,243000
0.41,0.42754,0.014,0.0,244000
0.394,0.41258,0.014,0.0,245000
0.395,0.41293,0.021,0.0,246000
0.396,0.41338,0.013,0.0,247000
0.403,0.42072,0.023,0.0,248000
0.41,0.4299,0.014,0.0,249000
0.388,0.40745,0.019,0.0,250000
0.416,0.43435,0.016,0.0,251000
0.402,0.42095,0.019,0.0,252000
0.423,0.44193,0.014,0.0,253000
0.402,0.42033,0.012,0.0,254000
0.407,0.42571,0.019,0.0,255000
0.389,0.4057,0.015,0.0,256000
0.396,0.41363,0.02,0.0,257000
0.389,0.40517,0.014,0.0,258000
