step_idx,avg_diff,avg_winning,avg_score,loss_train
159000,0.016,0.498,0.54467,0.0
160000,0.013,0.494,0.54153,0.0
161000,0.019,0.496,0.54298,0.0
162000,0.012,0.488,0.5337,0.0
163000,0.014,0.47,0.51672,0.0
164000,0.014,0.493,0.53981,0.0
165000,0.015,0.479,0.52613,0.0
166000,0.01,0.472,0.51885,0.0
167000,0.014,0.476,0.52244,0.0
168000,0.024,0.479,0.52607,0.0
169000,0.012,0.473,0.52033,0.0
170000,0.008,0.469,0.516,0.0
171000,0.016,0.475,0.52247,0.0
172000,0.019,0.482,0.53013,0.0
173000,0.018,0.472,0.51924,0.0
174000,0.013,0.473,0.52001,0.0
175000,0.018,0.475,0.52236,0.0
176000,0.015,0.474,0.52099,0.0
177000,0.022,0.477,0.52406,0.0
178000,0.016,0.474,0.52146,0.0
179000,0.017,0.496,0.54317,0.0
180000,0.012,0.496,0.54309,0.0
181000,0.009,0.469,0.51558,0.0
182000,0.007,0.487,0.53481,0.0
183000,0.007,0.482,0.52928,0.0
184000,0.014,0.487,0.53447,0.0
185000,0.008,0.466,0.51339,0.0
186000,0.004,0.488,0.53565,0.0
187000,0.018,0.466,0.51322,0.0
188000,0.023,0.484,0.53169,0.0
189000,0.012,0.479,0.52692,0.0
190000,0.011,0.492,0.53964,0.0
191000,0.021,0.496,0.54333,0.0
192000,0.015,0.476,0.52306,0.0
193000,0.017,0.477,0.52484,0.0
194000,0.018,0.464,0.51189,0.0
195000,0.016,0.481,0.52978,0.0
196000,0.02,0.472,0.52082,0.0
197000,0.016,0.455,0.50321,0.0
198000,0.008,0.464,0.51227,0.0
199000,0.019,0.462,0.51014,0.0
200000,0.012,0.453,0.5017,0.0
201000,0.009,0.465,0.51308,0.0
202000,0.01,0.48,0.52811,0.0
203000,0.02,0.478,0.52693,0.0
204000,0.018,0.475,0.52475,0.0
205000,0.02,0.46,0.50875,0.0
206000,0.012,0.466,0.51425,0.0
207000,0.03,0.451,0.50006,0.0
208000,0.015,0.457,0.50591,0.0
209000,0.016,0.449,0.49794,0.0
210000,0.019,0.47,0.51862,0.0
211000,0.02,0.465,0.51379,0.0
212000,0.026,0.477,0.52541,0.0
213000,0.012,0.458,0.50684,0.0
214000,0.013,0.471,0.51948,0.0
215000,0.014,0.475,0.52369,0.0
