avg_diff,step_idx,avg_score,avg_winning,loss_train
0.009,160000,0.56575,0.547,0.0
0.006,161000,0.56144,0.544,0.0
0.007,162000,0.58694,0.567,0.0
0.011,163000,0.5794,0.56,0.0
0.008,164000,0.57108,0.553,0.0
0.016,165000,0.57524,0.557,0.0
0.004,166000,0.57165,0.552,0.0
0.011,167000,0.56255,0.543,0.0
0.007,168000,0.56205,0.544,0.0
0.001,169000,0.55789,0.541,0.0
0.002,170000,0.58295,0.564,0.0
0.014,171000,0.57574,0.558,0.0
0.006,172000,0.5755,0.557,0.0
0.013,173000,0.56332,0.544,0.0
0.012,174000,0.54536,0.527,0.0
0.01,175000,0.54765,0.53,0.0
0.012,176000,0.58441,0.565,0.0
0.015,177000,0.57578,0.557,0.0
0.004,178000,0.56415,0.545,0.0
0.014,179000,0.57586,0.557,0.0
0.01,180000,0.58436,0.565,0.0
0.017,181000,0.55884,0.541,0.0
0.018,182000,0.55336,0.537,0.0
0.017,183000,0.5641,0.547,0.0
0.011,184000,0.55704,0.54,0.0
0.012,185000,0.58255,0.563,0.0
0.012,186000,0.56928,0.549,0.0
0.008,187000,0.56859,0.549,0.0
0.009,188000,0.58682,0.567,0.0
0.009,189000,0.56875,0.55,0.0
0.015,190000,0.56191,0.543,0.0
0.0,191000,0.56289,0.544,0.0
0.011,192000,0.53946,0.523,0.0
0.009,193000,0.54983,0.532,0.0
0.001,194000,0.56452,0.546,0.0
0.003,195000,0.58173,0.562,0.0
0.011,196000,0.56106,0.543,0.0
0.016,197000,0.57582,0.558,0.0
0.009,198000,0.57407,0.556,0.0
0.01,199000,0.58028,0.561,0.0
0.012,200000,0.55874,0.54,0.0
0.014,201000,0.57512,0.555,0.0
0.01,202000,0.55109,0.531,0.0
0.01,203000,0.57852,0.558,0.0
0.014,204000,0.56044,0.541,0.0
0.011,205000,0.57984,0.56,0.0
0.009,206000,0.57922,0.558,0.0
0.013,207000,0.56913,0.55,0.0
0.014,208000,0.57471,0.554,0.0
0.01,209000,0.56932,0.549,0.0
0.014,210000,0.5736,0.553,0.0
0.013,211000,0.56894,0.549,0.0
0.009,212000,0.55887,0.54,0.0
0.011,213000,0.56465,0.546,0.0
0.009,214000,0.58054,0.562,0.0
0.014,215000,0.56399,0.544,0.0
0.012,216000,0.55437,0.536,0.0
0.015,217000,0.57718,0.557,0.0
0.011,218000,0.58719,0.566,0.0
0.012,219000,0.56201,0.543,0.0
0.009,220000,0.57178,0.552,0.0
0.008,221000,0.55659,0.538,0.0
0.011,222000,0.56237,0.544,0.0
0.005,223000,0.58622,0.568,0.0
0.007,224000,0.57795,0.559,0.0
0.005,225000,0.59095,0.571,0.0
0.012,226000,0.58188,0.563,0.0
0.008,227000,0.59223,0.571,0.0
0.017,228000,0.5859,0.565,0.0
0.011,229000,0.56693,0.546,0.0
0.014,230000,0.58297,0.561,0.0
0.011,231000,0.57801,0.557,0.0
0.007,232000,0.57974,0.56,0.0
0.012,233000,0.58655,0.568,0.0
0.011,234000,0.57082,0.553,0.0
0.011,235000,0.57427,0.555,0.0
0.019,236000,0.57817,0.559,0.0
0.012,237000,0.5939,0.574,0.0
0.012,238000,0.57679,0.557,0.0
0.008,239000,0.58658,0.567,0.0
0.013,240000,0.58898,0.569,0.0
0.01,241000,0.57532,0.555,0.0
0.013,242000,0.57257,0.553,0.0
0.013,243000,0.57792,0.557,0.0
0.015,244000,0.58741,0.566,0.0
0.015,245000,0.5878,0.566,0.0
0.013,246000,0.58083,0.561,0.0
0.009,247000,0.58421,0.565,0.0
0.015,248000,0.57796,0.558,0.0
0.016,249000,0.58247,0.562,0.0
0.015,250000,0.57519,0.556,0.0
0.011,251000,0.56491,0.545,0.0
0.01,252000,0.57453,0.556,0.0
0.009,253000,0.59257,0.573,0.0
0.017,254000,0.59566,0.575,0.0
0.009,255000,0.57531,0.556,0.0
0.011,256000,0.56997,0.55,0.0
0.014,257000,0.5612,0.542,0.0
0.017,258000,0.57317,0.555,0.0
0.016,259000,0.58367,0.564,0.0
0.012,260000,0.58544,0.566,0.0
0.016,261000,0.59574,0.575,0.0
0.015,262000,0.57726,0.556,0.0
0.01,263000,0.57706,0.556,0.0
0.002,264000,0.57692,0.555,0.0
0.013,265000,0.55973,0.54,0.0
0.007,266000,0.59728,0.577,0.0
0.01,267000,0.58702,0.566,0.0
0.009,268000,0.5802,0.559,0.0
0.008,269000,0.58158,0.562,0.0
0.005,270000,0.5995,0.58,0.0
0.016,271000,0.57695,0.557,0.0
0.01,272000,0.58191,0.561,0.0
0.005,273000,0.58099,0.56,0.0
0.007,274000,0.56673,0.547,0.0
0.017,275000,0.59302,0.572,0.0
0.013,276000,0.61004,0.587,0.0
0.012,277000,0.60099,0.58,0.0
0.009,278000,0.60493,0.584,0.0
0.008,279000,0.58926,0.567,0.0
0.011,280000,0.61896,0.596,0.0
0.013,281000,0.5748,0.553,0.0
0.009,282000,0.58574,0.564,0.0
0.009,283000,0.59361,0.572,0.0
0.013,284000,0.58821,0.567,0.0
0.013,285000,0.59326,0.572,0.0
0.015,286000,0.57986,0.558,0.0
0.01,287000,0.5947,0.575,0.0
0.008,288000,0.58275,0.562,0.0
0.008,289000,0.59854,0.577,0.0
0.011,290000,0.61156,0.591,0.0
0.012,291000,0.59471,0.574,0.0
0.009,292000,0.5987,0.577,0.0
0.012,293000,0.57946,0.558,0.0
0.007,294000,0.59092,0.571,0.0
0.005,295000,0.59726,0.575,0.0
0.008,296000,0.60118,0.58,0.0
0.009,297000,0.5918,0.569,0.0
0.008,298000,0.59518,0.574,0.0
0.013,299000,0.59164,0.571,0.0
0.015,300000,0.58551,0.566,0.0
0.011,301000,0.60015,0.58,0.0
0.01,302000,0.60061,0.58,0.0
0.014,303000,0.60655,0.585,0.0
0.007,304000,0.62197,0.601,0.0
0.007,305000,0.59191,0.57,0.0
0.01,306000,0.59159,0.57,0.0
0.009,307000,0.58779,0.566,0.0
0.008,308000,0.60668,0.585,0.0
0.01,309000,0.60515,0.583,0.0
0.007,310000,0.59634,0.573,0.0
0.008,311000,0.60158,0.58,0.0
0.013,312000,0.58601,0.566,0.0
0.016,313000,0.59685,0.575,0.0
0.009,314000,0.58509,0.564,0.0
0.013,315000,0.60978,0.59,0.0
0.006,316000,0.58891,0.569,0.0
0.009,317000,0.60322,0.583,0.0
0.005,318000,0.61294,0.592,0.0
0.011,319000,0.59487,0.574,0.0
0.009,320000,0.60665,0.585,0.0
