avg_winning,step_idx,avg_diff,avg_score,loss_train
0.395,159000,0.025,0.41518,0.0
0.397,160000,0.017,0.41749,0.0
0.391,161000,0.011,0.41079,0.0
0.405,162000,0.018,0.4256,0.0
0.4,163000,0.026,0.42077,0.0
0.38,164000,0.027,0.39976,0.0
0.411,165000,0.019,0.43149,0.0
0.427,166000,0.019,0.44775,0.0
0.383,167000,0.021,0.40302,0.0
0.392,168000,0.025,0.41104,0.0
0.417,169000,0.022,0.43717,0.0
0.389,170000,0.021,0.40871,0.0
0.39,171000,0.029,0.40967,0.0
0.393,172000,0.016,0.41535,0.0
0.396,173000,0.022,0.41875,0.0
0.402,174000,0.015,0.42437,0.0
0.397,175000,0.017,0.41743,0.0
0.393,176000,0.025,0.41398,0.0
0.397,177000,0.02,0.418,0.0
0.401,178000,0.018,0.42189,0.0
0.394,179000,0.015,0.415,0.0
0.393,180000,0.022,0.41418,0.0
0.414,181000,0.019,0.43376,0.0
0.387,182000,0.016,0.4061,0.0
0.425,183000,0.019,0.44565,0.0
0.385,184000,0.016,0.40613,0.0
0.408,185000,0.019,0.42855,0.0
0.392,186000,0.016,0.41341,0.0
0.388,187000,0.016,0.40941,0.0
0.398,188000,0.02,0.41929,0.0
0.4,189000,0.026,0.42231,0.0
0.409,190000,0.02,0.43087,0.0
0.395,191000,0.022,0.41543,0.0
0.402,192000,0.019,0.42217,0.0
0.407,193000,0.016,0.42802,0.0
0.404,194000,0.019,0.42445,0.0
0.402,195000,0.02,0.42274,0.0
0.415,196000,0.015,0.43608,0.0
0.383,197000,0.016,0.40501,0.0
