avg_score,avg_diff,loss_train,step_idx,avg_winning
0.52215,0.01,0.0,159000,0.479
0.5242,0.01,0.0,160000,0.48
0.5396,0.01,0.0,161000,0.495
0.52349,0.009,0.0,162000,0.48
0.52727,0.012,0.0,163000,0.484
0.51899,0.01,0.0,164000,0.475
0.51446,0.015,0.0,165000,0.471
0.51978,0.018,0.0,166000,0.476
0.51648,0.014,0.0,167000,0.473
0.53531,0.021,0.0,168000,0.491
0.51116,0.013,0.0,169000,0.468
0.52509,0.019,0.0,170000,0.481
0.52653,0.018,0.0,171000,0.482
0.50969,0.028,0.0,172000,0.466
0.51555,0.008,0.0,173000,0.472
0.49733,0.013,0.0,174000,0.454
0.519,0.017,0.0,175000,0.475
0.5128,0.021,0.0,176000,0.47
0.50631,0.015,0.0,177000,0.463
0.53845,0.011,0.0,178000,0.494
0.52282,0.019,0.0,179000,0.479
0.54337,0.008,0.0,180000,0.499
0.52311,0.008,0.0,181000,0.479
0.51326,0.014,0.0,182000,0.469
0.5091,0.013,0.0,183000,0.466
0.52523,0.014,0.0,184000,0.481
0.52709,0.008,0.0,185000,0.483
0.52419,0.026,0.0,186000,0.481
0.52911,0.019,0.0,187000,0.485
0.52725,0.007,0.0,188000,0.483
0.50986,0.014,0.0,189000,0.466
0.5173,0.018,0.0,190000,0.472
0.5139,0.017,0.0,191000,0.47
0.53802,0.017,0.0,192000,0.493
0.52878,0.013,0.0,193000,0.484
0.53312,0.013,0.0,194000,0.489
0.53562,0.02,0.0,195000,0.491
0.51758,0.014,0.0,196000,0.474
0.53046,0.015,0.0,197000,0.486
0.52756,0.009,0.0,198000,0.484
0.52235,0.014,0.0,199000,0.479
0.52701,0.02,0.0,200000,0.484
0.52156,0.025,0.0,201000,0.479
0.51386,0.016,0.0,202000,0.471
0.52419,0.005,0.0,203000,0.48
0.5213,0.02,0.0,204000,0.478
0.52569,0.022,0.0,205000,0.482
0.5147,0.022,0.0,206000,0.471
0.52328,0.017,0.0,207000,0.48
0.50461,0.03,0.0,208000,0.462
0.51985,0.013,0.0,209000,0.476
0.49701,0.006,0.0,210000,0.454
0.49459,0.016,0.0,211000,0.452
0.51391,0.025,0.0,212000,0.471
0.50982,0.015,0.0,213000,0.467
0.50354,0.016,0.0,214000,0.461
0.52797,0.023,0.0,215000,0.485
0.50553,0.021,0.0,216000,0.463
