step_idx,avg_score,avg_diff,loss_train,avg_winning
159000,0.50557,0.007,0.0,0.475
160000,0.52973,0.01,0.0,0.498
161000,0.52365,0.01,0.0,0.491
162000,0.51569,0.012,0.0,0.483
163000,0.50979,0.011,0.0,0.478
164000,0.52914,0.009,0.0,0.497
165000,0.50405,0.013,0.0,0.472
166000,0.5124,0.018,0.0,0.48
167000,0.51317,0.008,0.0,0.482
168000,0.52503,0.008,0.0,0.493
169000,0.51336,0.016,0.0,0.482
170000,0.51765,0.01,0.0,0.486
171000,0.51698,0.016,0.0,0.487
172000,0.51069,0.012,0.0,0.481
173000,0.50288,0.013,0.0,0.473
174000,0.52796,0.013,0.0,0.498
175000,0.48391,0.012,0.0,0.454
176000,0.49901,0.012,0.0,0.469
177000,0.51413,0.012,0.0,0.485
178000,0.49935,0.012,0.0,0.471
179000,0.49023,0.014,0.0,0.462
180000,0.49498,0.02,0.0,0.466
181000,0.50709,0.012,0.0,0.477
182000,0.51344,0.01,0.0,0.483
183000,0.50427,0.008,0.0,0.476
184000,0.51101,0.014,0.0,0.482
185000,0.50744,0.013,0.0,0.478
186000,0.50714,0.013,0.0,0.478
187000,0.51477,0.008,0.0,0.484
188000,0.4968,0.015,0.0,0.466
189000,0.50931,0.003,0.0,0.478
190000,0.51814,0.014,0.0,0.487
191000,0.49776,0.016,0.0,0.467
192000,0.51618,0.015,0.0,0.485
193000,0.50359,0.019,0.0,0.473
194000,0.50686,0.014,0.0,0.477
195000,0.50612,0.014,0.0,0.476
196000,0.50209,0.006,0.0,0.472
197000,0.49779,0.009,0.0,0.468
198000,0.50349,0.016,0.0,0.473
199000,0.50788,0.01,0.0,0.477
200000,0.49237,0.017,0.0,0.462
201000,0.50794,0.013,0.0,0.477
202000,0.51031,0.015,0.0,0.48
203000,0.49851,0.012,0.0,0.468
204000,0.49713,0.021,0.0,0.467
205000,0.49074,0.022,0.0,0.461
206000,0.51125,0.018,0.0,0.481
207000,0.49954,0.018,0.0,0.47
208000,0.4972,0.022,0.0,0.467
209000,0.52244,0.008,0.0,0.491
210000,0.51414,0.013,0.0,0.484
211000,0.51188,0.01,0.0,0.482
212000,0.51176,0.013,0.0,0.482
213000,0.48738,0.015,0.0,0.458
214000,0.516,0.019,0.0,0.485
215000,0.52045,0.011,0.0,0.489
216000,0.51351,0.021,0.0,0.483
217000,0.51572,0.014,0.0,0.485
218000,0.51357,0.008,0.0,0.482
219000,0.52076,0.018,0.0,0.49
220000,0.48058,0.012,0.0,0.451
221000,0.50691,0.018,0.0,0.477
222000,0.50274,0.017,0.0,0.472
223000,0.51495,0.012,0.0,0.484
224000,0.52421,0.017,0.0,0.493
225000,0.5236,0.012,0.0,0.491
226000,0.52564,0.011,0.0,0.493
227000,0.51031,0.02,0.0,0.479
228000,0.50394,0.012,0.0,0.473
229000,0.49961,0.014,0.0,0.468
230000,0.51801,0.019,0.0,0.488
231000,0.52051,0.015,0.0,0.489
232000,0.50347,0.017,0.0,0.473
233000,0.519,0.011,0.0,0.488
234000,0.51687,0.019,0.0,0.485
235000,0.50231,0.018,0.0,0.471
236000,0.50346,0.013,0.0,0.472
237000,0.51235,0.007,0.0,0.481
238000,0.49462,0.015,0.0,0.464
239000,0.49251,0.021,0.0,0.463
240000,0.51026,0.013,0.0,0.48
241000,0.52008,0.015,0.0,0.491
242000,0.51538,0.018,0.0,0.486
243000,0.5152,0.017,0.0,0.485
244000,0.51584,0.01,0.0,0.485
245000,0.50948,0.008,0.0,0.477
246000,0.52195,0.02,0.0,0.49
247000,0.5074,0.013,0.0,0.476
248000,0.49208,0.017,0.0,0.463
249000,0.49685,0.01,0.0,0.467
250000,0.52048,0.01,0.0,0.491
251000,0.49923,0.022,0.0,0.47
252000,0.50019,0.02,0.0,0.471
253000,0.50467,0.007,0.0,0.476
254000,0.4957,0.016,0.0,0.468
255000,0.48761,0.017,0.0,0.459
256000,0.47792,0.017,0.0,0.45
257000,0.48732,0.012,0.0,0.459
258000,0.48635,0.016,0.0,0.457
259000,0.49267,0.02,0.0,0.463
260000,0.49707,0.01,0.0,0.468
261000,0.49306,0.007,0.0,0.464
262000,0.48842,0.015,0.0,0.46
263000,0.49494,0.013,0.0,0.467
264000,0.47658,0.016,0.0,0.448
265000,0.48664,0.02,0.0,0.458
266000,0.47974,0.018,0.0,0.451
267000,0.50282,0.012,0.0,0.473
268000,0.50874,0.017,0.0,0.479
269000,0.50645,0.013,0.0,0.477
270000,0.48079,0.011,0.0,0.452
271000,0.47925,0.01,0.0,0.45
272000,0.50752,0.018,0.0,0.478
273000,0.48919,0.01,0.0,0.46
274000,0.48907,0.011,0.0,0.46
275000,0.49405,0.021,0.0,0.465
276000,0.48278,0.016,0.0,0.454
277000,0.49355,0.014,0.0,0.464
278000,0.49394,0.008,0.0,0.464
279000,0.49121,0.018,0.0,0.461
280000,0.5095,0.01,0.0,0.479
281000,0.50514,0.018,0.0,0.475
282000,0.48638,0.013,0.0,0.457
283000,0.47934,0.016,0.0,0.45
284000,0.48631,0.006,0.0,0.457
285000,0.48553,0.012,0.0,0.457
286000,0.48124,0.013,0.0,0.453
287000,0.49844,0.018,0.0,0.469
288000,0.48172,0.015,0.0,0.452
289000,0.48493,0.019,0.0,0.455
290000,0.49484,0.022,0.0,0.466
291000,0.49289,0.021,0.0,0.464
292000,0.49977,0.011,0.0,0.471
