avg_diff,avg_winning,step_idx,loss_train,avg_score
0.024,0.326,104000,0.0,0.34819
0.024,0.344,105000,0.0,0.36588
0.021,0.323,106000,0.0,0.34518
0.022,0.345,107000,0.0,0.3675
0.023,0.325,108000,0.0,0.34623
0.022,0.309,109000,0.0,0.33085
0.019,0.323,110000,0.0,0.34434
0.018,0.316,111000,0.0,0.33751
0.012,0.33,112000,0.0,0.35042
0.02,0.326,113000,0.0,0.34731
0.017,0.319,114000,0.0,0.34103
0.02,0.315,115000,0.0,0.33694
0.015,0.314,116000,0.0,0.33666
0.018,0.332,117000,0.0,0.3548
0.023,0.325,118000,0.0,0.34839
0.018,0.316,119000,0.0,0.3381
0.017,0.333,120000,0.0,0.35573
0.016,0.314,121000,0.0,0.33591
0.012,0.316,122000,0.0,0.33813
0.011,0.314,123000,0.0,0.33754
0.017,0.327,124000,0.0,0.35043
0.022,0.33,125000,0.0,0.35297
0.021,0.32,126000,0.0,0.34322
0.02,0.321,127000,0.0,0.34454
0.02,0.311,128000,0.0,0.3342
0.016,0.322,129000,0.0,0.34566
0.023,0.315,130000,0.0,0.33861
0.02,0.289,131000,0.0,0.31156
0.02,0.321,132000,0.0,0.34376
0.022,0.321,133000,0.0,0.34341
0.023,0.317,134000,0.0,0.33928
0.007,0.323,135000,0.0,0.34458
0.015,0.301,136000,0.0,0.32338
0.023,0.327,137000,0.0,0.35035
0.02,0.317,138000,0.0,0.34011
0.012,0.322,139000,0.0,0.34509
0.017,0.326,140000,0.0,0.34881
0.017,0.317,141000,0.0,0.33996
0.012,0.318,142000,0.0,0.3412
0.013,0.326,143000,0.0,0.35001
0.016,0.326,144000,0.0,0.35039
0.018,0.324,145000,0.0,0.34689
0.021,0.321,146000,0.0,0.34584
0.017,0.332,147000,0.0,0.35694
0.006,0.336,148000,0.0,0.36192
0.026,0.342,149000,0.0,0.36759
0.021,0.324,150000,0.0,0.3482
0.016,0.323,151000,0.0,0.34832
0.019,0.326,152000,0.0,0.34991
0.015,0.332,153000,0.0,0.3557
0.019,0.324,154000,0.0,0.34733
0.011,0.333,155000,0.0,0.35719
0.01,0.324,156000,0.0,0.34762
0.014,0.324,157000,0.0,0.34599
0.017,0.306,158000,0.0,0.32755
0.014,0.333,159000,0.0,0.35513
0.013,0.334,160000,0.0,0.35668
0.014,0.32,161000,0.0,0.34136
0.011,0.338,162000,0.0,0.36114
0.014,0.351,163000,0.0,0.37445
0.015,0.347,164000,0.0,0.37102
0.019,0.329,165000,0.0,0.35282
0.012,0.345,166000,0.0,0.36766
0.014,0.332,167000,0.0,0.35413
0.014,0.323,168000,0.0,0.34474
0.02,0.318,169000,0.0,0.3401
0.012,0.336,170000,0.0,0.3586
0.012,0.329,171000,0.0,0.35052
0.02,0.339,172000,0.0,0.36294
0.023,0.345,173000,0.0,0.36778
0.018,0.343,174000,0.0,0.36647
0.015,0.337,175000,0.0,0.35976
0.013,0.345,176000,0.0,0.36682
0.015,0.335,177000,0.0,0.35569
0.012,0.339,178000,0.0,0.36023
0.02,0.329,179000,0.0,0.35081
0.012,0.337,180000,0.0,0.35818
0.013,0.342,181000,0.0,0.36333
0.014,0.336,182000,0.0,0.3588
0.018,0.354,183000,0.0,0.37671
0.012,0.333,184000,0.0,0.35479
0.014,0.339,185000,0.0,0.3624
0.018,0.34,186000,0.0,0.36386
0.016,0.346,187000,0.0,0.37003
0.011,0.343,188000,0.0,0.36549
0.016,0.356,189000,0.0,0.37845
0.016,0.343,190000,0.0,0.36574
0.009,0.334,191000,0.0,0.35607
0.012,0.337,192000,0.0,0.3607
0.013,0.346,193000,0.0,0.36898
0.015,0.344,194000,0.0,0.36771
0.016,0.335,195000,0.0,0.35751
0.021,0.345,196000,0.0,0.36782
0.017,0.337,197000,0.0,0.35902
0.019,0.35,198000,0.0,0.37173
0.015,0.333,199000,0.0,0.35399
0.014,0.348,200000,0.0,0.36756
0.014,0.328,201000,0.0,0.34749
0.009,0.353,202000,0.0,0.37226
0.014,0.344,203000,0.0,0.36427
0.014,0.331,204000,0.0,0.35175
0.008,0.337,205000,0.0,0.35749
0.015,0.332,206000,0.0,0.35307
0.019,0.343,207000,0.0,0.36306
0.014,0.349,208000,0.0,0.37036
0.023,0.347,209000,0.0,0.36812
0.016,0.328,210000,0.0,0.34974
0.016,0.355,211000,0.0,0.37676
0.021,0.33,212000,0.0,0.3524
0.016,0.363,213000,0.0,0.38701
0.011,0.341,214000,0.0,0.36554
0.016,0.355,215000,0.0,0.37897
0.016,0.351,216000,0.0,0.37546
0.021,0.35,217000,0.0,0.37419
0.019,0.355,218000,0.0,0.38038
0.024,0.346,219000,0.0,0.37108
0.026,0.37,220000,0.0,0.39434
0.024,0.336,221000,0.0,0.35968
0.026,0.33,222000,0.0,0.35503
0.022,0.356,223000,0.0,0.38115
0.026,0.366,224000,0.0,0.3908
0.016,0.355,225000,0.0,0.37835
0.024,0.37,226000,0.0,0.39424
0.023,0.367,227000,0.0,0.39219
0.021,0.359,228000,0.0,0.3866
0.018,0.369,229000,0.0,0.39508
0.024,0.351,230000,0.0,0.37735
0.022,0.367,231000,0.0,0.39237
0.018,0.366,232000,0.0,0.38923
0.016,0.358,233000,0.0,0.38087
0.013,0.378,234000,0.0,0.40148
0.018,0.368,235000,0.0,0.39198
0.02,0.369,236000,0.0,0.39208
0.02,0.366,237000,0.0,0.38938
0.021,0.371,238000,0.0,0.39321
0.023,0.357,239000,0.0,0.37934
0.018,0.381,240000,0.0,0.40438
0.017,0.361,241000,0.0,0.38322
0.013,0.363,242000,0.0,0.38737
0.016,0.351,243000,0.0,0.37522
0.012,0.361,244000,0.0,0.38662
0.019,0.346,245000,0.0,0.37185
0.024,0.374,246000,0.0,0.40004
0.023,0.358,247000,0.0,0.38321
0.023,0.363,248000,0.0,0.3889
0.021,0.358,249000,0.0,0.38199
0.014,0.365,250000,0.0,0.39031
0.018,0.368,251000,0.0,0.39344
0.024,0.361,252000,0.0,0.38624
0.019,0.355,253000,0.0,0.37967
0.019,0.366,254000,0.0,0.39155
0.014,0.373,255000,0.0,0.39733
0.013,0.357,256000,0.0,0.37997
0.014,0.36,257000,0.0,0.38253
0.02,0.364,258000,0.0,0.38605
0.018,0.357,259000,0.0,0.37846
0.019,0.353,260000,0.0,0.37325
0.015,0.371,261000,0.0,0.39103
0.019,0.364,262000,0.0,0.38399
0.016,0.354,263000,0.0,0.37394
0.024,0.373,264000,0.0,0.3944
0.014,0.357,265000,0.0,0.3782
0.022,0.368,266000,0.0,0.39096
0.018,0.361,267000,0.0,0.38302
0.021,0.37,268000,0.0,0.39275
0.021,0.363,269000,0.0,0.38599
0.02,0.349,270000,0.0,0.37162
0.02,0.355,271000,0.0,0.37798
0.022,0.359,272000,0.0,0.38145
0.02,0.339,273000,0.0,0.36186
0.02,0.347,274000,0.0,0.36814
0.017,0.366,275000,0.0,0.38639
0.015,0.367,276000,0.0,0.38849
0.021,0.362,277000,0.0,0.38254
0.016,0.356,278000,0.0,0.37809
0.02,0.353,279000,0.0,0.37488
0.014,0.354,280000,0.0,0.37571
0.017,0.358,281000,0.0,0.38065
0.011,0.336,282000,0.0,0.35781
0.021,0.37,283000,0.0,0.3911
0.028,0.35,284000,0.0,0.3712
0.019,0.366,285000,0.0,0.38651
0.022,0.367,286000,0.0,0.38828
0.019,0.375,287000,0.0,0.39699
0.018,0.356,288000,0.0,0.37922
0.02,0.356,289000,0.0,0.37833
0.021,0.36,290000,0.0,0.38257
0.015,0.374,291000,0.0,0.39699
0.019,0.368,292000,0.0,0.39127
0.024,0.361,293000,0.0,0.38255
0.023,0.362,294000,0.0,0.38238
0.024,0.373,295000,0.0,0.39263
0.017,0.352,296000,0.0,0.37266
0.025,0.364,297000,0.0,0.38544
0.014,0.368,298000,0.0,0.38805
0.017,0.358,299000,0.0,0.37988
0.014,0.362,300000,0.0,0.38302
0.022,0.366,301000,0.0,0.38852
0.019,0.357,302000,0.0,0.37702
0.016,0.355,303000,0.0,0.37622
0.024,0.358,304000,0.0,0.37957
0.018,0.368,305000,0.0,0.3885
0.017,0.377,306000,0.0,0.39796
0.015,0.378,307000,0.0,0.39953
0.02,0.367,308000,0.0,0.39057
0.016,0.366,309000,0.0,0.38924
0.018,0.363,310000,0.0,0.38597
0.018,0.374,311000,0.0,0.39767
0.018,0.35,312000,0.0,0.37286
0.01,0.359,313000,0.0,0.38223
0.023,0.367,314000,0.0,0.39087
0.017,0.361,315000,0.0,0.38434
0.017,0.366,316000,0.0,0.3896
0.014,0.381,317000,0.0,0.40528
0.019,0.366,318000,0.0,0.39078
0.011,0.376,319000,0.0,0.4003
0.017,0.364,320000,0.0,0.38616
0.014,0.39,321000,0.0,0.41244
0.012,0.366,322000,0.0,0.3905
0.024,0.376,323000,0.0,0.39975
0.022,0.376,324000,0.0,0.39893
0.015,0.386,325000,0.0,0.40835
0.02,0.374,326000,0.0,0.39814
0.017,0.386,327000,0.0,0.41002
0.019,0.382,328000,0.0,0.40695
0.023,0.369,329000,0.0,0.3936
0.021,0.383,330000,0.0,0.40781
0.015,0.369,331000,0.0,0.39383
0.016,0.378,332000,0.0,0.40294
0.021,0.377,333000,0.0,0.40236
0.019,0.379,334000,0.0,0.40349
0.014,0.372,335000,0.0,0.39755
0.016,0.372,336000,0.0,0.39739
0.021,0.364,337000,0.0,0.38906
0.015,0.382,338000,0.0,0.40783
0.015,0.375,339000,0.0,0.40272
0.022,0.366,340000,0.0,0.39175
0.014,0.369,341000,0.0,0.39472
0.019,0.364,342000,0.0,0.38974
0.019,0.381,343000,0.0,0.40591
0.016,0.37,344000,0.0,0.39639
0.016,0.371,345000,0.0,0.39696
0.021,0.38,346000,0.0,0.40535
0.016,0.371,347000,0.0,0.39676
0.023,0.366,348000,0.0,0.39163
0.019,0.365,349000,0.0,0.38873
0.015,0.374,350000,0.0,0.39819
0.02,0.36,351000,0.0,0.38455
0.024,0.38,352000,0.0,0.40515
0.024,0.374,353000,0.0,0.39888
0.018,0.375,354000,0.0,0.40013
0.017,0.372,355000,0.0,0.39623
0.016,0.371,356000,0.0,0.39571
0.019,0.371,357000,0.0,0.39547
0.015,0.382,358000,0.0,0.40581
0.021,0.378,359000,0.0,0.40399
0.021,0.374,360000,0.0,0.39853
0.018,0.371,361000,0.0,0.39686
0.021,0.372,362000,0.0,0.39692
0.02,0.351,363000,0.0,0.37681
0.016,0.363,364000,0.0,0.387
0.022,0.362,365000,0.0,0.38611
0.017,0.361,366000,0.0,0.38501
0.018,0.373,367000,0.0,0.39763
0.007,0.369,368000,0.0,0.39381
0.015,0.371,369000,0.0,0.39704
0.015,0.372,370000,0.0,0.39713
0.017,0.354,371000,0.0,0.38035
0.015,0.365,372000,0.0,0.39057
0.018,0.382,373000,0.0,0.40786
0.018,0.351,374000,0.0,0.37511
0.021,0.379,375000,0.0,0.40323
0.015,0.365,376000,0.0,0.38975
0.02,0.36,377000,0.0,0.38548
0.023,0.343,378000,0.0,0.36844
0.023,0.373,379000,0.0,0.39867
0.011,0.375,380000,0.0,0.39965
0.019,0.369,381000,0.0,0.39299
0.018,0.39,382000,0.0,0.41465
0.021,0.367,383000,0.0,0.39359
0.025,0.365,384000,0.0,0.39033
0.028,0.354,385000,0.0,0.37949
0.023,0.365,386000,0.0,0.38955
0.023,0.385,387000,0.0,0.40887
0.022,0.353,388000,0.0,0.377
0.019,0.372,389000,0.0,0.39553
0.019,0.375,390000,0.0,0.39946
0.018,0.381,391000,0.0,0.40598
0.017,0.381,392000,0.0,0.40593
0.019,0.363,393000,0.0,0.38766
0.03,0.374,394000,0.0,0.39889
0.023,0.375,395000,0.0,0.39923
0.02,0.398,396000,0.0,0.42298
0.018,0.377,397000,0.0,0.40145
0.021,0.38,398000,0.0,0.40349
0.023,0.374,399000,0.0,0.39974
0.014,0.374,400000,0.0,0.40028
0.027,0.35,401000,0.0,0.3775
0.024,0.372,402000,0.0,0.39936
0.022,0.353,403000,0.0,0.38044
0.03,0.369,404000,0.0,0.39521
0.021,0.364,405000,0.0,0.38969
0.02,0.358,406000,0.0,0.3822
0.011,0.358,407000,0.0,0.38198
0.021,0.367,408000,0.0,0.39035
0.021,0.364,409000,0.0,0.38744
0.024,0.344,410000,0.0,0.36717
0.014,0.362,411000,0.0,0.38552
0.02,0.359,412000,0.0,0.38293
0.027,0.361,413000,0.0,0.38412
0.017,0.363,414000,0.0,0.38709
0.021,0.363,415000,0.0,0.38735
0.014,0.364,416000,0.0,0.3889
0.022,0.378,417000,0.0,0.40277
0.022,0.35,418000,0.0,0.37524
0.022,0.369,419000,0.0,0.39372
0.022,0.366,420000,0.0,0.39172
0.022,0.369,421000,0.0,0.39538
0.022,0.365,422000,0.0,0.39147
0.027,0.368,423000,0.0,0.39406
0.021,0.375,424000,0.0,0.40196
0.025,0.363,425000,0.0,0.39101
0.021,0.367,426000,0.0,0.39226
0.027,0.368,427000,0.0,0.3938
0.019,0.37,428000,0.0,0.39537
0.025,0.388,429000,0.0,0.41399
0.022,0.353,430000,0.0,0.37962
0.013,0.366,431000,0.0,0.39262
0.027,0.364,432000,0.0,0.39052
0.032,0.366,433000,0.0,0.3945
0.028,0.353,434000,0.0,0.38092
0.024,0.362,435000,0.0,0.3895
0.029,0.357,436000,0.0,0.38441
0.028,0.356,437000,0.0,0.38324
0.028,0.356,438000,0.0,0.38354
0.024,0.368,439000,0.0,0.39413
0.022,0.361,440000,0.0,0.38633
0.023,0.365,441000,0.0,0.38911
0.029,0.351,442000,0.0,0.374
0.019,0.353,443000,0.0,0.37689
0.022,0.347,444000,0.0,0.37034
0.027,0.341,445000,0.0,0.36503
0.021,0.363,446000,0.0,0.38793
0.022,0.36,447000,0.0,0.38574
0.017,0.37,448000,0.0,0.39535
0.027,0.35,449000,0.0,0.37255
0.024,0.39,450000,0.0,0.41331
0.021,0.383,451000,0.0,0.40837
0.02,0.375,452000,0.0,0.39871
0.023,0.378,453000,0.0,0.40205
0.016,0.385,454000,0.0,0.40978
0.018,0.4,455000,0.0,0.42535
0.02,0.393,456000,0.0,0.41887
0.018,0.382,457000,0.0,0.40924
0.021,0.404,458000,0.0,0.43085
0.013,0.392,459000,0.0,0.41892
0.013,0.398,460000,0.0,0.4249
0.02,0.392,461000,0.0,0.4179
0.017,0.385,462000,0.0,0.41095
0.017,0.386,463000,0.0,0.4122
0.017,0.39,464000,0.0,0.41601
0.016,0.396,465000,0.0,0.42189
0.024,0.403,466000,0.0,0.42945
0.023,0.379,467000,0.0,0.4049
0.019,0.381,468000,0.0,0.40558
0.023,0.38,469000,0.0,0.40387
0.021,0.377,470000,0.0,0.40124
0.013,0.375,471000,0.0,0.39901
0.019,0.407,472000,0.0,0.43113
0.021,0.407,473000,0.0,0.43192
0.013,0.387,474000,0.0,0.41087
0.025,0.394,475000,0.0,0.41749
0.018,0.394,476000,0.0,0.41863
0.022,0.398,477000,0.0,0.422
0.018,0.395,478000,0.0,0.41993
0.017,0.388,479000,0.0,0.41203
0.008,0.406,480000,0.0,0.42955
0.017,0.382,481000,0.0,0.40434
0.015,0.392,482000,0.0,0.41426
0.012,0.402,483000,0.0,0.42443
0.014,0.392,484000,0.0,0.41375
0.016,0.4,485000,0.0,0.42187
0.016,0.398,486000,0.0,0.41961
0.018,0.417,487000,0.0,0.43971
0.009,0.401,488000,0.0,0.42261
0.021,0.367,489000,0.0,0.38854
0.017,0.379,490000,0.0,0.39932
0.021,0.394,491000,0.0,0.41596
0.016,0.386,492000,0.0,0.40882
0.017,0.389,493000,0.0,0.40997
0.019,0.392,494000,0.0,0.41329
0.012,0.398,495000,0.0,0.417
0.016,0.388,496000,0.0,0.40579
0.013,0.397,497000,0.0,0.41698
0.019,0.385,498000,0.0,0.40579
0.013,0.39,499000,0.0,0.41018
