loss_train,avg_diff,avg_score,step_idx,avg_winning
0.0,0.013,0.57493,159000,0.553
0.0,0.02,0.55777,160000,0.537
0.0,0.014,0.55662,161000,0.537
0.0,0.02,0.55878,162000,0.54
0.0,0.017,0.55674,163000,0.537
0.0,0.01,0.57184,164000,0.552
0.0,0.011,0.55894,165000,0.539
0.0,0.014,0.57545,166000,0.556
0.0,0.015,0.58074,167000,0.56
0.0,0.019,0.56492,168000,0.544
0.0,0.014,0.56926,169000,0.55
0.0,0.017,0.58728,170000,0.567
0.0,0.016,0.57666,171000,0.557
0.0,0.017,0.58944,172000,0.572
0.0,0.016,0.55374,173000,0.535
0.0,0.014,0.57817,174000,0.557
0.0,0.013,0.58262,175000,0.562
0.0,0.018,0.60234,176000,0.58
0.0,0.017,0.58517,177000,0.563
0.0,0.012,0.59101,178000,0.569
0.0,0.019,0.57729,179000,0.556
0.0,0.013,0.57889,180000,0.558
0.0,0.015,0.5938,181000,0.572
0.0,0.011,0.57913,182000,0.559
0.0,0.011,0.59154,183000,0.572
0.0,0.008,0.60751,184000,0.587
0.0,0.009,0.59855,185000,0.578
0.0,0.014,0.60108,186000,0.582
0.0,0.014,0.60043,187000,0.58
0.0,0.009,0.59082,188000,0.571
0.0,0.016,0.58902,189000,0.572
0.0,0.013,0.60673,190000,0.588
0.0,0.011,0.57636,191000,0.557
0.0,0.013,0.58409,192000,0.564
0.0,0.014,0.57828,193000,0.56
0.0,0.014,0.57203,194000,0.552
0.0,0.011,0.57908,195000,0.559
0.0,0.011,0.59813,196000,0.577
0.0,0.008,0.58913,197000,0.568
0.0,0.014,0.59857,198000,0.576
0.0,0.006,0.59298,199000,0.572
0.0,0.011,0.60064,200000,0.578
0.0,0.011,0.60027,201000,0.578
0.0,0.012,0.57984,202000,0.559
0.0,0.015,0.60039,203000,0.579
0.0,0.009,0.61046,204000,0.588
0.0,0.015,0.59934,205000,0.578
0.0,0.011,0.59217,206000,0.571
0.0,0.012,0.59614,207000,0.575
0.0,0.007,0.60781,208000,0.586
0.0,0.013,0.62214,209000,0.601
0.0,0.014,0.60082,210000,0.581
0.0,0.009,0.60147,211000,0.58
0.0,0.011,0.5901,212000,0.569
0.0,0.013,0.61183,213000,0.591
0.0,0.004,0.6041,214000,0.584
0.0,0.012,0.58412,215000,0.564
0.0,0.005,0.62208,216000,0.602
0.0,0.011,0.59259,217000,0.572
