avg_score,avg_diff,loss_train,step_idx,avg_winning
0.49505,0.017,0.0,159000,0.469
0.49499,0.013,0.0,160000,0.47
0.48927,0.02,0.0,161000,0.464
0.49605,0.013,0.0,162000,0.472
0.48434,0.017,0.0,163000,0.461
0.49139,0.018,0.0,164000,0.467
0.49449,0.025,0.0,165000,0.469
0.496,0.019,0.0,166000,0.47
0.50072,0.021,0.0,167000,0.475
0.51243,0.014,0.0,168000,0.488
0.5072,0.017,0.0,169000,0.484
0.50335,0.018,0.0,170000,0.481
0.51263,0.014,0.0,171000,0.49
0.49899,0.012,0.0,172000,0.476
0.49509,0.011,0.0,173000,0.472
0.50671,0.011,0.0,174000,0.484
0.49349,0.014,0.0,175000,0.47
0.48767,0.018,0.0,176000,0.465
0.5029,0.012,0.0,177000,0.479
0.49403,0.015,0.0,178000,0.47
0.49041,0.026,0.0,179000,0.467
0.50869,0.022,0.0,180000,0.485
0.51501,0.016,0.0,181000,0.491
0.49717,0.014,0.0,182000,0.473
0.50012,0.015,0.0,183000,0.476
0.51262,0.012,0.0,184000,0.488
0.49891,0.021,0.0,185000,0.474
0.5013,0.019,0.0,186000,0.475
0.50261,0.017,0.0,187000,0.475
0.52794,0.019,0.0,188000,0.501
0.49889,0.021,0.0,189000,0.473
0.49678,0.02,0.0,190000,0.471
0.51971,0.01,0.0,191000,0.494
0.50169,0.016,0.0,192000,0.477
0.505,0.018,0.0,193000,0.48
0.50848,0.018,0.0,194000,0.484
0.49559,0.015,0.0,195000,0.471
0.50764,0.023,0.0,196000,0.483
0.51057,0.021,0.0,197000,0.485
0.5008,0.017,0.0,198000,0.475
0.49584,0.018,0.0,199000,0.47
0.5004,0.018,0.0,200000,0.475
0.49776,0.022,0.0,201000,0.472
0.50052,0.016,0.0,202000,0.474
0.49643,0.023,0.0,203000,0.47
0.50404,0.024,0.0,204000,0.478
0.5072,0.017,0.0,205000,0.483
0.50015,0.016,0.0,206000,0.475
0.49329,0.018,0.0,207000,0.469
0.49195,0.015,0.0,208000,0.469
0.48778,0.019,0.0,209000,0.465
0.497,0.018,0.0,210000,0.473
0.49246,0.018,0.0,211000,0.468
0.50268,0.024,0.0,212000,0.477
0.50134,0.019,0.0,213000,0.477
0.50001,0.027,0.0,214000,0.475
0.50467,0.019,0.0,215000,0.479
0.50417,0.02,0.0,216000,0.478
0.50065,0.024,0.0,217000,0.474
0.50175,0.019,0.0,218000,0.475
0.51197,0.019,0.0,219000,0.484
0.49601,0.017,0.0,220000,0.468
0.49698,0.023,0.0,221000,0.47
0.50135,0.01,0.0,222000,0.473
0.50557,0.014,0.0,223000,0.476
