loss_train,avg_winning,avg_score,step_idx,avg_diff
0.0,0.486,0.53049,159000,0.012
0.0,0.487,0.53235,160000,0.01
0.0,0.487,0.53228,161000,0.001
0.0,0.478,0.52335,162000,0.009
0.0,0.486,0.53143,163000,0.011
0.0,0.488,0.53321,164000,0.011
0.0,0.493,0.53842,165000,0.019
0.0,0.477,0.52213,166000,0.011
0.0,0.489,0.53463,167000,0.01
0.0,0.492,0.53752,168000,0.012
0.0,0.503,0.54891,169000,0.011
0.0,0.498,0.54347,170000,0.016
0.0,0.505,0.55061,171000,0.01
0.0,0.484,0.52956,172000,0.002
0.0,0.493,0.53847,173000,0.011
0.0,0.491,0.53728,174000,0.012
0.0,0.493,0.53796,175000,0.01
0.0,0.483,0.52837,176000,0.024
0.0,0.494,0.53939,177000,0.01
0.0,0.493,0.53864,178000,0.012
0.0,0.494,0.5401,179000,0.01
0.0,0.509,0.55559,180000,0.006
0.0,0.499,0.54489,181000,0.016
0.0,0.492,0.53824,182000,0.015
0.0,0.487,0.53299,183000,0.013
0.0,0.496,0.54151,184000,0.003
0.0,0.487,0.53258,185000,0.015
0.0,0.501,0.54729,186000,0.01
0.0,0.501,0.54725,187000,0.011
0.0,0.495,0.54097,188000,0.009
0.0,0.487,0.53219,189000,0.01
0.0,0.485,0.53004,190000,0.016
0.0,0.491,0.53717,191000,0.015
0.0,0.485,0.5308,192000,0.021
0.0,0.503,0.54911,193000,0.011
0.0,0.485,0.53073,194000,0.014
0.0,0.488,0.53341,195000,0.008
0.0,0.482,0.52808,196000,0.01
0.0,0.485,0.5306,197000,0.007
0.0,0.475,0.52057,198000,0.028
0.0,0.502,0.54891,199000,0.005
0.0,0.486,0.532,200000,0.014
0.0,0.48,0.52512,201000,0.014
0.0,0.49,0.53555,202000,0.014
0.0,0.491,0.53686,203000,0.013
0.0,0.482,0.52726,204000,0.012
0.0,0.473,0.51849,205000,0.01
0.0,0.492,0.53776,206000,0.014
0.0,0.499,0.54468,207000,0.014
0.0,0.491,0.53636,208000,0.016
0.0,0.488,0.53358,209000,0.017
0.0,0.489,0.53446,210000,0.019
0.0,0.489,0.53423,211000,0.02
0.0,0.485,0.53018,212000,0.025
0.0,0.482,0.52714,213000,0.022
0.0,0.493,0.53916,214000,0.011
0.0,0.5,0.5466,215000,0.017
0.0,0.49,0.53571,216000,0.016
0.0,0.486,0.53217,217000,0.018
0.0,0.504,0.55071,218000,0.008
0.0,0.483,0.5281,219000,0.012
0.0,0.495,0.54044,220000,0.017
0.0,0.499,0.54474,221000,0.018
0.0,0.489,0.53442,222000,0.011
0.0,0.502,0.54717,223000,0.017
0.0,0.486,0.53112,224000,0.024
0.0,0.493,0.53792,225000,0.027
0.0,0.484,0.52903,226000,0.024
0.0,0.497,0.54242,227000,0.019
0.0,0.498,0.54369,228000,0.021
0.0,0.482,0.52704,229000,0.019
0.0,0.488,0.53288,230000,0.02
0.0,0.501,0.5468,231000,0.022
0.0,0.495,0.54005,232000,0.015
0.0,0.48,0.5236,233000,0.017
0.0,0.493,0.53802,234000,0.015
0.0,0.484,0.52748,235000,0.017
0.0,0.481,0.52397,236000,0.015
0.0,0.506,0.54973,237000,0.015
0.0,0.483,0.52658,238000,0.022
0.0,0.488,0.53216,239000,0.024
0.0,0.489,0.53342,240000,0.016
0.0,0.477,0.52126,241000,0.019
0.0,0.485,0.52947,242000,0.01
0.0,0.484,0.52823,243000,0.002
0.0,0.483,0.52848,244000,0.015
0.0,0.486,0.53099,245000,0.013
0.0,0.47,0.51441,246000,0.016
0.0,0.483,0.52706,247000,0.016
0.0,0.489,0.534,248000,0.015
0.0,0.49,0.53511,249000,0.013
0.0,0.49,0.53511,250000,0.015
0.0,0.506,0.55129,251000,0.015
0.0,0.481,0.52549,252000,0.018
0.0,0.48,0.52505,253000,0.025
0.0,0.49,0.53453,254000,0.018
0.0,0.489,0.53373,255000,0.009
0.0,0.491,0.53531,256000,0.019
0.0,0.476,0.52067,257000,0.019
0.0,0.487,0.53119,258000,0.023
0.0,0.49,0.53522,259000,0.011
0.0,0.484,0.52902,260000,0.02
0.0,0.495,0.54037,261000,0.028
0.0,0.481,0.52598,262000,0.015
