avg_score,avg_winning,step_idx,avg_diff,loss_train
0.48073,0.458,159000,0.012,0.0
0.48361,0.461,160000,0.009,0.0
0.48372,0.46,161000,0.011,0.0
0.48217,0.458,162000,0.016,0.0
0.47777,0.453,163000,0.017,0.0
0.48583,0.462,164000,0.013,0.0
0.49138,0.467,165000,0.022,0.0
0.46602,0.443,166000,0.017,0.0
0.47424,0.451,167000,0.01,0.0
0.49021,0.467,168000,0.011,0.0
0.48965,0.466,169000,0.016,0.0
0.46974,0.446,170000,0.015,0.0
0.48616,0.461,171000,0.011,0.0
0.48571,0.46,172000,0.012,0.0
0.47709,0.451,173000,0.02,0.0
0.46497,0.44,174000,0.017,0.0
0.49054,0.466,175000,0.015,0.0
0.47855,0.455,176000,0.016,0.0
0.4805,0.457,177000,0.015,0.0
0.46483,0.441,178000,0.016,0.0
0.46639,0.443,179000,0.019,0.0
0.47848,0.454,180000,0.014,0.0
0.47586,0.452,181000,0.017,0.0
0.45869,0.435,182000,0.02,0.0
0.46075,0.438,183000,0.021,0.0
0.46409,0.439,184000,0.017,0.0
0.44996,0.426,185000,0.014,0.0
0.46577,0.442,186000,0.016,0.0
0.49012,0.465,187000,0.011,0.0
0.47064,0.446,188000,0.015,0.0
0.47972,0.453,189000,0.011,0.0
0.47373,0.448,190000,0.012,0.0
0.48021,0.454,191000,0.013,0.0
0.48848,0.462,192000,0.018,0.0
0.48171,0.455,193000,0.01,0.0
0.48368,0.458,194000,0.015,0.0
0.47745,0.452,195000,0.013,0.0
0.46901,0.443,196000,0.014,0.0
0.49719,0.47,197000,0.014,0.0
0.49025,0.464,198000,0.009,0.0
0.46655,0.442,199000,0.012,0.0
0.47611,0.452,200000,0.013,0.0
0.47926,0.455,201000,0.014,0.0
0.49455,0.468,202000,0.023,0.0
0.46728,0.441,203000,0.016,0.0
0.49246,0.465,204000,0.013,0.0
0.48847,0.463,205000,0.015,0.0
0.47915,0.454,206000,0.014,0.0
0.47578,0.45,207000,0.015,0.0
0.46951,0.444,208000,0.007,0.0
0.48042,0.454,209000,0.014,0.0
0.47439,0.448,210000,0.017,0.0
0.50489,0.477,211000,0.01,0.0
0.48506,0.459,212000,0.008,0.0
0.47796,0.451,213000,0.012,0.0
0.48871,0.463,214000,0.014,0.0
0.49756,0.47,215000,0.015,0.0
0.46848,0.442,216000,0.012,0.0
0.49441,0.469,217000,0.01,0.0
0.47564,0.451,218000,0.019,0.0
0.48795,0.463,219000,0.016,0.0
0.49812,0.471,220000,0.014,0.0
0.49821,0.472,221000,0.015,0.0
0.48681,0.462,222000,0.014,0.0
0.47079,0.446,223000,0.019,0.0
0.47967,0.454,224000,0.017,0.0
0.50644,0.479,225000,0.012,0.0
0.50401,0.475,226000,0.011,0.0
0.48709,0.458,227000,0.015,0.0
0.48608,0.458,228000,0.011,0.0
0.4807,0.453,229000,0.011,0.0
0.49784,0.47,230000,0.008,0.0
0.49359,0.466,231000,0.016,0.0
0.49533,0.468,232000,0.013,0.0
0.49365,0.468,233000,0.016,0.0
0.493,0.466,234000,0.009,0.0
0.49298,0.466,235000,0.014,0.0
0.5178,0.489,236000,0.009,0.0
0.48911,0.462,237000,0.014,0.0
0.49392,0.468,238000,0.015,0.0
0.5066,0.48,239000,0.017,0.0
0.4903,0.464,240000,0.012,0.0
0.49889,0.472,241000,0.011,0.0
0.5075,0.481,242000,0.017,0.0
0.50522,0.478,243000,0.015,0.0
0.51675,0.49,244000,0.011,0.0
0.50136,0.476,245000,0.011,0.0
0.51509,0.488,246000,0.021,0.0
0.51033,0.484,247000,0.014,0.0
0.51154,0.484,248000,0.018,0.0
0.50149,0.473,249000,0.016,0.0
0.50147,0.473,250000,0.014,0.0
0.5136,0.485,251000,0.011,0.0
0.50004,0.473,252000,0.014,0.0
0.51018,0.483,253000,0.011,0.0
0.51709,0.49,254000,0.015,0.0
0.51147,0.485,255000,0.016,0.0
0.51574,0.489,256000,0.021,0.0
0.51799,0.491,257000,0.012,0.0
0.51205,0.485,258000,0.016,0.0
0.50344,0.477,259000,0.019,0.0
0.51051,0.484,260000,0.013,0.0
0.50734,0.481,261000,0.018,0.0
0.50247,0.476,262000,0.018,0.0
0.50008,0.474,263000,0.017,0.0
0.50673,0.482,264000,0.019,0.0
0.48722,0.463,265000,0.022,0.0
0.49844,0.475,266000,0.018,0.0
0.4889,0.465,267000,0.017,0.0
0.50408,0.48,268000,0.018,0.0
0.50026,0.477,269000,0.018,0.0
0.49655,0.474,270000,0.017,0.0
0.49914,0.476,271000,0.014,0.0
0.49603,0.472,272000,0.021,0.0
0.50837,0.485,273000,0.015,0.0
0.4959,0.472,274000,0.018,0.0
0.5047,0.481,275000,0.017,0.0
