avg_diff,avg_score,loss_train,avg_winning,step_idx
-0.60434,0.29639,0.06,0.04,1000
-0.27067,3.09498,0.134,0.31,2000
-0.39447,2.39789,0.0,0.24,3000
-0.08693,2.69882,-0.0,0.27,4000
-0.12663,3.19838,0.001,0.32,5000
-0.19048,3.1978,0.0,0.32,6000
0.05759,4.09764,-0.0,0.41,7000
0.01354,3.1983,-0.0,0.32,8000
-0.00171,3.5988,-0.0,0.36,9000
-0.15772,3.29795,-0.001,0.33,10000
-0.36806,2.99711,-0.001,0.3,11000
-0.29371,3.99641,-0.0,0.4,12000
