avg_winning,avg_diff,loss_train,avg_score,step_idx
0.329,0.01,0.0,0.35344,159000
0.329,0.011,0.0,0.35163,160000
0.335,0.012,0.0,0.35822,161000
0.334,0.012,0.0,0.35652,162000
0.335,0.013,0.0,0.35651,163000
0.345,0.014,0.0,0.36714,164000
0.346,0.014,0.0,0.36876,165000
0.331,0.016,0.0,0.35365,166000
0.334,0.012,0.0,0.35648,167000
0.355,0.012,0.0,0.37743,168000
0.343,0.012,0.0,0.36479,169000
0.333,0.017,0.0,0.35396,170000
0.333,0.015,0.0,0.35429,171000
0.307,0.012,0.0,0.32828,172000
0.319,0.017,0.0,0.34002,173000
0.328,0.014,0.0,0.34903,174000
0.328,0.017,0.0,0.34967,175000
0.333,0.015,0.0,0.35555,176000
0.326,0.017,0.0,0.34726,177000
0.336,0.019,0.0,0.35822,178000
0.35,0.015,0.0,0.37193,179000
0.338,0.018,0.0,0.36118,180000
0.323,0.015,0.0,0.34571,181000
0.336,0.019,0.0,0.35972,182000
0.339,0.016,0.0,0.36357,183000
0.331,0.013,0.0,0.35413,184000
0.338,0.018,0.0,0.3624,185000
0.332,0.014,0.0,0.35553,186000
0.355,0.018,0.0,0.37847,187000
0.339,0.017,0.0,0.36296,188000
0.337,0.014,0.0,0.36112,189000
0.332,0.013,0.0,0.35822,190000
0.337,0.018,0.0,0.36322,191000
0.335,0.018,0.0,0.36056,192000
0.337,0.016,0.0,0.3622,193000
0.352,0.021,0.0,0.37713,194000
0.343,0.012,0.0,0.36808,195000
0.329,0.015,0.0,0.35378,196000
0.339,0.013,0.0,0.3632,197000
0.332,0.014,0.0,0.355,198000
0.311,0.012,0.0,0.33502,199000
0.341,0.019,0.0,0.36467,200000
0.337,0.009,0.0,0.3591,201000
0.338,0.017,0.0,0.36198,202000
0.33,0.016,0.0,0.35412,203000
0.36,0.016,0.0,0.38414,204000
0.333,0.018,0.0,0.35657,205000
0.331,0.019,0.0,0.35696,206000
0.32,0.016,0.0,0.34582,207000
0.322,0.014,0.0,0.34562,208000
0.335,0.01,0.0,0.35674,209000
0.332,0.016,0.0,0.35405,210000
0.329,0.008,0.0,0.35048,211000
0.327,0.014,0.0,0.34834,212000
0.321,0.014,0.0,0.34007,213000
0.342,0.016,0.0,0.3628,214000
0.331,0.013,0.0,0.35309,215000
0.344,0.017,0.0,0.36553,216000
0.353,0.014,0.0,0.37464,217000
0.349,0.015,0.0,0.37009,218000
0.337,0.015,0.0,0.35903,219000
0.337,0.013,0.0,0.36022,220000
0.339,0.021,0.0,0.36174,221000
0.336,0.019,0.0,0.35991,222000
0.333,0.021,0.0,0.35602,223000
0.323,0.019,0.0,0.34688,224000
0.327,0.019,0.0,0.3503,225000
0.352,0.015,0.0,0.37415,226000
0.337,0.018,0.0,0.36027,227000
0.341,0.011,0.0,0.36399,228000
0.347,0.016,0.0,0.3689,229000
0.335,0.015,0.0,0.35582,230000
0.362,0.018,0.0,0.38329,231000
0.346,0.018,0.0,0.36619,232000
0.356,0.014,0.0,0.37592,233000
0.338,0.017,0.0,0.35962,234000
0.352,0.019,0.0,0.37256,235000
0.361,0.017,0.0,0.38186,236000
0.337,0.024,0.0,0.35774,237000
0.36,0.019,0.0,0.38172,238000
0.348,0.017,0.0,0.37024,239000
0.346,0.017,0.0,0.36727,240000
0.338,0.014,0.0,0.35847,241000
0.338,0.014,0.0,0.35894,242000
