avg_winning,loss_train,avg_score,avg_diff,step_idx
0.485,0.0,0.53062,0.02,159000
0.469,0.0,0.51278,0.017,160000
0.475,0.0,0.51794,0.027,161000
0.452,0.0,0.49307,0.021,162000
0.462,0.0,0.50578,0.012,163000
0.467,0.0,0.51119,0.021,164000
0.461,0.0,0.50481,0.019,165000
0.462,0.0,0.50554,0.023,166000
0.446,0.0,0.48919,0.022,167000
0.457,0.0,0.50121,0.017,168000
0.446,0.0,0.48996,0.025,169000
0.452,0.0,0.49519,0.021,170000
0.453,0.0,0.49683,0.023,171000
0.462,0.0,0.50657,0.024,172000
0.472,0.0,0.51626,0.022,173000
0.47,0.0,0.51404,0.02,174000
0.472,0.0,0.51707,0.023,175000
0.487,0.0,0.53302,0.021,176000
0.477,0.0,0.52223,0.028,177000
0.483,0.0,0.52864,0.023,178000
0.48,0.0,0.52467,0.022,179000
0.482,0.0,0.52732,0.021,180000
0.468,0.0,0.51396,0.019,181000
0.468,0.0,0.51405,0.021,182000
0.466,0.0,0.51195,0.019,183000
0.487,0.0,0.53332,0.022,184000
0.455,0.0,0.50046,0.015,185000
0.468,0.0,0.51354,0.02,186000
0.473,0.0,0.51965,0.025,187000
0.465,0.0,0.51153,0.028,188000
0.478,0.0,0.52464,0.024,189000
0.48,0.0,0.52675,0.015,190000
0.468,0.0,0.51276,0.019,191000
0.477,0.0,0.5228,0.017,192000
0.489,0.0,0.53314,0.023,193000
0.483,0.0,0.52795,0.025,194000
0.47,0.0,0.51491,0.018,195000
0.483,0.0,0.52922,0.02,196000
0.486,0.0,0.53206,0.023,197000
0.471,0.0,0.51651,0.017,198000
0.478,0.0,0.52401,0.022,199000
0.475,0.0,0.52028,0.024,200000
0.495,0.0,0.54077,0.018,201000
0.483,0.0,0.52802,0.024,202000
0.486,0.0,0.53198,0.017,203000
0.476,0.0,0.52023,0.019,204000
0.49,0.0,0.53603,0.017,205000
0.486,0.0,0.53101,0.022,206000
0.496,0.0,0.54195,0.023,207000
0.489,0.0,0.53543,0.02,208000
0.473,0.0,0.51884,0.024,209000
0.484,0.0,0.53,0.015,210000
0.49,0.0,0.53537,0.018,211000
0.474,0.0,0.51962,0.02,212000
0.486,0.0,0.53259,0.017,213000
0.486,0.0,0.53108,0.018,214000
0.474,0.0,0.52043,0.015,215000
0.479,0.0,0.52491,0.013,216000
0.47,0.0,0.51599,0.012,217000
0.471,0.0,0.51686,0.017,218000
0.49,0.0,0.53573,0.017,219000
0.499,0.0,0.54515,0.023,220000
0.492,0.0,0.53628,0.023,221000
0.489,0.0,0.53386,0.013,222000
0.488,0.0,0.53337,0.025,223000
0.484,0.0,0.52928,0.019,224000
0.495,0.0,0.54125,0.024,225000
0.483,0.0,0.52892,0.016,226000
0.486,0.0,0.53142,0.02,227000
0.505,0.0,0.55085,0.022,228000
0.502,0.0,0.54646,0.02,229000
0.5,0.0,0.54581,0.019,230000
0.481,0.0,0.52784,0.02,231000
0.494,0.0,0.54074,0.016,232000
0.482,0.0,0.52721,0.017,233000
0.48,0.0,0.52548,0.016,234000
0.492,0.0,0.53756,0.02,235000
0.483,0.0,0.52886,0.022,236000
0.493,0.0,0.53923,0.021,237000
0.486,0.0,0.5327,0.018,238000
0.487,0.0,0.53441,0.02,239000
0.462,0.0,0.50844,0.019,240000
0.478,0.0,0.52451,0.019,241000
0.498,0.0,0.54476,0.026,242000
0.487,0.0,0.53375,0.021,243000
0.475,0.0,0.52104,0.027,244000
0.484,0.0,0.52918,0.014,245000
