avg_score,avg_diff,loss_train,step_idx,avg_winning
0.51103,0.022,0.0,159000,0.475
0.52693,0.017,0.0,160000,0.491
0.52759,0.02,0.0,161000,0.491
0.52025,0.018,0.0,162000,0.484
0.51947,0.023,0.0,163000,0.483
0.52511,0.026,0.0,164000,0.489
0.52047,0.027,0.0,165000,0.485
0.51688,0.023,0.0,166000,0.481
0.52595,0.021,0.0,167000,0.489
0.51604,0.023,0.0,168000,0.479
0.52392,0.017,0.0,169000,0.487
0.51585,0.027,0.0,170000,0.48
0.51551,0.019,0.0,171000,0.48
0.51923,0.017,0.0,172000,0.484
0.51413,0.023,0.0,173000,0.478
0.51067,0.026,0.0,174000,0.474
0.51137,0.014,0.0,175000,0.475
0.5326,0.022,0.0,176000,0.496
0.52293,0.026,0.0,177000,0.487
0.51372,0.02,0.0,178000,0.478
0.53274,0.019,0.0,179000,0.497
0.518,0.018,0.0,180000,0.482
0.51581,0.02,0.0,181000,0.48
0.51001,0.019,0.0,182000,0.474
0.51223,0.02,0.0,183000,0.476
0.52573,0.019,0.0,184000,0.489
0.52073,0.017,0.0,185000,0.483
0.51011,0.016,0.0,186000,0.473
0.51978,0.022,0.0,187000,0.482
0.52895,0.021,0.0,188000,0.491
0.50736,0.019,0.0,189000,0.469
0.51675,0.019,0.0,190000,0.48
0.52071,0.022,0.0,191000,0.484
0.51172,0.015,0.0,192000,0.476
0.51529,0.024,0.0,193000,0.48
0.52948,0.018,0.0,194000,0.494
0.5212,0.017,0.0,195000,0.485
0.51961,0.023,0.0,196000,0.483
0.52677,0.02,0.0,197000,0.491
0.52206,0.022,0.0,198000,0.487
0.51796,0.02,0.0,199000,0.483
0.50967,0.019,0.0,200000,0.475
0.5285,0.016,0.0,201000,0.493
0.52048,0.02,0.0,202000,0.486
0.51769,0.022,0.0,203000,0.483
0.50523,0.019,0.0,204000,0.471
0.51932,0.018,0.0,205000,0.484
0.51657,0.017,0.0,206000,0.481
0.5163,0.025,0.0,207000,0.482
0.51572,0.014,0.0,208000,0.481
0.5015,0.018,0.0,209000,0.467
0.50159,0.026,0.0,210000,0.468
0.50441,0.02,0.0,211000,0.47
0.51712,0.019,0.0,212000,0.483
0.52617,0.016,0.0,213000,0.491
0.52329,0.019,0.0,214000,0.489
0.52821,0.015,0.0,215000,0.493
0.52904,0.012,0.0,216000,0.495
