avg_score,loss_train,avg_diff,step_idx,avg_winning
0.36249,0.0,0.016,159000,0.343
0.34552,0.0,0.02,160000,0.325
0.35981,0.0,0.017,161000,0.339
0.34735,0.0,0.018,162000,0.326
0.36347,0.0,0.014,163000,0.344
0.3688,0.0,0.018,164000,0.347
0.36676,0.0,0.017,165000,0.346
0.34927,0.0,0.022,166000,0.328
0.34426,0.0,0.015,167000,0.323
0.3358,0.0,0.022,168000,0.314
0.36324,0.0,0.02,169000,0.341
0.35513,0.0,0.019,170000,0.333
0.35955,0.0,0.019,171000,0.339
0.3661,0.0,0.015,172000,0.345
0.35297,0.0,0.018,173000,0.332
0.36062,0.0,0.014,174000,0.34
0.3549,0.0,0.012,175000,0.334
0.35908,0.0,0.011,176000,0.338
0.34124,0.0,0.022,177000,0.32
0.33841,0.0,0.012,178000,0.316
0.35747,0.0,0.016,179000,0.335
0.34205,0.0,0.011,180000,0.319
0.36566,0.0,0.012,181000,0.342
0.36592,0.0,0.014,182000,0.342
0.35168,0.0,0.018,183000,0.328
0.35568,0.0,0.018,184000,0.332
0.34937,0.0,0.019,185000,0.325
0.3474,0.0,0.017,186000,0.325
0.36717,0.0,0.012,187000,0.345
0.35324,0.0,0.019,188000,0.331
0.36323,0.0,0.019,189000,0.34
0.35642,0.0,0.017,190000,0.332
0.35405,0.0,0.016,191000,0.33
0.34235,0.0,0.021,192000,0.319
0.35209,0.0,0.019,193000,0.328
0.35566,0.0,0.017,194000,0.331
0.35153,0.0,0.016,195000,0.328
0.35821,0.0,0.021,196000,0.333
0.35524,0.0,0.022,197000,0.331
0.35219,0.0,0.016,198000,0.329
0.35586,0.0,0.013,199000,0.333
0.35345,0.0,0.014,200000,0.331
0.35705,0.0,0.013,201000,0.334
0.34893,0.0,0.012,202000,0.326
0.32689,0.0,0.014,203000,0.305
0.33175,0.0,0.017,204000,0.31
0.34465,0.0,0.011,205000,0.321
0.3479,0.0,0.017,206000,0.325
0.33982,0.0,0.01,207000,0.317
0.34672,0.0,0.016,208000,0.324
0.32948,0.0,0.014,209000,0.307
0.33017,0.0,0.015,210000,0.308
0.31105,0.0,0.018,211000,0.289
0.32296,0.0,0.015,212000,0.301
0.3042,0.0,0.013,213000,0.283
0.34685,0.0,0.015,214000,0.324
0.34768,0.0,0.01,215000,0.326
0.35077,0.0,0.009,216000,0.329
0.34487,0.0,0.01,217000,0.323
0.3535,0.0,0.017,218000,0.33
0.36597,0.0,0.016,219000,0.343
0.35582,0.0,0.019,220000,0.332
0.34899,0.0,0.019,221000,0.326
0.35696,0.0,0.015,222000,0.335
0.37474,0.0,0.015,223000,0.351
0.34164,0.0,0.021,224000,0.32
0.36458,0.0,0.011,225000,0.343
0.36175,0.0,0.014,226000,0.34
0.3617,0.0,0.018,227000,0.341
0.34071,0.0,0.015,228000,0.319
0.35468,0.0,0.016,229000,0.332
0.34654,0.0,0.019,230000,0.324
0.34314,0.0,0.021,231000,0.32
0.35411,0.0,0.023,232000,0.33
0.36511,0.0,0.015,233000,0.341
0.3647,0.0,0.015,234000,0.34
0.35916,0.0,0.017,235000,0.334
0.36815,0.0,0.012,236000,0.344
0.36421,0.0,0.015,237000,0.34
0.35184,0.0,0.015,238000,0.329
0.35989,0.0,0.014,239000,0.336
0.37508,0.0,0.01,240000,0.352
0.36108,0.0,0.015,241000,0.337
0.36122,0.0,0.015,242000,0.337
0.36418,0.0,0.009,243000,0.341
0.36298,0.0,0.008,244000,0.339
0.36533,0.0,0.013,245000,0.342
0.37019,0.0,0.015,246000,0.344
0.36457,0.0,0.013,247000,0.339
0.37589,0.0,0.013,248000,0.35
0.36879,0.0,0.007,249000,0.343
0.35865,0.0,0.012,250000,0.335
0.37191,0.0,0.019,251000,0.347
0.35679,0.0,0.013,252000,0.334
0.35144,0.0,0.011,253000,0.328
0.3686,0.0,0.015,254000,0.346
0.3459,0.0,0.018,255000,0.325
0.35617,0.0,0.021,256000,0.335
0.34557,0.0,0.019,257000,0.325
0.35906,0.0,0.021,258000,0.338
0.34691,0.0,0.021,259000,0.327
0.33638,0.0,0.014,260000,0.316
0.36437,0.0,0.02,261000,0.344
0.37232,0.0,0.018,262000,0.353
