avg_score,loss_train,step_idx,avg_winning,avg_diff
0.52332,0.0,159000,0.471,0.02
0.52401,0.0,160000,0.471,0.019
0.5314,0.0,161000,0.479,0.02
0.53157,0.0,162000,0.478,0.017
0.53619,0.0,163000,0.483,0.024
0.51993,0.0,164000,0.467,0.022
0.51718,0.0,165000,0.465,0.014
0.51587,0.0,166000,0.464,0.015
0.53311,0.0,167000,0.481,0.013
0.52107,0.0,168000,0.469,0.016
0.5372,0.0,169000,0.485,0.006
0.53284,0.0,170000,0.481,0.005
0.52699,0.0,171000,0.476,0.005
0.53486,0.0,172000,0.484,0.005
0.53484,0.0,173000,0.483,0.01
0.53234,0.0,174000,0.481,0.012
0.53743,0.0,175000,0.485,0.007
0.52131,0.0,176000,0.47,0.011
0.52813,0.0,177000,0.477,0.003
0.53273,0.0,178000,0.482,0.01
0.52295,0.0,179000,0.472,0.011
0.53267,0.0,180000,0.481,0.009
0.52394,0.0,181000,0.472,0.013
0.53049,0.0,182000,0.479,0.007
0.51258,0.0,183000,0.461,0.013
0.51519,0.0,184000,0.463,0.015
0.51872,0.0,185000,0.466,0.009
0.52612,0.0,186000,0.474,0.017
0.53895,0.0,187000,0.487,0.01
0.52327,0.0,188000,0.471,0.012
0.52961,0.0,189000,0.478,0.015
0.52587,0.0,190000,0.474,0.007
0.51542,0.0,191000,0.463,0.013
0.53738,0.0,192000,0.485,0.016
0.54744,0.0,193000,0.495,0.003
0.55145,0.0,194000,0.499,0.005
0.52925,0.0,195000,0.477,0.005
0.53738,0.0,196000,0.485,0.013
0.53859,0.0,197000,0.486,0.003
0.52648,0.0,198000,0.474,0.009
0.54418,0.0,199000,0.491,0.01
0.54341,0.0,200000,0.491,0.019
0.53358,0.0,201000,0.481,0.014
0.53441,0.0,202000,0.482,0.021
0.54496,0.0,203000,0.492,0.014
0.54451,0.0,204000,0.492,0.012
0.54574,0.0,205000,0.493,0.013
0.53082,0.0,206000,0.479,0.015
0.54478,0.0,207000,0.493,0.016
0.52924,0.0,208000,0.478,0.01
0.52804,0.0,209000,0.476,0.012
0.53554,0.0,210000,0.484,0.017
0.52464,0.0,211000,0.473,0.013
0.52292,0.0,212000,0.471,0.011
0.54436,0.0,213000,0.493,0.01
0.54566,0.0,214000,0.494,0.015
0.52915,0.0,215000,0.478,0.016
0.53086,0.0,216000,0.48,0.018
0.51335,0.0,217000,0.462,0.014
0.53843,0.0,218000,0.487,0.005
0.54062,0.0,219000,0.488,0.013
0.53018,0.0,220000,0.478,0.01
0.52603,0.0,221000,0.474,0.007
0.54005,0.0,222000,0.488,0.014
0.53074,0.0,223000,0.478,0.018
0.53905,0.0,224000,0.487,0.01
0.53578,0.0,225000,0.484,0.014
0.53411,0.0,226000,0.482,0.013
0.5423,0.0,227000,0.49,0.01
0.539,0.0,228000,0.487,0.021
0.54753,0.0,229000,0.496,0.013
0.53582,0.0,230000,0.484,0.013
0.53566,0.0,231000,0.484,0.014
0.54001,0.0,232000,0.488,0.012
0.53645,0.0,233000,0.484,0.013
0.53858,0.0,234000,0.487,0.011
0.53765,0.0,235000,0.485,0.019
0.53048,0.0,236000,0.478,0.009
0.54589,0.0,237000,0.493,0.014
0.54062,0.0,238000,0.488,0.01
0.54646,0.0,239000,0.494,0.018
0.53985,0.0,240000,0.487,0.01
0.53953,0.0,241000,0.487,0.012
0.5546,0.0,242000,0.502,0.019
0.53971,0.0,243000,0.487,0.015
0.53667,0.0,244000,0.484,0.013
0.52833,0.0,245000,0.476,0.02
0.53917,0.0,246000,0.487,0.012
0.54027,0.0,247000,0.488,0.018
0.5538,0.0,248000,0.501,0.012
0.54174,0.0,249000,0.489,0.016
0.54378,0.0,250000,0.491,0.016
