avg_score,avg_diff,step_idx,avg_winning,loss_train
0.52431,0.015,159000,0.474,0.0
0.52949,0.018,160000,0.479,0.0
0.53151,0.014,161000,0.48,0.0
0.53086,0.015,162000,0.479,0.0
0.52286,0.016,163000,0.472,0.0
0.52909,0.018,164000,0.478,0.0
0.53869,0.013,165000,0.487,0.0
0.5339,0.016,166000,0.483,0.0
0.52426,0.014,167000,0.473,0.0
0.5322,0.015,168000,0.48,0.0
0.52636,0.022,169000,0.474,0.0
0.52606,0.015,170000,0.474,0.0
0.52785,0.013,171000,0.476,0.0
0.52385,0.012,172000,0.472,0.0
0.53266,0.015,173000,0.481,0.0
0.53498,0.02,174000,0.483,0.0
0.52428,0.016,175000,0.472,0.0
0.5267,0.019,176000,0.476,0.0
0.52443,0.007,177000,0.474,0.0
0.54318,0.01,178000,0.492,0.0
0.52913,0.015,179000,0.478,0.0
0.53026,0.016,180000,0.479,0.0
0.52607,0.017,181000,0.474,0.0
0.53536,0.017,182000,0.483,0.0
0.53969,0.012,183000,0.488,0.0
0.52721,0.021,184000,0.475,0.0
0.53387,0.011,185000,0.482,0.0
0.52777,0.016,186000,0.476,0.0
0.53964,0.02,187000,0.487,0.0
0.53753,0.013,188000,0.486,0.0
0.55028,0.017,189000,0.498,0.0
0.53637,0.016,190000,0.484,0.0
0.54498,0.025,191000,0.493,0.0
0.53827,0.019,192000,0.487,0.0
0.55105,0.017,193000,0.499,0.0
0.5374,0.01,194000,0.486,0.0
0.52171,0.023,195000,0.47,0.0
0.54931,0.013,196000,0.498,0.0
0.51054,0.016,197000,0.459,0.0
0.53137,0.013,198000,0.48,0.0
0.53072,0.023,199000,0.479,0.0
0.52165,0.019,200000,0.47,0.0
0.54279,0.015,201000,0.491,0.0
0.54065,0.024,202000,0.489,0.0
0.54633,0.018,203000,0.494,0.0
0.54115,0.017,204000,0.489,0.0
0.54384,0.018,205000,0.492,0.0
0.54022,0.027,206000,0.488,0.0
0.53223,0.022,207000,0.48,0.0
0.52386,0.019,208000,0.472,0.0
0.52892,0.013,209000,0.477,0.0
0.53268,0.016,210000,0.481,0.0
0.53919,0.016,211000,0.488,0.0
nan,0.017,212000,0.497,0.0
0.54569,0.017,213000,0.495,0.0
0.5337,0.019,214000,0.484,0.0
0.53537,0.02,215000,0.485,0.0
nan,0.018,216000,0.483,0.0
0.5513,0.014,217000,0.501,0.0
0.53629,0.014,218000,0.486,0.0
0.54392,0.014,219000,0.494,0.0
0.54011,0.015,220000,0.49,0.0
0.5191,0.016,221000,0.47,0.0
0.52962,0.014,222000,0.48,0.0
0.53155,0.016,223000,0.481,0.0
0.52698,0.018,224000,0.478,0.0
0.53304,0.017,225000,0.483,0.0
