loss_train,avg_winning,step_idx,avg_score,avg_diff
0.0,0.228,1000,0.25273,0.015
0.0,0.253,2000,0.28036,0.018
0.0,0.278,3000,0.3092,0.021
0.0,0.296,4000,0.32849,0.022
0.0,0.32,5000,0.35488,0.019
0.0,0.297,6000,0.33203,0.018
0.0,0.315,7000,0.35066,0.021
0.0,0.328,8000,0.36351,0.021
0.0,0.336,9000,0.37106,0.023
0.0,0.315,10000,0.3509,0.017
0.0,0.313,11000,0.34767,0.025
0.0,0.319,12000,0.35521,0.022
0.0,0.319,13000,0.3547,0.021
0.0,0.319,14000,0.35505,0.025
0.0,0.327,15000,0.36321,0.024
0.0,0.318,16000,0.35491,0.03
0.0,0.331,17000,0.36812,0.026
0.0,0.316,18000,0.35359,0.022
0.0,0.354,19000,0.39238,0.023
0.0,0.365,20000,0.40359,0.016
0.0,0.341,21000,0.37861,0.033
0.0,0.35,22000,0.3875,0.021
0.0,0.371,23000,0.40956,0.025
0.0,0.335,24000,0.37299,0.024
0.0,0.369,25000,0.40723,0.021
0.0,0.373,26000,0.41144,0.032
0.0,0.359,27000,0.39729,0.028
0.0,0.355,28000,0.39362,0.02
0.0,0.355,29000,0.39379,0.023
0.0,0.368,30000,0.40734,0.031
0.0,0.375,31000,0.41409,0.028
0.0,0.367,32000,0.40598,0.026
0.0,0.355,33000,0.39387,0.026
0.0,0.377,34000,0.41644,0.019
0.0,0.358,35000,0.3969,0.025
0.0,0.373,36000,0.41334,0.025
0.0,0.377,37000,0.41739,0.032
0.0,0.37,38000,0.41085,0.02
0.0,0.385,39000,0.42525,0.031
0.0,0.383,40000,0.42299,0.025
0.0,0.388,41000,0.42915,0.029
0.0,0.387,42000,0.42751,0.013
0.0,0.384,43000,0.4246,0.016
0.0,0.392,44000,0.43248,0.036
0.0,0.383,45000,0.42258,0.023
0.0,0.398,46000,0.43896,0.035
0.0,0.401,47000,0.44101,0.024
0.0,0.395,48000,0.43476,0.026
0.0,0.397,49000,0.43732,0.024
0.0,0.404,50000,0.44447,0.03
0.0,0.422,51000,0.46328,0.029
0.0,0.407,52000,0.44859,0.029
0.0,0.41,53000,0.4521,0.02
0.0,0.43,54000,0.47205,0.024
0.0,0.418,55000,0.46093,0.017
0.0,0.432,56000,0.47515,0.026
0.0,0.426,57000,0.47017,0.023
0.0,0.43,58000,0.47379,0.015
0.0,0.451,59000,0.49381,0.016
0.0,0.433,60000,0.47568,0.025
0.0,0.427,61000,0.46976,0.022
0.0,0.405,62000,0.44722,0.018
0.0,0.432,63000,0.47517,0.017
0.0,0.433,64000,0.47584,0.015
0.0,0.446,65000,0.48999,0.018
0.0,0.446,66000,nan,0.027
0.0,0.435,67000,0.47821,0.016
0.0,0.428,68000,0.47077,0.018
0.0,0.441,69000,0.48408,0.024
0.0,0.461,70000,0.50484,0.018
0.0,0.448,71000,0.49176,0.019
0.0,0.444,72000,0.48779,0.019
0.0,0.431,73000,0.47328,0.02
0.0,0.441,74000,0.48421,0.018
0.0,0.439,75000,0.48222,0.017
0.0,0.441,76000,0.48405,0.02
0.0,0.437,77000,0.48064,0.014
0.0,0.444,78000,0.4863,0.02
0.0,0.423,79000,0.46534,0.014
0.0,0.42,80000,0.46228,0.017
0.0,0.42,81000,0.46322,0.021
0.0,0.426,82000,0.46926,0.018
0.0,0.432,83000,0.47585,0.021
0.0,0.431,84000,0.47409,0.019
0.0,0.445,85000,0.48932,0.023
0.0,0.425,86000,0.4682,0.02
0.0,0.439,87000,0.48236,0.031
0.0,0.44,88000,0.48373,0.029
0.0,0.433,89000,0.47666,0.016
0.0,0.44,90000,0.48346,0.015
0.0,0.429,91000,0.47255,0.02
0.0,0.429,92000,0.47293,0.021
0.0,0.428,93000,0.47198,0.023
0.0,0.436,94000,0.48015,0.037
0.0,0.441,95000,0.48495,0.027
0.0,0.431,96000,0.47456,0.022
0.0,0.433,97000,0.47671,0.023
0.0,0.428,98000,nan,0.027
0.0,0.438,99000,0.48194,0.018
0.0,0.448,100000,0.49115,0.014
0.0,0.441,101000,0.48295,0.019
0.0,0.44,102000,0.48365,0.016
0.0,0.432,103000,0.47586,0.021
0.0,0.433,104000,0.47675,0.023
0.0,0.437,105000,0.48107,0.023
0.0,0.431,106000,nan,0.02
0.0,0.439,107000,0.48286,0.018
0.0,0.466,108000,0.51112,0.024
0.0,0.452,109000,0.49683,0.023
0.0,0.442,110000,0.48677,0.015
0.0,0.447,111000,0.49285,0.024
0.0,0.434,112000,0.47938,0.022
