avg_winning,loss_train,avg_diff,avg_score,step_idx
0.372,0.0,0.019,0.39089,159000
0.395,0.0,0.013,0.41405,160000
0.386,0.0,0.016,0.40489,161000
0.385,0.0,0.017,0.40451,162000
0.383,0.0,0.019,0.40225,163000
0.377,0.0,0.014,0.39582,164000
0.375,0.0,0.017,0.39358,165000
0.371,0.0,0.015,0.39164,166000
0.383,0.0,0.007,0.40495,167000
0.375,0.0,0.011,0.39497,168000
0.369,0.0,0.015,0.391,169000
0.376,0.0,0.013,0.39553,170000
0.382,0.0,0.015,0.40124,171000
0.39,0.0,0.015,0.41057,172000
0.378,0.0,0.017,0.39992,173000
0.355,0.0,0.012,0.37574,174000
0.371,0.0,0.013,0.39248,175000
0.37,0.0,0.013,0.39197,176000
0.362,0.0,0.01,0.38233,177000
0.37,0.0,0.016,0.39038,178000
0.373,0.0,0.01,0.39313,179000
0.361,0.0,0.011,0.38049,180000
0.361,0.0,0.014,0.3799,181000
0.376,0.0,0.017,0.39506,182000
0.36,0.0,0.016,0.37802,183000
0.369,0.0,0.013,0.38918,184000
0.38,0.0,0.011,0.39835,185000
0.375,0.0,0.012,0.39337,186000
0.367,0.0,0.013,0.38752,187000
0.362,0.0,0.013,0.38078,188000
0.365,0.0,0.015,0.38459,189000
0.37,0.0,0.011,0.38849,190000
0.369,0.0,0.019,0.39038,191000
0.376,0.0,0.009,0.39661,192000
0.371,0.0,0.013,0.39238,193000
0.374,0.0,0.01,0.3929,194000
0.373,0.0,0.009,0.39286,195000
0.357,0.0,0.008,0.37679,196000
0.379,0.0,0.015,0.39701,197000
0.369,0.0,0.012,0.38919,198000
0.372,0.0,0.016,0.39375,199000
0.364,0.0,0.009,0.38477,200000
0.381,0.0,0.013,0.40255,201000
0.387,0.0,0.016,0.40991,202000
0.373,0.0,0.014,0.39586,203000
0.358,0.0,0.013,0.37911,204000
0.38,0.0,0.015,0.4008,205000
0.373,0.0,0.014,0.39382,206000
0.346,0.0,0.01,0.36671,207000
0.366,0.0,0.015,0.38797,208000
0.358,0.0,0.014,0.38015,209000
