step_idx,loss_train,avg_winning,avg_score,avg_diff
159000,0.0,0.33,0.35253,0.028
160000,0.0,0.344,0.36656,0.012
161000,0.0,0.363,0.38481,0.011
162000,0.0,0.364,0.38628,0.017
163000,0.0,0.365,0.38721,0.029
164000,0.0,0.386,0.4089,0.024
165000,0.0,0.361,0.38371,0.02
166000,0.0,0.355,0.37696,0.026
167000,0.0,0.372,0.39449,0.019
168000,0.0,0.374,0.39552,0.026
169000,0.0,0.365,0.38667,0.023
170000,0.0,0.357,0.37851,0.017
171000,0.0,0.387,0.40822,0.021
172000,0.0,0.371,0.39441,0.027
173000,0.0,0.371,0.39376,0.02
174000,0.0,0.364,0.38627,0.018
175000,0.0,0.363,0.38513,0.014
176000,0.0,0.375,0.39738,0.019
177000,0.0,0.379,0.40225,0.025
178000,0.0,0.376,0.39938,0.023
179000,0.0,0.38,0.40332,0.013
180000,0.0,0.359,0.38233,0.017
181000,0.0,0.371,0.39379,0.022
182000,0.0,0.383,0.40493,0.013
183000,0.0,0.381,0.40304,0.016
184000,0.0,0.355,0.37577,0.017
185000,0.0,0.367,0.38881,0.022
186000,0.0,0.391,0.41309,0.02
187000,0.0,0.368,0.39061,0.022
188000,0.0,0.365,0.38707,0.021
189000,0.0,0.386,0.40825,0.024
190000,0.0,0.386,0.40796,0.02
191000,0.0,0.388,0.40985,0.016
192000,0.0,0.386,0.40629,0.019
193000,0.0,0.376,0.39666,0.022
194000,0.0,0.406,0.42648,0.015
195000,0.0,0.393,0.41406,0.013
196000,0.0,0.399,0.41911,0.021
197000,0.0,0.402,0.42126,0.014
198000,0.0,0.382,0.40166,0.016
199000,0.0,0.391,0.41066,0.014
200000,0.0,0.383,0.40373,0.021
201000,0.0,0.389,0.41029,0.021
202000,0.0,0.387,0.40962,0.015
203000,0.0,0.361,0.38199,0.011
204000,0.0,0.367,0.38746,0.014
205000,0.0,0.377,0.39783,0.018
206000,0.0,0.388,0.40921,0.019
207000,0.0,0.366,0.38749,0.021
208000,0.0,0.392,0.4129,0.017
209000,0.0,0.386,0.40662,0.021
210000,0.0,0.378,0.39703,0.022
211000,0.0,0.381,0.40089,0.011
212000,0.0,0.371,0.39093,0.018
213000,0.0,0.374,0.39372,0.014
214000,0.0,0.375,0.39492,0.018
215000,0.0,0.383,0.40379,0.017
216000,0.0,0.38,0.40042,0.015
217000,0.0,0.375,0.39603,0.019
218000,0.0,0.37,0.39122,0.019
219000,0.0,0.367,0.38835,0.015
220000,0.0,0.375,0.39769,0.013
221000,0.0,0.377,0.39969,0.016
222000,0.0,0.367,0.38964,0.023
223000,0.0,0.367,0.38849,0.018
224000,0.0,0.381,0.40363,0.015
225000,0.0,0.373,0.39519,0.02
226000,0.0,0.373,0.39612,0.014
227000,0.0,0.38,0.40374,0.017
228000,0.0,0.382,0.40605,0.018
229000,0.0,0.39,0.41198,0.02
230000,0.0,0.379,0.40041,0.012
231000,0.0,0.382,0.40407,0.017
232000,0.0,0.365,0.38537,0.023
233000,0.0,0.365,0.38605,0.014
234000,0.0,0.383,0.40479,0.021
235000,0.0,0.377,0.3983,0.014
236000,0.0,0.367,0.38685,0.006
237000,0.0,0.381,0.40029,0.013
238000,0.0,0.362,0.38225,0.022
239000,0.0,0.375,0.39577,0.022
240000,0.0,0.369,0.38953,0.018
241000,0.0,0.368,0.38736,0.012
242000,0.0,0.395,0.41587,0.018
243000,0.0,0.359,0.37821,0.027
244000,0.0,0.369,0.38921,0.024
245000,0.0,0.362,0.38197,0.029
246000,0.0,0.381,0.40136,0.024
247000,0.0,0.388,0.40867,0.016
248000,0.0,0.35,0.37047,0.024
249000,0.0,0.375,0.39534,0.019
250000,0.0,0.366,0.38741,0.019
251000,0.0,0.363,0.38477,0.019
252000,0.0,0.369,0.39122,0.024
253000,0.0,0.344,0.36553,0.021
254000,0.0,0.34,0.36062,0.017
255000,0.0,0.365,0.38694,0.019
256000,0.0,0.36,0.38177,0.016
257000,0.0,0.36,0.38088,0.027
258000,0.0,0.363,0.38417,0.022
259000,0.0,0.36,0.38171,0.016
260000,0.0,0.363,0.38361,0.017
261000,0.0,0.353,0.37435,0.023
262000,0.0,0.37,0.39255,0.022
263000,0.0,0.363,0.38384,0.02
264000,0.0,0.383,0.40489,0.025
265000,0.0,0.388,0.411,0.023
266000,0.0,0.365,0.38687,0.025
267000,0.0,0.373,0.39456,0.018
268000,0.0,0.367,0.38754,0.017
269000,0.0,0.386,0.40605,0.014
270000,0.0,0.377,0.39727,0.013
271000,0.0,0.374,0.39369,0.021
272000,0.0,0.391,0.41244,0.014
273000,0.0,0.366,0.38664,0.021
274000,0.0,0.373,0.39404,0.019
275000,0.0,0.377,0.39712,0.023
276000,0.0,0.388,0.40886,0.016
277000,0.0,0.374,0.39551,0.018
278000,0.0,0.377,0.3992,0.017
279000,0.0,0.382,0.40293,0.015
280000,0.0,0.374,0.39498,0.012
281000,0.0,0.371,0.39249,0.018
282000,0.0,0.38,0.40136,0.018
283000,0.0,0.374,0.39593,0.021
284000,0.0,0.373,0.39492,0.019
285000,0.0,0.386,0.40605,0.021
286000,0.0,0.374,0.39641,0.016
287000,0.0,0.349,0.37039,0.014
288000,0.0,0.363,0.38348,0.018
289000,0.0,0.373,0.39431,0.015
290000,0.0,0.385,0.4066,0.023
291000,0.0,0.368,0.38887,0.025
292000,0.0,0.401,0.42334,0.016
293000,0.0,0.391,0.41265,0.022
294000,0.0,0.389,0.41069,0.032
295000,0.0,0.412,0.43451,0.012
296000,0.0,0.372,0.39316,0.014
297000,0.0,0.376,0.39705,0.016
298000,0.0,0.374,0.39536,0.018
299000,0.0,0.39,0.41232,0.018
300000,0.0,0.416,0.43896,0.021
301000,0.0,0.41,0.43238,0.013
302000,0.0,0.377,0.39676,0.023
303000,0.0,0.391,0.41078,0.018
304000,0.0,0.396,0.41616,0.019
305000,0.0,0.377,0.39596,0.022
306000,0.0,0.387,0.40593,0.021
307000,0.0,0.375,0.39327,0.024
308000,0.0,0.355,0.37303,0.019
309000,0.0,0.373,0.39136,0.018
310000,0.0,0.398,0.41686,0.016
311000,0.0,0.37,0.38847,0.021
312000,0.0,0.374,0.39304,0.023
313000,0.0,0.38,0.40006,0.018
314000,0.0,0.383,0.40303,0.021
315000,0.0,0.4,0.42089,0.02
316000,0.0,0.385,0.40437,0.019
317000,0.0,0.39,0.40987,0.02
318000,0.0,0.399,0.41998,0.016
319000,0.0,0.42,0.44205,0.014
320000,0.0,0.385,0.40557,0.018
321000,0.0,0.375,0.39386,0.016
322000,0.0,0.394,0.41302,0.023
323000,0.0,0.39,0.40892,0.017
324000,0.0,0.382,0.40044,0.02
325000,0.0,0.377,0.39371,0.024
326000,0.0,0.405,0.42353,0.018
327000,0.0,0.405,0.42433,0.013
328000,0.0,0.421,0.44157,0.015
329000,0.0,0.401,0.42186,0.02
330000,0.0,0.384,0.40445,0.019
331000,0.0,0.409,0.42892,0.019
332000,0.0,0.425,0.44523,0.015
333000,0.0,0.406,0.42453,0.021
334000,0.0,0.415,0.43358,0.016
335000,0.0,0.386,0.40422,0.012
336000,0.0,0.401,0.4202,0.015
337000,0.0,0.395,0.41486,0.022
338000,0.0,0.378,0.39609,0.018
339000,0.0,0.407,0.42713,0.015
340000,0.0,0.409,0.42872,0.019
341000,0.0,0.41,0.42967,0.022
342000,0.0,0.407,0.42621,0.024
343000,0.0,0.406,0.42533,0.015
344000,0.0,0.39,0.4098,0.021
345000,0.0,0.368,0.38558,0.018
346000,0.0,0.343,0.36065,0.018
347000,0.0,0.363,0.38029,0.017
348000,0.0,0.376,0.39425,0.016
349000,0.0,0.374,0.39286,0.014
350000,0.0,0.38,0.39928,0.019
351000,0.0,0.397,0.41741,0.022
352000,0.0,0.391,0.41125,0.014
353000,0.0,0.386,0.40656,0.018
354000,0.0,0.405,0.42657,0.015
355000,0.0,0.402,0.42408,0.02
356000,0.0,0.404,0.42591,0.021
357000,0.0,0.386,0.4082,0.018
