avg_score,avg_diff,step_idx,avg_winning,loss_train
0.50232,0.024,159000,0.458,0.0
0.5091,0.025,160000,0.465,0.0
0.51054,0.027,161000,0.467,0.0
0.51702,0.021,162000,0.473,0.0
0.5299,0.019,163000,0.486,0.0
0.52714,0.013,164000,0.483,0.0
0.52355,0.018,165000,0.479,0.0
0.50049,0.018,166000,0.456,0.0
0.51749,0.012,167000,0.472,0.0
0.51973,0.023,168000,0.476,0.0
0.52085,0.016,169000,0.477,0.0
0.52224,0.023,170000,0.479,0.0
0.52448,0.01,171000,0.48,0.0
0.5234,0.014,172000,0.48,0.0
0.51774,0.013,173000,0.474,0.0
0.51901,0.027,174000,0.476,0.0
0.51992,0.021,175000,0.476,0.0
0.52594,0.015,176000,0.482,0.0
0.51789,0.015,177000,0.475,0.0
0.50707,0.013,178000,0.464,0.0
0.50852,0.022,179000,0.466,0.0
0.51626,0.011,180000,0.473,0.0
0.52817,0.016,181000,0.485,0.0
0.51892,0.013,182000,0.475,0.0
0.5167,0.023,183000,0.473,0.0
0.51831,0.012,184000,0.475,0.0
0.52888,0.011,185000,0.485,0.0
0.50795,0.023,186000,0.464,0.0
0.5294,0.017,187000,0.485,0.0
0.51616,0.025,188000,0.472,0.0
0.50929,0.015,189000,0.465,0.0
0.51878,0.026,190000,0.474,0.0
0.51917,0.028,191000,0.475,0.0
0.5056,0.014,192000,0.462,0.0
0.50805,0.024,193000,0.464,0.0
0.529,0.02,194000,0.485,0.0
0.53097,0.012,195000,0.487,0.0
0.51164,0.025,196000,0.468,0.0
0.52162,0.019,197000,0.477,0.0
0.52347,0.015,198000,0.479,0.0
0.52206,0.026,199000,0.478,0.0
0.51877,0.016,200000,0.474,0.0
0.52053,0.018,201000,0.476,0.0
0.5191,0.021,202000,0.474,0.0
0.50268,0.032,203000,0.458,0.0
0.52312,0.019,204000,0.478,0.0
0.52531,0.018,205000,0.481,0.0
0.52128,0.029,206000,0.476,0.0
0.50674,0.022,207000,0.462,0.0
0.5273,0.025,208000,0.483,0.0
0.52122,0.026,209000,0.476,0.0
0.52879,0.023,210000,0.484,0.0
0.5168,0.019,211000,0.472,0.0
0.52883,0.014,212000,0.484,0.0
0.52312,0.023,213000,0.479,0.0
0.53128,0.025,214000,0.486,0.0
0.50933,0.031,215000,0.465,0.0
0.51967,0.014,216000,0.475,0.0
0.50591,0.028,217000,0.462,0.0
0.51501,0.017,218000,0.472,0.0
0.52789,0.022,219000,0.484,0.0
0.52181,0.013,220000,0.478,0.0
0.51668,0.017,221000,0.473,0.0
0.51497,0.014,222000,0.471,0.0
0.52624,0.021,223000,0.482,0.0
0.50336,0.028,224000,0.459,0.0
0.50715,0.019,225000,0.463,0.0
0.51354,0.028,226000,0.469,0.0
0.51533,0.026,227000,0.471,0.0
0.51694,0.014,228000,0.472,0.0
0.51424,0.019,229000,0.469,0.0
0.50012,0.011,230000,0.455,0.0
0.53281,0.016,231000,0.488,0.0
0.51201,0.021,232000,0.468,0.0
0.50759,0.012,233000,0.464,0.0
0.50779,0.015,234000,0.464,0.0
0.52035,0.021,235000,0.477,0.0
0.51778,0.014,236000,0.474,0.0
0.514,0.018,237000,0.47,0.0
0.51365,0.019,238000,0.47,0.0
0.53282,0.017,239000,0.488,0.0
0.50134,0.016,240000,0.457,0.0
0.52916,0.011,241000,0.485,0.0
0.52891,0.015,242000,0.485,0.0
0.50519,0.01,243000,0.461,0.0
0.52229,0.015,244000,0.478,0.0
0.52398,0.008,245000,0.48,0.0
0.52256,0.021,246000,0.479,0.0
0.51806,0.016,247000,0.473,0.0
0.51855,0.014,248000,0.474,0.0
0.5218,0.015,249000,0.477,0.0
0.50985,0.012,250000,0.465,0.0
0.52012,0.005,251000,0.476,0.0
0.49756,0.01,252000,0.453,0.0
0.51729,0.013,253000,0.473,0.0
0.5286,0.001,254000,0.483,0.0
0.52851,0.02,255000,0.483,0.0
0.51446,0.017,256000,0.469,0.0
0.50871,0.021,257000,0.463,0.0
0.50424,0.013,258000,0.459,0.0
0.50101,0.017,259000,0.457,0.0
0.51331,0.013,260000,0.469,0.0
0.51039,0.018,261000,0.467,0.0
0.51001,0.014,262000,0.465,0.0
0.52031,0.013,263000,0.476,0.0
