avg_score,loss_train,avg_diff,step_idx,avg_winning
0.51401,0.0,0.017,159000,0.485
0.51226,0.0,0.015,160000,0.482
0.51131,0.0,0.019,161000,0.481
0.50734,0.0,0.01,162000,0.477
0.50597,0.0,0.013,163000,0.475
0.50988,0.0,0.018,164000,0.479
0.52058,0.0,0.014,165000,0.49
0.5064,0.0,0.019,166000,0.477
0.52194,0.0,0.011,167000,0.491
0.52548,0.0,0.015,168000,0.495
0.49783,0.0,0.01,169000,0.469
0.50883,0.0,0.017,170000,0.479
0.51531,0.0,0.016,171000,0.486
0.51161,0.0,0.016,172000,0.483
0.49896,0.0,0.025,173000,0.471
0.50169,0.0,0.015,174000,0.473
0.51195,0.0,0.021,175000,0.483
0.50621,0.0,0.02,176000,0.478
0.48858,0.0,0.016,177000,0.461
0.51048,0.0,0.021,178000,0.482
0.5055,0.0,0.019,179000,0.477
0.51377,0.0,0.024,180000,0.486
0.51992,0.0,0.023,181000,0.491
0.51427,0.0,0.021,182000,0.484
0.5093,0.0,0.014,183000,0.48
0.49871,0.0,0.019,184000,0.47
0.5079,0.0,0.022,185000,0.479
0.49458,0.0,0.02,186000,0.466
0.48544,0.0,0.021,187000,0.457
0.50503,0.0,0.021,188000,0.477
0.49507,0.0,0.022,189000,0.466
0.51551,0.0,0.024,190000,0.486
0.49922,0.0,0.009,191000,0.47
0.52007,0.0,0.014,192000,0.491
0.51964,0.0,0.019,193000,0.49
0.50922,0.0,0.026,194000,0.48
0.50783,0.0,0.017,195000,0.479
0.5019,0.0,0.02,196000,0.472
0.51382,0.0,0.02,197000,0.484
0.48864,0.0,0.022,198000,0.46
0.49852,0.0,0.016,199000,0.469
0.50751,0.0,0.015,200000,0.478
0.51007,0.0,0.016,201000,0.481
0.51892,0.0,0.021,202000,0.489
0.51766,0.0,0.02,203000,0.488
0.50204,0.0,0.017,204000,0.472
0.50653,0.0,0.017,205000,0.477
0.49865,0.0,0.022,206000,0.47
0.50965,0.0,0.012,207000,0.481
0.49834,0.0,0.011,208000,0.47
0.49602,0.0,0.022,209000,0.468
0.52165,0.0,0.01,210000,0.492
0.51582,0.0,0.017,211000,0.487
0.50384,0.0,0.019,212000,0.475
0.49197,0.0,0.018,213000,0.464
0.49397,0.0,0.019,214000,0.465
0.51764,0.0,0.018,215000,0.488
0.51321,0.0,0.021,216000,0.483
0.52663,0.0,0.014,217000,0.496
0.52699,0.0,0.014,218000,0.497
0.51707,0.0,0.018,219000,0.487
0.52033,0.0,0.014,220000,0.49
0.51373,0.0,0.017,221000,0.483
0.51306,0.0,0.013,222000,0.483
0.52794,0.0,0.014,223000,0.496
0.52323,0.0,0.014,224000,0.491
0.53031,0.0,0.011,225000,0.498
0.4991,0.0,0.016,226000,0.468
0.52122,0.0,0.018,227000,0.488
0.52942,0.0,0.015,228000,0.496
0.53042,0.0,0.009,229000,0.499
0.53085,0.0,0.015,230000,0.499
0.51713,0.0,0.01,231000,0.486
0.5174,0.0,0.011,232000,0.487
0.52199,0.0,0.018,233000,0.491
0.51734,0.0,0.013,234000,0.486
0.51627,0.0,0.014,235000,0.485
0.53925,0.0,0.01,236000,0.507
0.53642,0.0,0.019,237000,0.505
0.52091,0.0,0.024,238000,0.491
0.52635,0.0,0.015,239000,0.497
0.52159,0.0,0.022,240000,0.492
0.5049,0.0,0.019,241000,0.476
0.51315,0.0,0.016,242000,0.483
0.538,0.0,0.013,243000,0.508
0.51387,0.0,0.019,244000,0.485
0.52922,0.0,0.013,245000,0.5
0.52188,0.0,0.017,246000,0.493
0.52356,0.0,0.019,247000,0.495
0.52906,0.0,0.011,248000,0.499
0.51468,0.0,0.021,249000,0.485
0.53258,0.0,0.013,250000,0.502
0.52777,0.0,0.012,251000,0.497
0.51208,0.0,0.019,252000,0.481
0.50683,0.0,0.017,253000,0.476
0.52348,0.0,0.015,254000,0.491
0.50827,0.0,0.007,255000,0.476
0.50608,0.0,0.017,256000,0.473
0.51648,0.0,0.013,257000,0.483
0.5322,0.0,0.012,258000,0.499
0.519,0.0,0.019,259000,0.487
0.51503,0.0,0.018,260000,0.483
0.52573,0.0,0.023,261000,0.494
0.52063,0.0,0.02,262000,0.489
0.51489,0.0,0.016,263000,0.483
0.50932,0.0,0.015,264000,0.478
0.50438,0.0,0.014,265000,0.473
0.52161,0.0,0.019,266000,0.49
0.52523,0.0,0.019,267000,0.493
0.51269,0.0,0.023,268000,0.481
0.51045,0.0,0.019,269000,0.48
0.50581,0.0,0.019,270000,0.475
0.48688,0.0,0.021,271000,0.457
0.48637,0.0,0.026,272000,0.456
0.51068,0.0,0.025,273000,0.48
0.51438,0.0,0.02,274000,0.483
0.50685,0.0,0.015,275000,0.477
0.49699,0.0,0.018,276000,0.468
0.50587,0.0,0.018,277000,0.476
0.51232,0.0,0.013,278000,0.482
0.51133,0.0,0.014,279000,0.481
0.51628,0.0,0.021,280000,0.486
0.5025,0.0,0.02,281000,0.472
0.49715,0.0,0.022,282000,0.467
0.51371,0.0,0.01,283000,0.483
0.5119,0.0,0.011,284000,0.482
0.50732,0.0,0.017,285000,0.477
0.50475,0.0,0.02,286000,0.475
0.51119,0.0,0.017,287000,0.481
0.52351,0.0,0.015,288000,0.494
0.506,0.0,0.026,289000,0.476
0.51383,0.0,0.016,290000,0.484
0.50853,0.0,0.022,291000,0.479
0.51916,0.0,0.021,292000,0.489
0.5126,0.0,0.021,293000,0.483
0.50853,0.0,0.024,294000,0.479
0.50716,0.0,0.019,295000,0.477
0.52905,0.0,0.022,296000,0.499
0.52427,0.0,0.013,297000,0.494
