step_idx,avg_score,avg_winning,avg_diff,loss_train
159000,0.528,0.483,0.021,0.0
160000,0.52613,0.481,0.013,0.0
161000,0.53605,0.491,0.027,0.0
162000,0.52369,0.479,0.027,0.0
163000,0.5145,0.47,0.023,0.0
164000,0.5057,0.461,0.02,0.0
165000,0.51138,0.467,0.024,0.0
166000,0.53045,0.486,0.019,0.0
167000,0.51184,0.468,0.025,0.0
168000,0.52181,0.478,0.024,0.0
169000,0.52032,0.476,0.017,0.0
170000,0.52159,0.478,0.024,0.0
171000,0.53912,0.495,0.022,0.0
172000,0.51745,0.474,0.028,0.0
173000,0.52179,0.477,0.018,0.0
174000,0.52459,0.48,0.018,0.0
175000,0.52858,0.485,0.026,0.0
176000,0.51843,0.474,0.023,0.0
177000,0.51234,0.468,0.028,0.0
178000,0.52377,0.479,0.024,0.0
179000,0.52529,0.481,0.017,0.0
180000,0.51817,0.474,0.021,0.0
181000,0.52039,0.477,0.015,0.0
182000,0.51579,0.472,0.019,0.0
183000,0.52381,0.479,0.028,0.0
184000,0.536,0.491,0.019,0.0
185000,0.51371,0.469,0.03,0.0
186000,0.50946,0.466,0.025,0.0
187000,0.53926,0.495,0.021,0.0
188000,0.51839,0.475,0.017,0.0
189000,0.52211,0.478,0.022,0.0
190000,0.51198,0.467,0.023,0.0
191000,0.52947,0.486,0.013,0.0
192000,0.52309,0.479,0.027,0.0
193000,0.51931,0.476,0.027,0.0
194000,0.51708,0.473,0.023,0.0
195000,0.49963,0.456,0.03,0.0
196000,0.52766,0.483,0.019,0.0
197000,0.53418,0.489,0.018,0.0
198000,0.53058,0.486,0.016,0.0
199000,0.51903,0.475,0.013,0.0
200000,0.52266,0.478,0.028,0.0
201000,0.50208,0.458,0.028,0.0
202000,0.51534,0.471,0.019,0.0
203000,0.51263,0.468,0.03,0.0
204000,0.5325,0.488,0.014,0.0
205000,0.52571,0.481,0.026,0.0
206000,0.50774,0.463,0.019,0.0
207000,0.49762,0.454,0.023,0.0
208000,0.52498,0.481,0.012,0.0
209000,0.5187,0.475,0.035,0.0
210000,0.52356,0.479,0.024,0.0
