step_idx,loss_train,avg_diff,avg_score,avg_winning
159000,0.0,0.019,0.55034,0.499
160000,0.0,0.02,0.56515,0.514
161000,0.0,0.013,0.56289,0.512
162000,0.0,0.019,0.55554,0.504
163000,0.0,0.01,0.57292,0.521
164000,0.0,0.018,0.56928,0.518
165000,0.0,0.015,0.571,0.519
166000,0.0,0.014,0.5682,0.516
167000,0.0,0.02,0.56231,0.511
168000,0.0,0.018,0.55623,0.505
169000,0.0,0.021,0.54724,0.496
170000,0.0,0.017,0.54694,0.496
171000,0.0,0.018,0.54507,0.494
172000,0.0,0.013,0.54895,0.498
173000,0.0,0.013,0.54881,0.498
174000,0.0,0.015,0.54666,0.495
175000,0.0,0.015,0.55406,0.502
176000,0.0,0.011,0.5634,0.512
177000,0.0,0.019,0.53931,0.488
178000,0.0,0.02,0.55587,0.504
179000,0.0,0.015,0.56646,0.515
180000,0.0,0.011,0.56315,0.511
181000,0.0,0.016,0.56657,0.515
182000,0.0,0.014,0.56061,0.509
183000,0.0,0.018,0.54177,0.491
184000,0.0,0.018,0.55306,0.501
185000,0.0,0.015,0.54311,0.492
186000,0.0,0.014,0.55396,0.502
187000,0.0,0.013,0.55486,0.502
188000,0.0,0.011,0.55784,0.505
189000,0.0,0.02,0.54459,0.493
190000,0.0,0.016,0.55073,0.499
191000,0.0,0.023,0.53807,0.487
192000,0.0,0.018,0.55067,0.499
193000,0.0,0.011,0.56111,0.509
194000,0.0,0.01,0.56459,0.513
195000,0.0,0.013,0.56027,0.508
196000,0.0,0.023,0.56023,0.509
197000,0.0,0.017,0.54746,0.496
198000,0.0,0.014,0.5561,0.505
199000,0.0,0.018,0.56113,0.51
200000,0.0,0.018,0.56305,0.512
201000,0.0,0.018,0.55333,0.502
202000,0.0,0.018,0.54861,0.497
203000,0.0,0.013,0.55045,0.499
204000,0.0,0.016,0.56478,0.513
205000,0.0,0.015,0.57034,0.518
206000,0.0,0.015,0.56436,0.513
207000,0.0,0.021,0.55072,0.499
208000,0.0,0.018,0.56098,0.509
209000,0.0,0.012,0.56831,0.517
210000,0.0,0.019,0.56577,0.515
211000,0.0,0.015,0.55793,0.508
212000,0.0,0.016,0.55129,0.501
213000,0.0,0.017,0.56333,0.513
214000,0.0,0.018,0.57038,0.519
215000,0.0,0.016,0.55431,0.503
