step_idx,avg_score,avg_winning,loss_train
0,0.004,0.0,0.018
10000,0.004,0.0,0.07
20000,0.004,0.0,0.023
30000,0.004,0.0,0.014
40000,0.004,0.0,0.007
50000,0.004,0.0,0.005
