dropout = 0.1
avg_score,avg_diff,avg_winning,loss_train,step_idx
0.51254,0.015,0.465,0.024,159000
0.49608,0.013,0.448,0.03,160000
0.52383,0.013,0.476,0.014,161000
0.50475,0.017,0.46,0.009,162000
0.51178,0.012,0.468,0.031,163000
0.49166,0.014,0.446,0.031,164000
0.49862,0.007,0.451,0.027,165000
0.509,0.012,0.461,0.015,166000
0.49487,0.014,0.447,0.028,167000
0.47822,0.017,0.433,0.026,168000
0.49054,0.019,0.443,0.024,169000
0.51923,0.012,0.475,0.013,170000
0.49629,0.016,0.449,0.026,171000
0.49849,0.018,0.451,0.025,172000
0.49217,0.02,0.445,0.025,173000
0.49666,0.016,0.449,0.019,174000
0.51102,0.017,0.465,0.032,175000
0.50416,0.014,0.46,0.025,176000
0.49627,0.013,0.45,0.018,177000
0.50964,0.014,0.463,0.02,178000
0.48652,0.018,0.442,0.03,179000
0.49821,0.015,0.451,0.027,180000
0.49807,0.013,0.453,0.01,181000
0.50905,0.018,0.467,0.006,182000
0.52045,0.012,0.479,0.024,183000
0.50233,0.007,0.458,0.036,184000
0.49062,0.017,0.445,0.028,185000
0.48219,0.016,0.436,0.022,186000
0.49384,0.018,0.446,0.016,187000
0.4898,0.011,0.442,0.021,188000
0.50623,0.011,0.46,0.015,189000
0.5007,0.019,0.46,0.018,190000
0.49666,0.019,0.45,0.028,191000
0.48515,0.018,0.438,0.011,192000
0.49785,0.02,0.454,0.015,193000
0.47141,0.021,0.428,0.033,194000
0.50259,0.017,0.458,0.027,195000
0.4923,0.014,0.447,0.02,196000
0.48116,0.01,0.436,0.026,197000
0.47968,0.017,0.435,0.021,198000
0.47296,0.005,0.428,0.031,199000
0.49712,0.018,0.451,0.004,200000
0.48487,0.018,0.439,0.023,201000
0.48865,0.013,0.444,0.018,202000
0.48628,0.014,0.441,0.028,203000
0.49037,0.013,0.445,0.009,204000
0.51117,0.019,0.47,0.002,205000
0.49974,0.018,0.455,0.021,206000
0.47748,0.015,0.432,0.029,207000
0.49483,0.023,0.448,0.01,208000
0.49418,0.014,0.448,0.023,209000
0.48739,0.013,0.441,0.02,210000
0.46413,0.026,0.418,0.005,211000
0.50471,0.016,0.457,0.008,212000
0.50554,0.013,0.462,0.03,213000
0.50218,0.02,0.455,0.019,214000
0.51627,0.02,0.475,0.013,215000
0.51043,0.009,0.462,0.028,216000
0.50174,0.012,0.456,0.024,217000
0.52005,0.02,0.472,0.027,218000
0.51086,0.011,0.462,0.011,219000
0.50355,0.015,0.457,0.025,220000
0.51011,0.023,0.463,0.021,221000
0.50126,0.01,0.453,0.029,222000
0.51479,0.024,0.468,0.006,223000
0.50784,0.015,0.461,0.028,224000
0.4678,0.024,0.42,0.011,225000
0.49549,0.02,0.447,0.023,226000
0.49976,0.011,0.453,0.033,227000
0.49795,0.022,0.453,0.014,228000
0.50063,0.01,0.451,0.02,229000
0.48823,0.018,0.44,0.031,230000
0.52383,0.016,0.478,0.02,231000
0.51964,0.016,0.472,0.03,232000
0.49926,0.011,0.452,0.023,233000
0.5005,0.013,0.452,0.039,234000
0.48504,0.016,0.438,0.019,235000
0.51278,0.015,0.469,0.025,236000
0.47955,0.024,0.436,0.022,237000
0.50807,0.02,0.463,0.019,238000
0.49709,0.016,0.452,0.026,239000
0.51439,0.019,0.469,0.025,240000
0.52426,0.015,0.48,0.017,241000
0.50283,0.014,0.456,0.014,242000
0.49016,0.012,0.443,0.023,243000
0.5008,0.025,0.454,0.026,244000
0.51912,0.007,0.472,0.014,245000
0.50445,0.009,0.465,0.027,246000
0.52372,0.02,0.477,0.013,247000
0.5244,0.021,0.478,0.007,248000
0.50168,0.018,0.455,0.018,249000
0.5071,0.012,0.46,0.012,250000
0.51335,0.017,0.466,0.022,251000
0.51841,0.009,0.47,0.014,252000
0.47344,0.01,0.443,0.019,253000
0.51539,0.013,0.469,0.026,254000
0.49966,0.008,0.458,0.006,255000
0.52174,0.012,0.481,0.024,256000
0.5286,0.017,0.48,0.025,257000
0.49233,0.021,0.445,0.024,258000
0.5079,0.019,0.462,0.026,259000
0.49126,0.016,0.443,0.03,260000
0.52919,0.013,0.484,0.005,261000
0.50781,0.013,0.47,0.026,262000
0.52148,0.017,0.472,0.022,263000
0.51477,0.016,0.466,0.009,264000
0.51641,0.014,0.468,0.022,265000
0.52853,0.01,0.482,0.024,266000
0.52789,0.014,0.479,0.024,267000
0.5365,0.014,0.49,0.016,268000
0.52129,0.006,0.473,0.026,269000
0.5353,0.018,0.486,0.021,270000
0.53342,0.013,0.488,0.015,271000
0.52403,0.015,0.477,0.013,272000
0.51956,0.018,0.477,0.012,273000
0.51628,0.016,0.468,0.024,274000
0.55503,0.014,0.506,0.011,275000
0.54746,0.011,0.501,0.025,276000
0.50958,0.012,0.461,0.023,277000
0.51201,0.005,0.465,0.013,278000
0.53113,0.018,0.483,0.021,279000
0.52014,0.012,0.473,0.019,280000
0.49518,0.01,0.458,0.02,281000
0.52506,0.015,0.477,0.024,282000
0.51654,0.01,0.469,0.015,283000
0.54388,0.017,0.496,0.007,284000
0.53293,0.011,0.486,0.002,285000
0.51223,0.016,0.472,0.014,286000
0.50114,0.008,0.458,0.017,287000
0.53767,0.007,0.492,0.017,288000
0.52257,0.008,0.475,0.022,289000
0.51094,0.013,0.465,0.01,290000
0.54444,0.009,0.501,-0.0,291000
0.50751,0.014,0.464,0.008,292000
0.51849,0.004,0.473,-0.007,293000
0.51952,0.013,0.477,0.007,294000
0.53221,0.029,0.486,0.023,295000
0.53603,0.031,0.495,0.015,296000
0.51472,0.016,0.469,0.01,297000
0.50786,0.02,0.464,0.012,298000
0.51556,0.009,0.475,0.006,299000
0.50721,0.022,0.471,0.035,300000
0.51355,0.021,0.471,0.03,301000
0.51173,0.015,0.474,0.022,302000
0.50781,0.013,0.471,0.015,303000
0.52207,0.012,0.482,0.009,304000
0.52209,0.013,0.48,0.019,305000
0.51422,0.018,0.47,0.015,306000
0.51567,0.019,0.471,0.012,307000
0.52507,0.011,0.485,0.02,308000
0.51546,0.024,0.47,0.013,309000
0.50977,0.005,0.476,0.013,310000
0.51069,0.007,0.473,0.015,311000
0.52295,0.006,0.477,0.018,312000
0.52634,0.01,0.483,0.014,313000
0.5214,0.012,0.482,0.016,314000
0.52433,0.021,0.478,0.046,315000
0.52221,0.016,0.477,0.011,316000
0.50003,0.013,0.456,0.006,317000
0.5188,0.016,0.475,0.017,318000
0.50608,0.014,0.464,0.021,319000
0.52245,0.007,0.481,0.006,320000
0.50765,0.011,0.464,0.01,321000
0.51849,0.005,0.475,0.006,322000
0.50393,0.012,0.469,0.009,323000
0.51872,0.011,0.477,0.026,324000
0.50822,0.007,0.474,0.007,325000
0.51597,0.011,0.475,0.019,326000
0.53114,0.012,0.489,0.016,327000
0.52064,0.012,0.479,0.02,328000
0.50084,0.003,0.464,0.017,329000
0.51689,0.01,0.478,0.018,330000
0.48343,0.021,0.442,0.017,331000
0.53356,0.005,0.494,0.015,332000
0.49087,0.014,0.447,0.013,333000
0.52654,0.015,0.495,0.014,334000
0.52605,0.004,0.487,0.043,335000
0.51987,0.009,0.476,0.024,336000
0.52444,0.007,0.482,0.008,337000
0.49761,0.018,0.459,0.027,338000
0.51985,0.019,0.475,0.035,339000
0.49671,0.015,0.455,0.014,340000
0.48148,0.016,0.441,0.021,341000
0.51232,0.012,0.478,0.007,342000
0.50549,0.016,0.464,0.011,343000
0.52808,0.012,0.489,0.012,344000
0.50327,0.015,0.465,0.017,345000
0.49969,0.011,0.456,0.021,346000
0.50151,0.015,0.46,0.008,347000
0.5091,0.012,0.466,0.037,348000
0.53965,0.011,0.496,0.015,349000
0.52201,0.013,0.479,0.014,350000
0.48522,0.009,0.444,0.006,351000
0.52039,0.019,0.479,0.011,352000
0.49864,0.017,0.456,0.024,353000
0.49749,0.02,0.458,0.012,354000
0.50353,0.019,0.464,0.04,355000
0.49256,0.018,0.45,0.027,356000
0.49208,0.02,0.45,0.026,357000
0.48568,0.013,0.444,0.026,358000
0.46887,0.018,0.428,0.007,359000
0.4928,0.024,0.454,0.028,360000
0.49333,0.009,0.453,0.027,361000
0.51295,0.014,0.48,0.034,362000
0.49266,0.013,0.452,0.027,363000
0.50956,0.01,0.468,0.008,364000
0.50542,0.02,0.463,0.012,365000
0.50394,0.014,0.466,0.025,366000
0.49023,0.022,0.451,0.028,367000
0.51957,0.013,0.486,0.006,368000
0.49017,0.023,0.449,0.041,369000
0.48601,0.013,0.444,0.009,370000
0.53465,0.006,0.498,0.019,371000
0.5305,0.013,0.489,0.013,372000
0.50509,0.013,0.463,0.006,373000
0.49462,0.012,0.452,0.01,374000
0.51787,0.014,0.478,0.028,375000
0.50308,0.021,0.46,0.028,376000
0.47382,0.018,0.43,0.038,377000
0.49959,0.011,0.456,0.025,378000
0.50308,0.014,0.464,0.014,379000
0.50776,0.011,0.464,0.015,380000
0.52175,0.015,0.482,0.025,381000
0.51022,0.02,0.467,-0.015,382000
0.50325,0.018,0.465,0.029,383000
0.49198,0.004,0.455,0.034,384000
0.49021,0.016,0.454,0.014,385000
0.49431,0.013,0.453,0.021,386000
0.49157,0.013,0.45,0.007,387000
0.50909,0.022,0.472,0.013,388000
0.50153,0.022,0.458,0.012,389000
0.52649,0.008,0.483,0.022,390000
0.50025,0.021,0.456,0.023,391000
0.48051,0.016,0.436,0.022,392000
0.49017,0.018,0.444,0.01,393000
0.47396,0.013,0.431,0.007,394000
0.481,0.014,0.437,0.017,395000
0.49222,0.021,0.451,0.015,396000
0.50452,0.021,0.46,0.018,397000
0.4652,0.02,0.421,0.021,398000
0.47617,0.024,0.433,0.018,399000
0.48145,0.01,0.446,0.005,400000
0.4892,0.005,0.446,0.019,401000
0.47855,0.002,0.435,0.024,402000
0.48716,0.019,0.449,0.009,403000
0.49864,0.025,0.457,0.014,404000
0.49374,0.013,0.452,0.011,405000
0.48677,0.013,0.442,0.026,406000
0.48714,0.021,0.451,0.032,407000
0.52197,0.014,0.483,0.011,408000
0.49854,0.017,0.459,0.037,409000
0.50347,0.01,0.46,0.011,410000
