avg_score,avg_winning,loss_train,step_idx,avg_diff
0.49206,0.447,0.023,159000,0.024
0.52366,0.479,0.01,160000,0.009
0.4986,0.457,0.025,161000,0.017
0.49081,0.448,0.025,162000,0.017
0.48133,0.443,0.014,163000,0.02
0.49188,0.447,0.031,164000,0.015
0.50244,0.463,0.016,165000,0.016
0.49857,0.453,0.022,166000,0.014
0.49627,0.451,0.024,167000,0.018
0.50499,0.459,0.013,168000,0.026
0.48059,0.435,0.019,169000,0.023
0.49734,0.451,0.013,170000,0.022
0.51138,0.465,0.021,171000,0.021
0.49274,0.447,0.019,172000,0.027
0.50748,0.461,0.018,173000,0.024
0.49989,0.454,0.024,174000,0.017
0.50304,0.457,0.017,175000,0.02
0.47722,0.432,0.021,176000,0.026
0.48317,0.438,0.024,177000,0.016
0.51065,0.464,0.005,178000,0.016
0.48979,0.444,0.026,179000,0.021
0.50308,0.457,0.021,180000,0.019
0.49373,0.447,0.014,181000,0.029
0.49091,0.446,0.019,182000,0.02
0.50005,0.454,0.028,183000,0.027
0.48805,0.442,0.017,184000,0.026
0.50123,0.456,0.016,185000,0.018
0.50563,0.46,0.024,186000,0.018
0.49254,0.447,0.019,187000,0.024
0.48318,0.438,0.021,188000,0.014
0.48616,0.442,0.02,189000,0.016
0.4834,0.44,0.034,190000,0.02
0.48628,0.443,0.031,191000,0.015
0.48282,0.442,0.037,192000,0.022
0.48352,0.439,0.02,193000,0.024
0.49496,0.452,0.011,194000,0.017
0.49411,0.45,0.03,195000,0.012
0.49586,0.451,0.019,196000,0.022
0.50319,0.457,0.012,197000,0.013
0.50056,0.455,0.028,198000,0.02
0.51603,0.473,0.01,199000,0.012
0.45881,0.414,0.033,200000,0.016
0.49437,0.452,0.012,201000,0.015
0.47813,0.434,0.028,202000,0.022
0.49313,0.449,0.025,203000,0.022
0.47715,0.437,0.013,204000,0.026
0.47744,0.435,0.023,205000,0.015
0.49128,0.451,0.02,206000,0.03
0.43914,0.396,0.027,207000,0.019
0.47666,0.432,0.018,208000,0.02
0.48662,0.442,0.015,209000,0.032
0.47693,0.432,0.015,210000,0.026
0.49308,0.448,0.016,211000,0.024
0.4893,0.444,0.014,212000,0.02
0.46736,0.423,0.023,213000,0.026
0.50334,0.458,0.012,214000,0.028
0.46081,0.416,0.026,215000,0.013
0.45678,0.412,0.027,216000,0.019
0.49445,0.451,0.025,217000,0.026
0.50623,0.461,0.017,218000,0.026
0.50629,0.462,0.022,219000,0.018
0.50573,0.461,0.008,220000,0.026
0.52557,0.48,0.015,221000,0.024
0.50627,0.461,0.01,222000,0.021
0.48936,0.445,0.03,223000,0.024
0.49704,0.451,0.023,224000,0.023
0.49925,0.453,0.026,225000,0.02
0.49688,0.452,0.018,226000,0.022
0.48197,0.436,0.029,227000,0.02
0.49385,0.45,0.019,228000,0.026
0.49278,0.45,0.017,229000,0.018
0.50184,0.458,0.019,230000,0.026
0.49292,0.45,0.03,231000,0.026
0.48877,0.444,0.025,232000,0.026
0.48678,0.444,0.025,233000,0.022
0.47255,0.428,0.027,234000,0.025
0.49711,0.456,0.019,235000,0.016
0.48047,0.436,0.028,236000,0.017
0.48787,0.443,0.013,237000,0.015
0.51149,0.467,0.015,238000,0.024
0.4857,0.44,0.03,239000,0.026
0.48367,0.438,0.02,240000,0.017
0.50059,0.461,0.025,241000,0.026
0.47702,0.436,0.029,242000,0.025
0.49233,0.45,0.013,243000,0.017
0.48937,0.448,0.022,244000,0.016
0.50899,0.467,0.013,245000,0.021
0.47403,0.429,0.012,246000,0.029
