avg_diff,avg_winning,avg_score,step_idx,loss_train
0.012,0.49,0.52892,159000,0.034
0.015,0.431,0.47628,160000,0.022
0.02,0.43,0.47644,161000,0.027
0.013,0.425,0.4703,162000,0.025
0.035,0.443,0.48793,163000,0.023
0.02,0.441,0.48716,164000,0.023
0.035,0.425,0.47041,165000,0.015
0.023,0.464,0.5072,166000,0.013
0.023,0.435,0.48021,167000,0.024
0.02,0.431,0.47675,168000,0.017
0.022,0.437,0.48353,169000,0.022
0.019,0.459,0.50566,170000,0.021
0.026,0.43,0.4759,171000,0.016
0.029,0.426,0.46951,172000,0.02
0.019,0.437,0.48271,173000,0.014
0.024,0.425,0.46887,174000,0.026
0.032,0.423,0.4669,175000,0.019
0.021,0.441,0.48714,176000,0.011
0.017,0.44,0.48618,177000,0.012
0.022,0.453,0.49828,178000,0.015
0.007,0.463,0.5088,179000,0.021
0.015,0.451,0.49687,180000,0.018
0.018,0.45,0.4933,181000,0.01
0.015,0.452,0.4985,182000,0.018
0.024,0.447,0.49429,183000,0.022
0.014,0.429,0.47441,184000,0.023
0.02,0.433,0.47782,185000,0.017
0.02,0.453,0.49967,186000,0.015
0.012,0.441,0.48809,187000,0.023
0.022,0.443,0.49031,188000,0.024
0.029,0.398,0.44147,189000,0.01
0.019,0.457,0.50233,190000,0.005
0.017,0.409,0.4328,191000,0.021
0.018,0.44,0.48723,192000,0.045
0.023,0.427,0.47321,193000,0.031
0.029,0.423,0.4683,194000,0.009
0.022,0.404,0.44784,195000,0.021
0.019,0.431,0.47737,196000,0.007
0.027,0.434,0.4785,197000,0.016
0.024,0.43,0.47294,198000,0.015
0.022,0.426,0.47148,199000,0.014
0.026,0.418,0.46195,200000,0.017
0.022,0.437,0.48149,201000,0.005
0.025,0.428,0.47323,202000,0.025
0.028,0.428,0.47336,203000,0.022
0.027,0.423,0.46899,204000,0.016
0.026,0.431,0.47515,205000,0.021
0.025,0.403,0.44642,206000,0.019
0.025,0.432,0.47822,207000,0.009
0.026,0.441,0.48494,208000,0.022
0.04,0.419,0.46233,209000,0.023
0.031,0.438,0.4832,210000,0.02
0.014,0.434,0.47854,211000,0.012
0.014,0.434,0.47494,212000,0.011
0.027,0.432,0.4769,213000,0.02
0.026,0.434,0.4793,214000,0.014
0.019,0.451,0.49514,215000,0.002
0.021,0.439,0.48316,216000,0.016
0.022,0.449,0.49392,217000,0.022
0.023,0.43,0.47428,218000,0.016
0.02,0.415,0.45946,219000,0.021
0.018,0.439,0.48305,220000,0.008
0.016,0.452,0.49568,221000,0.012
0.02,0.452,0.4978,222000,0.017
0.026,0.425,0.47077,223000,0.011
0.026,0.423,0.46774,224000,0.025
0.012,0.459,0.50321,225000,0.026
0.01,0.458,0.50207,226000,0.02
0.022,0.451,0.49036,227000,0.028
0.015,0.449,0.49296,228000,0.023
0.017,0.454,0.49836,229000,0.021
0.024,0.424,0.46855,230000,0.026
0.021,0.448,0.49356,231000,0.011
0.015,0.473,0.51843,232000,0.03
0.023,0.438,0.48366,233000,0.013
0.021,0.442,0.48081,234000,0.011
0.02,0.437,0.48172,235000,0.022
0.015,0.437,0.48122,236000,0.015
0.036,0.443,0.4883,237000,0.028
0.023,0.436,0.48146,238000,0.016
0.014,0.451,0.49179,239000,0.021
0.018,0.436,0.47935,240000,0.024
0.012,0.453,0.48884,241000,0.013
0.014,0.452,0.49552,242000,0.029
0.014,0.447,0.48847,243000,0.022
0.021,0.447,0.49028,244000,0.034
0.018,0.461,0.504,245000,0.041
0.024,0.444,0.4894,246000,0.012
0.02,0.469,0.50818,247000,0.019
0.021,0.453,0.49427,248000,0.023
0.018,0.419,0.46311,249000,0.031
0.029,0.413,0.45656,250000,0.027
0.03,0.401,0.44275,251000,0.017
0.02,0.419,0.46091,252000,0.014
0.02,0.437,0.47889,253000,0.024
0.024,0.41,0.45235,254000,0.023
0.02,0.416,0.4583,255000,0.012
0.025,0.432,0.47523,256000,0.011
0.022,0.417,0.45871,257000,0.029
0.03,0.43,0.47348,258000,0.014
0.022,0.421,0.4646,259000,0.013
0.023,0.446,0.48923,260000,0.005
0.017,0.439,0.48307,261000,0.016
0.02,0.432,0.47268,262000,0.027
0.026,0.421,0.45989,263000,0.022
0.013,0.445,0.48143,264000,0.035
0.015,0.441,0.48048,265000,0.034
0.022,0.411,0.45227,266000,0.015
0.027,0.432,0.47189,267000,0.002
0.019,0.431,0.47292,268000,0.02
0.013,0.449,0.48669,269000,0.005
0.006,0.422,0.46248,270000,0.009
0.022,0.424,0.46599,271000,0.021
0.015,0.423,0.46409,272000,0.018
0.012,0.438,0.47553,273000,0.028
0.012,0.44,0.48305,274000,0.017
0.019,0.441,0.48325,275000,0.026
0.025,0.393,0.4351,276000,0.007
0.014,0.437,0.47944,277000,0.011
0.023,0.442,0.48533,278000,0.013
0.02,0.427,0.46905,279000,0.028
0.018,0.446,0.48814,280000,0.022
0.026,0.429,0.47171,281000,0.032
0.025,0.438,0.48215,282000,0.012
0.018,0.443,0.48488,283000,0.015
0.01,0.445,0.48862,284000,0.023
0.027,0.463,0.50747,285000,0.013
0.027,0.421,0.46483,286000,0.03
0.02,0.44,0.48369,287000,0.014
0.016,0.442,0.48816,288000,0.006
0.018,0.437,0.48089,289000,0.018
0.024,0.424,0.46898,290000,0.017
0.018,0.445,0.49007,291000,0.018
0.029,0.433,0.4778,292000,0.019
0.026,0.455,0.50013,293000,0.017
0.016,0.443,0.48766,294000,-0.004
0.024,0.449,0.49511,295000,0.024
0.013,0.471,0.51589,296000,0.015
0.026,0.45,0.4952,297000,0.026
0.021,0.449,0.49471,298000,0.018
0.028,0.459,0.50465,299000,0.02
0.025,0.433,0.47752,300000,0.036
0.022,0.479,0.52555,301000,0.016
0.025,0.455,0.50017,302000,0.016
0.033,0.417,0.46038,303000,0.011
0.026,0.418,0.46174,304000,0.028
0.034,0.413,0.45534,305000,0.018
0.023,0.408,0.45157,306000,0.006
0.017,0.42,0.46402,307000,0.01
0.012,0.437,0.48139,308000,0.015
0.026,0.481,0.52413,309000,0.026
0.014,0.471,0.51589,310000,0.029
0.015,0.457,0.50129,311000,0.017
0.027,0.455,0.49832,312000,0.009
0.015,0.454,0.49826,313000,0.016
0.016,0.434,0.47772,314000,0.027
0.016,0.418,0.46111,315000,0.025
0.031,0.395,0.4378,316000,0.01
0.012,0.457,0.50106,317000,0.012
0.02,0.486,0.52818,318000,0.03
0.025,0.456,0.48268,319000,0.02
0.015,0.473,0.5132,320000,0.025
0.016,0.468,0.51017,321000,0.032
0.013,0.458,0.50008,322000,0.017
0.021,0.442,0.48192,323000,0.024
0.017,0.482,0.52019,324000,0.012
0.017,0.485,0.52606,325000,0.02
0.007,0.459,0.50089,326000,0.025
0.022,0.442,0.48447,327000,0.017
0.02,0.441,0.48417,328000,0.008
0.023,0.454,0.49708,329000,0.021
0.017,0.462,0.50456,330000,0.022
0.011,0.461,0.5031,331000,0.012
0.011,0.472,0.50549,332000,0.02
0.014,0.446,0.48862,333000,0.029
0.017,0.447,0.48751,334000,0.017
0.021,0.434,0.47684,335000,0.02
0.013,0.481,0.52237,336000,0.011
0.025,0.456,0.49858,337000,0.014
0.017,0.471,0.51018,338000,0.018
0.021,0.463,0.50546,339000,0.023
0.023,0.429,0.4738,340000,0.006
0.022,0.449,0.49261,341000,0.004
0.021,0.461,0.50446,342000,0.019
0.027,0.442,0.48611,343000,0.019
0.026,0.395,0.43814,344000,0.008
0.03,0.413,0.45707,345000,0.018
0.02,0.444,0.48882,346000,0.021
0.02,0.475,0.51936,347000,0.017
0.023,0.462,0.50629,348000,0.0
0.014,0.465,0.51049,349000,0.026
0.015,0.471,0.51495,350000,0.025
0.022,0.469,0.51311,351000,0.012
0.027,0.431,0.47537,352000,0.017
0.013,0.497,0.53254,353000,0.011
0.021,0.448,0.49248,354000,0.022
0.017,0.468,0.51372,355000,0.014
0.02,0.488,0.52772,356000,0.011
0.021,0.46,0.50462,357000,0.012
0.018,0.477,0.51634,358000,0.015
0.026,0.426,0.47065,359000,0.026
0.019,0.467,0.51071,360000,0.019
0.016,0.459,0.50347,361000,0.023
0.022,0.423,0.46587,362000,0.028
0.025,0.449,0.49161,363000,0.002
0.018,0.442,0.48535,364000,0.011
0.015,0.442,0.48508,365000,0.022
0.015,0.423,0.46558,366000,0.011
0.023,0.443,0.48598,367000,0.016
0.024,0.452,0.49322,368000,0.033
0.024,0.423,0.46488,369000,0.011
0.026,0.441,0.48357,370000,0.031
0.025,0.426,0.46833,371000,0.021
0.022,0.439,0.48112,372000,0.027
0.019,0.45,0.49283,373000,0.029
0.029,0.437,0.47982,374000,0.016
0.019,0.484,0.51865,375000,0.007
0.018,0.465,0.50722,376000,0.018
0.026,0.453,0.49459,377000,0.014
0.013,0.486,0.52685,378000,0.013
0.016,0.454,0.49657,379000,0.027
0.026,0.444,0.48698,380000,0.013
0.014,0.453,0.49535,381000,0.012
0.016,0.489,0.5304,382000,0.033
0.017,0.466,0.50824,383000,0.016
0.019,0.413,0.45574,384000,0.022
0.01,0.472,0.51498,385000,0.018
0.024,0.475,0.51501,386000,0.019
0.021,0.473,0.51608,387000,0.012
0.009,0.47,0.51395,388000,0.023
0.015,0.475,0.51876,389000,0.015
0.011,0.465,0.51039,390000,0.02
0.02,0.492,0.53406,391000,0.007
0.026,0.491,0.53279,392000,0.022
0.023,0.469,0.51381,393000,0.025
0.025,0.491,0.53454,394000,0.035
0.01,0.44,0.48443,395000,0.023
0.022,0.467,0.51087,396000,0.02
0.008,0.404,0.44774,397000,0.022
0.002,0.4,0.44337,398000,0.015
0.022,0.456,0.50044,399000,0.016
0.024,0.462,0.50575,400000,0.025
0.018,0.474,0.51627,401000,0.036
0.016,0.502,0.54081,402000,0.03
0.019,0.466,0.50612,403000,0.018
0.023,0.504,0.53719,404000,0.011
0.013,0.491,0.53032,405000,0.015
0.017,0.499,0.53771,406000,0.017
0.011,0.469,0.51016,407000,0.018
0.018,0.449,0.49059,408000,0.008
0.019,0.444,0.48525,409000,0.011
0.025,0.441,0.48424,410000,0.018
0.011,0.437,0.47847,411000,0.003
0.016,0.439,0.48134,412000,0.005
0.021,0.482,0.52476,413000,0.033
0.025,0.473,0.51404,414000,0.025
0.017,0.458,0.50061,415000,0.02
0.016,0.465,0.50847,416000,0.008
0.023,0.479,0.51992,417000,-0.007
0.017,0.418,0.46107,418000,0.024
0.021,0.479,0.52175,419000,0.018
0.019,0.447,0.48986,420000,0.015
0.012,0.43,0.47272,421000,0.033
0.019,0.443,0.48606,422000,0.024
0.018,0.46,0.50337,423000,0.026
0.018,0.481,0.523,424000,0.002
0.011,0.445,0.48827,425000,0.009
0.024,0.479,0.52245,426000,0.026
0.022,0.489,0.53108,427000,0.016
0.022,0.404,0.44713,428000,0.019
0.015,0.464,0.50747,429000,0.007
0.02,0.489,0.52982,430000,0.009
0.019,0.505,0.54666,431000,0.026
0.018,0.481,0.52534,432000,0.024
0.02,0.486,0.52942,433000,0.018
0.02,0.474,0.518,434000,0.021
0.016,0.453,0.49666,435000,0.013
0.023,0.461,0.5051,436000,0.026
0.021,0.471,0.5154,437000,0.014
0.022,0.46,0.50444,438000,0.005
0.023,0.46,0.50458,439000,0.016
0.021,0.45,0.49417,440000,0.011
0.024,0.505,0.54499,441000,0.005
0.022,0.472,0.5157,442000,0.019
0.022,0.467,0.50994,443000,0.024
0.02,0.485,0.52733,444000,0.02
0.027,0.469,0.51214,445000,0.011
0.019,0.425,0.46797,446000,0.023
0.022,0.474,0.51635,447000,0.005
0.015,0.516,0.55477,448000,0.013
0.018,0.479,0.52096,449000,0.034
0.016,0.48,0.51933,450000,0.014
0.017,0.494,0.53484,451000,0.024
0.022,0.468,0.5104,452000,0.011
0.016,0.464,0.50598,453000,0.027
0.023,0.447,0.49019,454000,0.026
0.018,0.456,0.49927,455000,0.026
0.014,0.425,0.46832,456000,0.027
0.017,0.5,0.53725,457000,0.019
0.017,0.453,0.4959,458000,0.007
0.017,0.428,0.47054,459000,0.02
0.011,0.455,0.49735,460000,0.02
0.015,0.47,0.5123,461000,0.017
0.009,0.469,0.51013,462000,0.031
0.008,0.465,0.50727,463000,-0.004
0.023,0.399,0.43966,464000,0.011
0.022,0.436,0.47822,465000,0.014
0.017,0.452,0.49323,466000,0.011
0.028,0.444,0.48531,467000,0.024
0.013,0.441,0.48223,468000,0.021
0.018,0.463,0.50137,469000,0.016
0.019,0.482,0.52196,470000,0.028
0.014,0.483,0.52154,471000,0.022
0.008,0.417,0.45907,472000,0.03
0.023,0.404,0.44406,473000,0.018
0.015,0.483,0.51755,474000,-0.006
0.015,0.465,0.50349,475000,0.026
0.009,0.434,0.47427,476000,0.019
0.012,0.454,0.49371,477000,0.006
0.016,0.434,0.47473,478000,0.011
0.016,0.425,0.46561,479000,0.014
0.018,0.414,0.45398,480000,0.01
0.017,0.47,0.50925,481000,0.006
0.009,0.459,0.49848,482000,0.012
0.012,0.492,0.53061,483000,0.018
0.017,0.499,0.5363,484000,0.018
0.011,0.471,0.51015,485000,0.025
0.016,0.446,0.48629,486000,0.015
0.022,0.476,0.51432,487000,0.006
0.018,0.461,0.50133,488000,0.023
0.015,0.447,0.4873,489000,0.011
0.014,0.467,0.50918,490000,0.009
0.015,0.442,0.48311,491000,0.042
0.018,0.482,0.5114,492000,0.012
0.019,0.432,0.47252,493000,0.025
0.023,0.464,0.50193,494000,-0.005
0.024,0.48,0.51675,495000,0.036
0.018,0.43,0.46905,496000,0.022
0.015,0.413,0.45047,497000,0.014
0.022,0.432,0.47137,498000,0.019
0.026,0.43,0.46947,499000,0.037
