step_idx,avg_score,loss_train,avg_winning,avg_diff
1000,0.23768,0.036,0.219,0.02
2000,0.27489,0.041,0.259,0.025
3000,0.25481,0.04,0.235,0.017
4000,0.2878,0.037,0.271,0.014
5000,0.30424,0.04,0.287,0.018
6000,0.27685,0.034,0.256,0.026
7000,0.29727,0.031,0.274,0.029
8000,0.31639,0.03,0.289,0.02
9000,0.34621,0.03,0.323,0.034
10000,0.32296,0.029,0.296,0.026
11000,0.35179,0.031,0.324,0.022
12000,0.37068,0.03,0.344,0.022
13000,0.38742,0.028,0.359,0.021
14000,0.37707,0.03,0.35,0.027
15000,0.38497,0.028,0.353,0.023
16000,0.37413,0.028,0.345,0.019
17000,0.42771,0.026,0.398,0.029
18000,0.43051,0.032,0.398,0.028
19000,0.41459,0.026,0.379,0.016
20000,0.42788,0.027,0.393,0.018
21000,0.46593,0.032,0.428,0.027
22000,0.44938,0.03,0.415,0.025
23000,0.4562,0.028,0.421,0.016
24000,0.46386,0.028,0.427,0.022
25000,0.48541,0.028,0.449,0.028
26000,0.46575,0.027,0.427,0.016
27000,0.48321,0.029,0.446,0.028
28000,0.45131,0.032,0.41,0.022
29000,0.47384,0.029,0.435,0.013
30000,0.47079,0.029,0.429,0.022
31000,0.4615,0.025,0.421,0.028
32000,0.45519,0.026,0.412,0.011
33000,0.48256,0.029,0.442,0.02
34000,0.50181,0.025,0.46,0.008
35000,0.48693,0.032,0.444,0.019
