step_idx,loss_train,avg_score,avg_winning,avg_diff
1000,0.018,0.15138,0.135,0.051
2000,0.017,0.19206,0.175,0.062
3000,0.02,0.22027,0.206,0.051
4000,0.018,0.23579,0.227,0.057
5000,0.021,0.24444,0.23,0.063
6000,0.018,0.23034,0.218,0.048
7000,0.018,0.2493,0.24,0.044
8000,0.02,0.25978,0.249,0.049
9000,0.019,0.2423,0.231,0.05
10000,0.019,0.25601,0.244,0.067
11000,0.017,0.28134,0.27,0.042
12000,0.017,0.23141,0.216,0.048
13000,0.017,0.27274,0.259,0.047
14000,0.016,0.25787,0.246,0.054
15000,0.017,0.24543,0.232,0.047
16000,0.017,0.26734,0.252,0.038
17000,0.015,0.28661,0.276,0.049
18000,0.016,0.27143,0.256,0.05
19000,0.017,0.28423,0.27,0.046
20000,0.018,0.27613,0.261,0.047
21000,0.015,0.26757,0.252,0.038
22000,0.016,0.28954,0.274,0.041
23000,0.016,0.2877,0.268,0.03
24000,0.016,0.31619,0.295,0.045
25000,0.015,0.31987,0.301,0.037
26000,0.016,0.31813,0.296,0.053
27000,0.014,0.32198,0.302,0.05
28000,0.014,0.34865,0.327,0.036
29000,0.011,0.32828,0.31,0.042
30000,0.014,0.3893,0.362,0.027
31000,0.015,0.34593,0.325,0.049
32000,0.012,0.3695,0.347,0.041
33000,0.017,0.41039,0.386,0.033
34000,0.011,0.40165,0.383,0.054
35000,0.013,0.45305,0.43,0.037
36000,0.01,0.45683,0.432,0.032
37000,0.009,0.43427,0.417,0.047
38000,0.012,0.49311,0.469,0.033
39000,0.009,0.49993,0.475,0.044
40000,0.006,0.49796,0.472,0.036
41000,0.011,0.52571,0.503,0.027
42000,0.01,0.53186,0.506,0.038
43000,-0.002,0.53556,0.507,0.025
44000,0.002,0.52247,0.497,0.043
45000,0.009,0.53765,0.511,0.031
46000,0.01,0.5477,0.517,0.033
47000,-0.005,0.50372,0.482,0.037
48000,0.002,0.52966,0.501,0.038
49000,0.002,0.5398,0.509,0.017
50000,0.001,0.497,0.472,0.035
51000,-0.002,0.38738,0.371,0.043
52000,0.003,0.49859,0.472,0.03
53000,-0.001,0.50067,0.477,0.025
54000,-0.002,0.51556,0.49,0.03
55000,-0.002,0.45136,0.432,0.047
56000,0.001,0.48883,0.465,0.029
57000,0.009,0.50021,0.473,0.029
58000,0.003,0.54385,0.511,0.024
59000,-0.004,0.54872,0.515,0.025
60000,-0.004,0.51789,0.488,0.021
