loss_train,step_idx,avg_diff,avg_winning,avg_score
0.018,159000,0.023,0.477,0.51839
0.006,160000,0.012,0.495,0.5339
0.019,161000,0.019,0.492,0.53369
0.029,162000,0.012,0.502,0.54503
0.012,163000,0.016,0.498,0.53855
0.017,164000,0.016,0.507,0.54677
0.018,165000,0.024,0.478,0.52046
0.009,166000,0.02,0.472,0.51427
0.015,167000,0.012,0.491,0.5312
0.01,168000,0.008,0.475,0.51736
0.018,169000,0.015,0.485,0.52825
0.012,170000,0.017,0.499,0.53902
0.015,171000,0.024,0.488,0.53001
0.015,172000,0.025,0.486,0.52965
0.011,173000,0.02,0.509,0.55194
0.013,174000,0.018,0.489,0.53212
0.012,175000,0.025,0.499,0.53965
0.005,176000,0.016,0.508,0.55045
0.012,177000,0.034,0.491,0.52863
0.02,178000,0.019,0.51,0.55367
0.009,179000,0.018,0.498,0.53889
0.015,180000,0.019,0.506,0.54703
0.022,181000,0.011,0.488,0.52796
0.011,182000,0.013,0.477,0.5192
0.01,183000,0.015,0.499,0.53688
0.02,184000,0.017,0.464,0.50654
0.004,185000,0.02,0.484,0.52164
0.019,186000,0.024,0.482,0.52293
0.013,187000,0.018,0.482,0.5214
0.006,188000,0.014,0.472,0.51323
0.003,189000,0.012,0.481,0.5234
0.02,190000,0.013,0.482,0.52329
0.006,191000,0.013,0.483,0.52573
0.011,192000,0.014,0.487,0.52885
0.022,193000,0.007,0.475,0.51795
0.006,194000,0.015,0.473,0.51466
0.021,195000,0.017,0.467,0.51037
0.007,196000,0.015,0.467,0.51024
0.018,197000,0.013,0.478,0.52099
0.013,198000,0.011,0.481,0.52114
0.01,199000,0.018,0.477,0.51987
0.012,200000,0.016,0.471,0.5124
0.009,201000,0.014,0.462,0.49897
0.019,202000,0.032,0.443,0.48379
0.01,203000,0.02,0.448,0.48877
0.008,204000,0.013,0.497,0.53775
0.012,205000,0.028,0.45,0.49095
0.007,206000,0.026,0.473,0.51306
0.003,207000,0.019,0.492,0.5319
0.011,208000,0.021,0.499,0.54012
0.01,209000,0.016,0.52,0.55781
0.015,210000,0.024,0.475,0.51572
0.007,211000,0.02,0.477,0.5161
0.008,212000,0.022,0.495,0.52928
0.024,213000,0.018,0.513,0.54874
0.016,214000,0.018,0.494,0.53167
0.009,215000,0.012,0.508,0.54319
0.009,216000,0.015,0.494,0.5304
0.005,217000,0.023,0.479,0.51964
0.018,218000,0.017,0.463,0.50276
0.001,219000,0.005,0.473,0.51362
-0.003,220000,0.028,0.49,0.5253
0.016,221000,0.015,0.488,0.52595
0.011,222000,0.016,0.484,0.52151
0.01,223000,0.017,0.448,0.48777
0.017,224000,0.017,0.489,0.52828
0.011,225000,0.011,0.488,0.52615
0.001,226000,0.012,0.487,0.52551
0.026,227000,0.02,0.469,0.50927
0.005,228000,0.011,0.469,0.50742
0.01,229000,0.02,0.481,0.51946
-0.0,230000,0.027,0.466,0.50681
0.001,231000,0.014,0.49,0.531
0.007,232000,0.018,0.499,0.53551
0.005,233000,0.014,0.476,0.5088
0.026,234000,0.014,0.473,0.5113
0.013,235000,0.012,0.458,0.4985
0.001,236000,0.015,0.487,0.52637
0.014,237000,0.018,0.463,0.50338
0.016,238000,0.012,0.472,0.51242
0.002,239000,0.011,0.462,0.50317
-0.004,240000,0.015,0.478,0.51947
0.001,241000,0.015,0.462,0.50312
0.002,242000,0.026,0.447,0.48766
0.008,243000,0.019,0.488,0.52975
0.01,244000,0.018,0.472,0.51246
0.014,245000,0.017,0.471,0.5062
0.03,246000,0.015,0.48,0.51841
0.016,247000,0.021,0.456,0.49598
-0.001,248000,0.021,0.483,0.52434
0.003,249000,0.021,0.47,0.50865
0.011,250000,0.027,0.468,0.5076
0.014,251000,0.022,0.432,0.47188
0.009,252000,0.018,0.471,0.51211
0.001,253000,0.017,0.481,0.52243
0.008,254000,0.012,0.456,0.49759
0.011,255000,0.011,0.467,0.50856
0.006,256000,0.016,0.46,0.50198
0.005,257000,0.02,0.457,0.49865
0.003,258000,0.008,0.455,0.49701
0.014,259000,0.02,0.473,0.51481
0.008,260000,0.016,0.452,0.49307
0.008,261000,0.017,0.476,0.51833
-0.005,262000,0.01,0.471,0.51352
0.012,263000,0.011,0.466,0.50826
0.008,264000,0.015,0.466,0.50898
0.01,265000,0.015,0.458,0.5007
0.006,266000,0.011,0.492,0.53442
0.012,267000,0.014,0.475,0.51758
-0.008,268000,0.02,0.473,0.51538
0.009,269000,0.015,0.449,0.49049
