avg_diff,avg_winning,loss_train,avg_score,step_idx
0.024,0.363,0.038,0.37925,1000
0.006,0.387,0.051,0.4017,2000
0.014,0.365,0.045,0.38288,3000
0.023,0.351,0.041,0.37023,4000
0.011,0.331,0.037,0.35439,5000
0.02,0.341,0.029,0.36702,6000
0.02,0.363,0.029,0.38963,7000
0.021,0.31,0.024,0.33969,8000
0.018,0.303,0.028,0.3354,9000
0.013,0.333,0.025,0.36497,10000
0.007,0.367,0.029,0.3996,11000
0.023,0.32,0.028,0.35321,12000
0.025,0.362,0.028,0.39394,13000
0.015,0.368,0.028,0.40172,14000
0.019,0.377,0.028,0.41151,15000
0.005,0.37,0.031,0.40632,16000
0.026,0.401,0.028,0.43893,17000
