avg_score,step_idx,avg_winning,loss_train,avg_diff
0.2783,1000,0.261,0.0,0.027
0.29126,2000,0.281,0.0,0.018
0.31624,3000,0.311,0.0,0.018
0.29427,4000,0.278,0.0,0.021
0.2929,5000,0.273,0.0,0.023
0.33348,6000,0.311,0.0,0.034
0.29849,7000,0.276,0.0,0.029
0.32157,8000,0.3,0.0,0.03
0.31378,9000,0.288,0.0,0.011
0.33513,10000,0.311,0.0,0.03
0.33443,11000,0.309,0.0,0.025
0.3283,12000,0.3,0.0,0.014
0.37123,13000,0.343,0.0,0.02
0.3935,14000,0.363,0.0,0.026
0.401,15000,0.369,0.0,0.015
0.39267,16000,0.359,0.0,0.027
0.45198,17000,0.42,0.0,0.015
0.42551,18000,0.392,0.0,0.009
0.42848,19000,0.397,0.0,0.007
0.43924,20000,0.402,0.0,0.03
0.44378,21000,0.414,0.0,0.028
0.49311,22000,0.455,0.0,0.024
0.46977,23000,0.433,0.0,0.025
0.47437,24000,0.443,0.0,0.023
0.48799,25000,0.452,0.0,0.015
0.49581,26000,0.455,0.0,0.011
0.50635,27000,0.475,0.0,0.024
0.51041,28000,0.473,0.0,0.015
0.50275,29000,0.468,0.0,0.021
0.47725,30000,0.437,0.0,0.021
0.52134,31000,0.491,0.0,0.017
0.49836,32000,0.468,0.0,0.013
0.50017,33000,0.459,0.0,0.009
0.49355,34000,0.452,0.0,0.018
0.49032,35000,0.45,0.0,0.022
0.50269,36000,0.462,0.0,0.022
0.50544,37000,0.467,0.0,0.029
0.50108,38000,0.461,0.0,0.02
0.52418,39000,0.481,0.0,0.023
0.50752,40000,0.466,0.0,0.025
0.50809,41000,0.466,0.0,0.024
0.50316,42000,0.461,0.0,0.021
0.49222,43000,0.451,0.0,0.018
0.48925,44000,0.453,0.0,0.021
0.49428,45000,0.457,0.0,0.012
0.50257,46000,0.464,0.0,0.02
0.51714,47000,0.481,0.0,0.017
0.50051,48000,0.462,0.0,0.018
0.52422,49000,0.483,0.0,0.027
0.49454,50000,0.453,0.0,0.019
0.51371,51000,0.473,0.0,0.014
0.50341,52000,0.463,0.0,0.018
0.52268,53000,0.482,0.0,0.032
0.5069,54000,0.465,0.0,0.025
0.5122,55000,0.472,0.0,0.023
0.52634,56000,0.486,0.0,0.022
0.48281,57000,0.442,0.0,0.017
0.50324,58000,0.462,0.0,0.018
0.49303,59000,0.454,0.0,0.027
0.51316,60000,0.476,0.0,0.02
0.50769,61000,0.468,0.0,0.022
0.49,62000,0.45,0.0,0.019
0.49307,63000,0.455,0.0,0.041
