step_idx,loss_train,avg_score,avg_winning,avg_diff
159000,0.017,0.49179,0.45,0.025
160000,0.007,0.49657,0.455,0.017
161000,0.016,0.4837,0.442,0.023
162000,0.008,0.50255,0.461,0.024
163000,0.016,0.48291,0.441,0.024
164000,0.005,0.49154,0.452,0.021
165000,0.032,0.51472,0.474,0.021
166000,0.025,0.51496,0.475,0.02
167000,0.018,0.49185,0.45,0.014
168000,0.009,0.46791,0.427,0.024
169000,0.001,0.47493,0.433,0.014
170000,0.016,0.49721,0.455,0.009
171000,0.024,0.47644,0.435,0.021
172000,0.013,0.49876,0.457,0.018
173000,0.029,0.50723,0.474,0.02
174000,0.036,0.51254,0.47,0.011
175000,0.038,0.5044,0.466,0.015
176000,0.027,0.51055,0.469,0.014
177000,-0.003,0.4965,0.454,0.016
178000,0.012,0.5129,0.471,0.026
179000,0.01,0.49962,0.458,0.016
180000,0.012,0.50935,0.467,0.01
181000,0.015,0.50986,0.467,0.01
182000,0.022,0.46739,0.427,0.015
183000,0.004,0.50808,0.466,0.016
184000,0.017,0.49677,0.455,0.016
185000,0.008,0.50353,0.461,0.013
186000,0.016,0.51209,0.47,0.021
187000,0.018,0.50714,0.466,0.021
188000,0.017,0.51205,0.471,0.012
189000,0.016,0.5035,0.462,0.015
190000,0.015,0.47401,0.432,0.021
191000,0.01,0.49499,0.452,0.014
192000,0.023,0.50781,0.465,0.017
193000,0.004,0.50928,0.467,0.018
194000,0.037,0.49891,0.46,0.025
195000,0.031,0.50217,0.46,0.029
196000,0.023,0.47349,0.432,0.014
197000,0.014,0.48124,0.439,0.025
198000,0.016,0.47902,0.436,0.015
199000,0.016,0.48173,0.439,0.024
200000,0.022,0.49873,0.456,0.021
201000,0.002,0.50707,0.469,0.018
202000,0.027,0.50548,0.466,0.025
203000,0.014,0.50629,0.466,0.03
204000,0.015,0.49048,0.448,0.019
205000,0.016,0.46254,0.42,0.017
206000,0.02,0.49363,0.454,0.022
207000,0.014,0.47151,0.43,0.017
208000,0.022,0.50558,0.463,0.015
209000,0.005,0.49544,0.452,0.02
210000,0.018,0.48923,0.446,0.017
211000,0.016,0.49145,0.449,0.016
212000,0.031,0.49352,0.451,0.016
213000,0.009,0.45645,0.415,0.019
214000,0.029,0.4739,0.433,0.006
215000,0.013,0.45105,0.409,0.011
216000,0.024,0.44881,0.408,0.03
217000,0.022,0.49115,0.449,0.026
218000,0.019,0.46505,0.424,0.025
219000,0.011,0.46671,0.426,0.02
220000,0.005,0.48886,0.447,0.016
221000,0.006,0.47816,0.438,0.034
222000,0.007,0.44826,0.408,0.017
223000,0.006,0.47118,0.433,0.03
224000,0.022,0.48656,0.445,0.014
225000,0.025,0.47571,0.435,0.021
226000,0.014,0.4985,0.458,0.02
227000,0.013,0.44961,0.409,0.004
228000,0.003,0.46271,0.422,0.024
229000,0.017,0.46303,0.431,0.021
230000,0.018,0.47321,0.435,0.019
231000,0.008,0.49841,0.457,0.015
232000,0.032,0.46366,0.423,0.011
233000,0.019,0.46779,0.426,0.015
234000,0.025,0.4938,0.453,0.027
235000,0.029,0.4918,0.451,0.012
236000,0.023,0.48043,0.446,0.02
237000,0.037,0.48962,0.459,0.01
238000,0.029,0.48789,0.452,0.022
239000,0.019,0.49945,0.46,0.026
240000,0.017,0.46688,0.427,0.017
241000,0.015,0.46562,0.426,0.016
242000,0.003,0.49096,0.452,0.019
243000,0.028,0.49746,0.459,0.021
244000,0.015,0.49484,0.455,0.025
245000,0.024,0.49447,0.455,0.026
246000,0.02,0.48541,0.447,0.018
247000,0.016,0.464,0.425,0.016
248000,0.012,0.46105,0.422,0.017
249000,0.004,0.46193,0.423,0.014
250000,0.021,0.45464,0.416,0.005
251000,0.007,0.48449,0.445,0.016
252000,0.024,0.48827,0.456,0.02
253000,0.028,0.4821,0.443,0.008
254000,0.016,0.4552,0.416,0.006
255000,0.006,0.48081,0.44,0.018
256000,0.009,0.46588,0.425,0.021
257000,0.012,0.46389,0.424,0.018
258000,0.018,0.46999,0.43,0.013
259000,0.021,0.47186,0.431,0.026
260000,0.012,0.48118,0.442,0.017
261000,0.011,0.47419,0.436,0.017
262000,0.03,0.45314,0.414,0.014
263000,0.018,0.43979,0.401,0.027
264000,0.01,0.45626,0.417,0.011
265000,0.008,0.47425,0.434,0.009
266000,0.016,0.44307,0.403,0.023
267000,0.003,0.4715,0.43,0.026
268000,0.014,0.4815,0.441,0.021
269000,0.024,0.4745,0.436,0.025
270000,0.031,0.50335,0.464,0.018
271000,0.019,0.47833,0.442,0.019
272000,0.019,0.49478,0.455,0.025
273000,0.02,0.48554,0.445,0.018
274000,0.016,0.46557,0.425,0.022
275000,0.01,0.48827,0.447,0.013
276000,0.011,0.4862,0.446,0.013
277000,0.022,0.48742,0.447,0.006
278000,0.027,0.48986,0.45,0.013
279000,0.019,0.48515,0.455,0.012
280000,0.024,0.44804,0.408,0.008
281000,0.011,0.45404,0.413,0.009
282000,0.008,0.46994,0.428,0.016
283000,0.001,0.45393,0.413,0.026
284000,0.019,0.47803,0.436,0.021
285000,0.012,0.49483,0.453,0.026
286000,0.011,0.45916,0.417,0.013
287000,0.008,0.47916,0.44,0.029
288000,0.016,0.50049,0.46,0.014
289000,0.011,0.50321,0.461,0.025
290000,0.029,0.47282,0.431,0.022
291000,0.009,0.45363,0.412,0.024
292000,0.021,0.45705,0.416,0.02
293000,0.012,0.48383,0.442,0.033
294000,0.015,0.45359,0.412,0.024
295000,0.013,0.47522,0.434,0.025
296000,0.026,0.43519,0.394,0.033
297000,0.004,0.47553,0.434,0.026
298000,0.017,0.46532,0.424,0.027
299000,-0.002,0.47475,0.434,0.031
300000,0.013,0.47097,0.43,0.024
301000,0.01,0.46527,0.425,0.016
302000,0.015,0.44859,0.408,0.026
303000,0.021,0.45609,0.416,0.014
304000,0.012,0.46604,0.425,0.023
305000,0.004,0.45835,0.417,0.018
306000,0.009,0.46575,0.425,0.009
307000,0.015,0.47611,0.436,0.019
308000,0.011,0.47173,0.432,0.022
309000,0.011,0.44174,0.402,0.02
310000,0.005,0.4846,0.447,0.023
311000,0.008,0.43391,0.395,0.022
312000,0.012,0.46486,0.426,0.025
313000,0.018,0.45624,0.416,0.012
314000,0.003,0.45087,0.411,0.022
315000,0.015,0.43401,0.394,0.02
316000,0.009,0.45631,0.416,0.024
317000,0.015,0.44987,0.41,0.025
318000,0.017,0.46212,0.421,0.024
319000,0.002,0.48257,0.443,0.021
320000,0.021,0.47412,0.434,0.021
321000,0.013,0.48921,0.448,0.017
322000,0.023,0.46373,0.423,0.025
323000,0.012,0.47581,0.435,0.017
324000,0.008,0.47426,0.434,0.018
325000,0.017,0.4724,0.431,0.011
326000,0.01,0.45671,0.417,0.021
327000,0.014,0.49194,0.453,0.013
328000,0.016,0.49895,0.458,0.016
329000,0.008,0.47321,0.432,0.013
330000,0.014,0.4862,0.445,0.015
331000,0.014,0.46138,0.42,0.014
332000,0.018,0.48325,0.442,0.016
333000,0.012,0.48855,0.446,0.024
334000,0.022,0.46342,0.422,0.013
335000,0.003,0.47982,0.438,0.015
336000,0.017,0.48009,0.44,0.013
337000,0.01,0.48939,0.449,0.026
338000,0.01,0.4304,0.39,0.043
339000,0.014,0.45422,0.413,0.03
340000,0.003,0.48257,0.441,0.012
341000,0.005,0.46212,0.423,0.016
342000,0.004,0.43472,0.394,0.028
343000,0.013,0.43998,0.399,0.036
344000,0.008,0.45652,0.416,0.024
345000,0.017,0.4666,0.426,0.025
346000,0.025,0.44679,0.407,0.028
347000,0.012,0.42785,0.387,0.027
348000,0.004,0.40884,0.368,0.03
349000,0.005,0.42666,0.387,0.028
350000,0.021,0.44431,0.404,0.025
351000,0.007,0.43516,0.397,0.032
352000,0.018,0.42936,0.39,0.017
353000,0.003,0.42265,0.385,0.028
354000,0.008,0.40027,0.362,0.024
355000,0.008,0.4725,0.436,0.027
356000,0.01,0.43278,0.396,0.029
357000,0.005,0.45851,0.422,0.029
358000,0.016,0.41065,0.372,0.029
359000,0.003,0.42845,0.392,0.032
360000,0.011,0.409,0.37,0.02
361000,0.012,0.47272,0.436,0.017
362000,0.032,0.4106,0.373,0.022
363000,-0.007,0.42953,0.392,0.022
364000,0.018,0.44415,0.406,0.036
365000,0.012,0.43609,0.398,0.031
366000,0.019,0.4446,0.406,0.031
367000,0.005,0.43173,0.393,0.036
368000,0.016,0.44685,0.408,0.033
369000,0.029,0.41623,0.377,0.024
370000,0.001,0.45458,0.416,0.027
371000,0.008,0.45597,0.417,0.026
372000,0.018,0.44802,0.408,0.021
373000,0.008,0.43774,0.397,0.025
374000,0.004,0.45394,0.414,0.021
375000,0.012,0.45173,0.411,0.019
