avg_score,avg_score_no,avg_diff,step_idx,avg_winning,loss_train
0.46822,0.03822,0.005,37500,0.43,0.007
0.46975,0.03975,0.015,37800,0.43,-0.03
0.42333,0.03833,0.01,38100,0.385,-0.009
0.49732,0.04232,0.03,38400,0.455,0.034
0.50258,0.04258,0.025,38700,0.46,-0.018
0.4868,0.0418,0.0,39000,0.445,0.007
0.46482,0.03982,-0.005,39300,0.425,-0.024
0.47867,0.03867,0.01,39600,0.44,0.015
0.49004,0.04004,0.025,39900,0.45,-0.019
0.48695,0.04195,0.01,40200,0.445,0.029
0.46609,0.04109,0.01,40500,0.425,-0.012
0.49822,0.04322,0.03,40800,0.455,-0.056
0.48257,0.04257,0.0,41100,0.44,-0.018
0.49705,0.04205,0.02,41400,0.455,-0.041
0.48233,0.04233,0.025,41700,0.44,-0.015
0.48817,0.04317,0.02,42000,0.445,-0.013
0.45628,0.04128,0.025,42300,0.415,0.013
0.46638,0.04138,0.03,42600,0.425,-0.012
0.45062,0.04062,0.015,42900,0.41,-0.025
0.45969,0.03969,0.035,43200,0.42,-0.034
0.44512,0.04012,0.02,43500,0.405,0.007
0.44479,0.03979,0.02,43800,0.405,-0.016
0.47106,0.04106,0.03,44100,0.43,-0.001
0.45637,0.04137,0.005,44400,0.415,-0.033
0.42988,0.03988,0.025,44700,0.39,-0.018
0.45216,0.04216,0.005,45000,0.41,-0.005
0.4527,0.0427,0.015,45300,0.41,-0.0
0.4478,0.0428,0.025,45600,0.405,-0.023
0.44146,0.04146,0.02,45900,0.4,0.011
0.44132,0.04132,0.035,46200,0.4,0.001
0.44455,0.03955,0.035,46500,0.405,-0.033
0.44013,0.04013,0.03,46800,0.4,0.004
0.45189,0.04189,0.035,47100,0.41,-0.046
0.46769,0.04269,0.035,47400,0.425,0.008
0.43371,0.04371,0.04,47700,0.39,-0.014
0.44316,0.04316,0.04,48000,0.4,0.003
0.45186,0.04186,0.04,48300,0.41,-0.018
0.47508,0.04508,0.02,48600,0.43,-0.035
0.47293,0.04293,0.04,48900,0.43,-0.012
0.46854,0.04354,0.035,49200,0.425,0.0
0.4583,0.0433,0.03,49500,0.415,0.024
0.46821,0.04321,0.03,49800,0.425,-0.055
0.45933,0.04433,0.02,50100,0.415,0.004
0.46097,0.04097,0.015,50400,0.42,-0.029
0.44551,0.04051,0.02,50700,0.405,0.003
0.46676,0.04176,0.015,51000,0.425,-0.027
0.46214,0.04214,0.025,51300,0.42,-0.023
0.45609,0.04109,0.025,51600,0.415,-0.042
0.47742,0.04242,0.005,51900,0.435,-0.053
0.45593,0.04093,0.04,52200,0.415,-0.049
0.46826,0.04326,0.05,52500,0.425,0.008
0.41058,0.04058,0.05,52800,0.37,0.021
0.41129,0.04129,0.045,53100,0.37,0.021
0.48832,0.04332,0.04,53400,0.445,0.016
