step_idx,avg_winning,avg_score,loss_train,avg_diff
1000,0.283,0.29444,0.035,0.012
2000,0.251,0.26495,0.047,0.027
3000,0.308,0.32173,0.043,0.023
4000,0.238,0.25919,0.04,0.018
5000,0.254,0.27732,0.035,0.024
6000,0.283,0.30427,0.031,0.015
7000,0.28,0.30563,0.033,0.028
8000,0.28,0.30796,0.028,0.025
9000,0.321,0.34854,0.03,0.027
10000,0.295,0.32511,0.028,0.032
11000,0.303,0.33006,0.027,0.019
12000,0.295,0.32545,0.031,0.013
13000,0.337,0.36779,0.031,0.023
14000,0.322,0.34628,0.032,0.026
15000,0.352,0.3856,0.03,0.02
16000,0.363,0.39444,0.03,0.023
17000,0.391,0.42592,0.03,0.026
18000,0.394,0.42461,0.03,0.027
19000,0.426,0.46179,0.029,0.018
20000,0.427,0.46515,0.026,0.004
21000,0.411,0.4491,0.031,0.021
22000,0.43,0.46677,0.027,0.028
23000,0.431,0.46893,0.03,0.014
24000,0.446,0.48483,0.032,0.013
25000,0.471,0.5069,0.029,0.021
26000,0.459,0.4931,0.026,0.02
27000,0.438,0.47485,0.029,0.023
28000,0.438,0.4754,0.027,0.02
29000,0.483,0.52069,0.027,0.019
30000,0.464,0.50205,0.032,0.014
31000,0.442,0.48426,0.028,0.014
32000,0.435,0.47716,0.031,0.022
33000,0.44,0.48278,0.027,0.023
34000,0.446,0.48523,0.026,0.027
35000,0.44,0.48236,0.026,0.025
36000,0.461,0.50183,0.028,0.037
37000,0.462,0.50164,0.028,0.019
38000,0.457,0.49334,0.022,0.017
39000,0.45,0.49183,0.031,0.031
40000,0.438,0.47899,0.02,0.028
41000,0.456,0.49718,0.026,0.023
42000,0.459,0.50299,0.025,0.022
43000,0.459,0.50376,0.028,0.032
44000,0.463,0.49804,0.021,0.019
45000,0.472,0.50575,0.029,0.015
46000,0.457,0.49141,0.023,0.013
47000,0.436,0.47874,0.022,0.029
48000,0.438,0.48035,0.021,0.023
49000,0.439,0.48136,0.027,0.036
50000,0.432,0.47348,0.018,0.031
51000,0.436,0.47106,0.016,0.017
52000,0.453,0.49318,0.012,0.021
53000,0.473,0.51435,0.015,0.021
54000,0.458,0.49934,0.017,0.026
55000,0.469,0.50734,0.022,0.009
56000,0.465,0.50831,0.019,0.022
57000,0.451,0.49426,0.021,0.036
58000,0.449,0.49187,0.021,0.031
59000,0.468,0.50603,0.019,0.025
60000,0.467,0.50441,0.019,0.014
61000,0.454,0.49811,0.022,0.044
62000,0.453,0.49487,0.021,0.033
63000,0.457,0.49994,0.016,0.026
64000,0.469,0.5077,0.018,0.019
65000,0.436,0.47898,0.022,0.031
66000,0.457,0.50025,0.019,0.027
67000,0.461,0.50373,0.017,0.019
68000,0.464,0.50731,0.03,0.02
69000,0.455,0.49845,0.022,0.03
70000,0.47,0.51327,0.012,0.019
