avg_diff,avg_winning,loss_train,step_idx,avg_score
0.003,0.616,-0.021,153000,0.65032
0.007,0.621,-0.022,154000,0.65524
0.01,0.622,-0.021,155000,0.65663
0.004,0.614,-0.011,156000,0.64833
0.01,0.614,-0.016,157000,0.64848
0.003,0.609,-0.012,158000,0.64269
0.015,0.614,-0.014,159000,0.64797
0.006,0.614,-0.012,160000,0.64875
0.01,0.615,-0.014,161000,0.6498
0.008,0.626,-0.017,162000,0.66074
0.008,0.61,-0.012,163000,0.64492
0.007,0.615,-0.009,164000,0.65002
0.012,0.61,-0.011,165000,0.6449
0.009,0.61,-0.009,166000,0.64471
0.014,0.571,-0.011,167000,0.6042
0.007,0.611,-0.01,168000,0.64587
0.013,0.608,-0.012,169000,0.64249
0.033,0.288,-0.012,170000,0.31261
0.013,0.556,-0.005,171000,0.58916
0.004,0.615,-0.005,172000,0.64984
0.013,0.599,-0.016,173000,0.63336
-0.001,0.621,-0.015,174000,0.6562
-0.002,0.618,-0.007,175000,0.6528
0.002,0.613,-0.015,176000,0.64757
0.008,0.624,-0.013,177000,0.65926
0.003,0.598,-0.02,178000,0.63267
0.006,0.613,-0.02,179000,0.64777
0.007,0.61,-0.014,180000,0.64506
0.001,0.605,-0.014,181000,0.63926
0.01,0.596,-0.013,182000,0.63021
0.004,0.611,-0.011,183000,0.64565
0.016,0.617,-0.006,184000,0.65217
-0.001,0.625,-0.013,185000,0.66049
-0.002,0.631,-0.01,186000,0.66665
-0.002,0.603,-0.017,187000,0.63814
0.006,0.622,-0.007,188000,0.65814
0.004,0.621,-0.004,189000,0.65683
0.0,0.622,-0.008,190000,0.65714
-0.002,0.63,-0.019,191000,0.6655
0.001,0.623,-0.009,192000,0.65818
0.002,0.623,-0.012,193000,0.65891
0.001,0.618,-0.014,194000,0.65358
0.004,0.626,-0.03,195000,0.66194
0.004,0.608,-0.014,196000,0.64366
0.0,0.616,-0.01,197000,0.65203
0.005,0.598,-0.008,198000,0.63353
0.0,0.619,-0.01,199000,0.65485
-0.004,0.63,-0.011,200000,0.66609
-0.007,0.609,-0.005,201000,0.64471
0.001,0.601,-0.01,202000,0.63655
-0.002,0.604,-0.01,203000,0.63963
-0.001,0.603,-0.01,204000,0.63839
0.008,0.6,-0.014,205000,0.6355
0.001,0.614,-0.01,206000,0.64999
0.013,0.609,-0.02,207000,0.6444
-0.005,0.62,-0.007,208000,0.65592
0.001,0.614,-0.011,209000,0.64983
0.006,0.619,-0.011,210000,0.65513
0.002,0.617,-0.011,211000,0.65268
0.006,0.614,-0.012,212000,0.65032
0.007,0.593,-0.016,213000,0.62839
0.005,0.545,-0.007,214000,0.57891
0.011,0.597,-0.014,215000,0.6329
0.001,0.609,-0.007,216000,0.64551
0.001,0.617,-0.015,217000,0.65326
0.012,0.594,-0.015,218000,0.62959
0.007,0.592,-0.015,219000,0.62743
-0.002,0.614,-0.006,220000,0.64979
0.002,0.592,-0.006,221000,0.62822
0.005,0.616,-0.007,222000,0.65225
-0.001,0.612,-0.011,223000,0.64824
-0.004,0.622,-0.003,224000,0.65864
-0.001,0.617,-0.013,225000,0.65327
0.0,0.614,-0.004,226000,0.65013
0.009,0.613,-0.016,227000,0.6493
0.006,0.619,-0.015,228000,0.65514
0.002,0.609,-0.014,229000,0.6452
0.002,0.61,-0.012,230000,0.64633
0.012,0.594,-0.004,231000,0.62945
0.007,0.615,-0.014,232000,0.65113
0.002,0.593,-0.014,233000,0.62871
0.005,0.61,-0.01,234000,0.64586
0.008,0.611,-0.014,235000,0.64679
0.008,0.596,-0.012,236000,0.63185
-0.005,0.609,-0.01,237000,0.64479
0.007,0.604,-0.017,238000,0.63971
0.007,0.579,-0.009,239000,0.61484
0.008,0.603,-0.007,240000,0.6392
0.001,0.607,-0.014,241000,0.64293
0.021,0.579,-0.015,242000,0.61456
0.017,0.54,-0.02,243000,0.57445
0.008,0.57,-0.007,244000,0.60575
0.001,0.57,-0.012,245000,0.60521
0.0,0.556,-0.017,246000,0.59159
0.0,0.605,-0.005,247000,0.64115
0.001,0.602,-0.005,248000,0.63823
0.004,0.576,-0.009,249000,0.61114
0.0,0.569,-0.019,250000,0.60428
-0.002,0.598,-0.012,251000,0.63374
