avg_score,avg_winning,step_idx,avg_diff,loss_train
0.52156,0.482,159000,0.019,0.022
0.5132,0.472,160000,0.012,0.029
0.49935,0.458,161000,0.016,0.013
0.51959,0.483,162000,0.02,0.017
0.5062,0.466,163000,0.009,0.017
0.51287,0.473,164000,0.021,0.012
0.51657,0.479,165000,0.02,0.016
0.52869,0.491,166000,0.015,0.023
0.50976,0.474,167000,0.02,0.018
0.51675,0.476,168000,0.015,0.017
0.50998,0.473,169000,0.016,0.018
0.51736,0.48,170000,0.023,0.011
0.50509,0.465,171000,0.013,0.021
0.51481,0.478,172000,0.021,0.024
0.53563,0.499,173000,0.026,0.012
0.50839,0.472,174000,0.021,0.005
0.51799,0.48,175000,0.013,0.022
0.5153,0.477,176000,0.01,0.013
0.49517,0.455,177000,0.021,0.02
0.52075,0.481,178000,0.017,0.021
0.5243,0.485,179000,0.018,0.014
0.51476,0.475,180000,0.01,0.017
0.52398,0.489,181000,0.019,0.018
0.52667,0.485,182000,0.015,0.026
0.51142,0.471,183000,0.02,0.03
0.50861,0.47,184000,0.018,0.011
0.5208,0.478,185000,0.016,0.024
0.52096,0.478,186000,0.019,0.008
0.51107,0.469,187000,0.019,0.017
0.51769,0.476,188000,0.03,0.016
0.51595,0.475,189000,0.013,0.026
0.51403,0.474,190000,0.014,0.018
0.50778,0.468,191000,0.004,0.023
0.50742,0.468,192000,0.016,0.029
0.50102,0.464,193000,0.02,0.022
0.47796,0.449,194000,0.012,0.011
0.51085,0.474,195000,0.013,0.023
0.52025,0.48,196000,0.017,0.007
0.50044,0.463,197000,0.014,0.016
0.51476,0.473,198000,0.018,0.013
0.52983,0.487,199000,0.018,0.022
0.51262,0.469,200000,0.011,0.019
0.50767,0.465,201000,0.018,0.006
0.50569,0.463,202000,0.031,0.023
0.51948,0.477,203000,0.016,0.022
0.51619,0.475,204000,0.019,0.015
0.51695,0.475,205000,0.018,0.03
0.50824,0.468,206000,0.021,0.01
0.49493,0.455,207000,0.019,0.008
0.51354,0.476,208000,0.012,0.01
0.51138,0.471,209000,0.022,0.003
0.51392,0.474,210000,0.012,0.017
0.50103,0.463,211000,0.014,0.019
0.50993,0.472,212000,0.009,0.012
0.50838,0.467,213000,0.023,0.023
0.50382,0.462,214000,0.016,0.014
0.4951,0.453,215000,0.025,0.007
0.51587,0.476,216000,0.013,0.025
0.51338,0.472,217000,0.009,0.025
0.51635,0.477,218000,0.023,0.019
0.52235,0.48,219000,0.014,0.023
0.51404,0.475,220000,0.02,0.014
0.49066,0.459,221000,0.019,0.016
0.46844,0.444,222000,0.02,0.008
0.50461,0.466,223000,0.014,0.028
0.50285,0.472,224000,0.021,0.022
0.50084,0.459,225000,0.022,0.025
0.52032,0.48,226000,0.011,0.012
0.51527,0.474,227000,0.015,0.025
0.52237,0.481,228000,0.014,0.021
0.52457,0.482,229000,0.02,0.011
0.51492,0.475,230000,0.016,0.023
0.51116,0.469,231000,0.006,0.012
0.51641,0.474,232000,0.015,0.02
0.52579,0.483,233000,0.014,0.021
0.51578,0.473,234000,0.018,0.022
0.52186,0.479,235000,0.012,0.019
0.53588,0.495,236000,0.011,0.022
0.51086,0.468,237000,0.02,0.018
0.51071,0.469,238000,0.018,0.012
0.51645,0.473,239000,0.022,0.017
0.5112,0.469,240000,0.019,0.008
0.48707,0.445,241000,0.018,0.018
0.50364,0.465,242000,0.011,0.014
0.50398,0.463,243000,0.008,0.035
0.50152,0.464,244000,0.014,0.019
0.51652,0.478,245000,0.018,0.02
0.5093,0.469,246000,0.026,0.026
0.50629,0.466,247000,0.008,0.018
0.48334,0.443,248000,0.013,0.004
0.49583,0.455,249000,0.018,0.015
0.49465,0.454,250000,0.02,0.014
0.50096,0.46,251000,0.019,0.016
0.49961,0.461,252000,0.019,0.012
0.50897,0.47,253000,0.013,0.019
0.49786,0.458,254000,0.019,0.033
0.50253,0.463,255000,0.018,0.016
0.49418,0.453,256000,0.025,0.02
0.49707,0.455,257000,0.025,0.013
0.50027,0.458,258000,0.016,0.008
0.50873,0.467,259000,0.025,0.017
0.51254,0.47,260000,0.022,0.006
0.48926,0.449,261000,0.017,0.013
0.50411,0.463,262000,0.02,-0.002
0.49565,0.453,263000,0.018,0.017
0.51364,0.471,264000,0.021,0.02
0.50041,0.467,265000,0.018,0.022
0.50343,0.465,266000,0.014,0.026
0.4891,0.453,267000,0.019,0.013
0.49408,0.457,268000,0.016,0.021
0.50345,0.463,269000,0.019,0.03
0.49608,0.455,270000,0.027,0.017
0.48264,0.441,271000,0.017,0.022
0.50818,0.469,272000,0.017,0.016
0.48114,0.44,273000,0.025,0.013
0.4886,0.448,274000,0.016,0.015
0.48355,0.452,275000,0.015,0.01
0.50651,0.466,276000,0.018,0.016
0.50654,0.468,277000,0.016,0.035
0.50794,0.469,278000,0.013,0.015
0.50265,0.464,279000,0.017,0.019
0.48389,0.445,280000,0.007,0.018
0.47453,0.433,281000,0.024,0.019
0.49897,0.458,282000,0.009,0.017
0.49604,0.455,283000,0.01,0.017
