avg_winning,step_idx,avg_diff,avg_score,loss_train
0.572,155000,0.009,0.60688,-0.004
0.584,156000,0.02,0.61715,-0.01
0.577,157000,0.022,0.6103,-0.01
0.579,158000,0.014,0.61267,-0.005
0.565,159000,0.014,0.59802,0.0
0.581,160000,0.023,0.61452,-0.014
0.527,161000,0.034,0.55703,-0.009
0.554,162000,0.022,0.58604,0.0
0.543,163000,0.014,0.57451,-0.019
0.462,164000,0.026,0.48763,0.008
0.535,165000,0.023,0.56758,0.008
0.534,166000,0.031,0.56544,-0.01
0.565,167000,0.021,0.59812,-0.004
0.527,168000,0.026,0.5558,-0.006
0.582,169000,0.015,0.61726,-0.003
0.584,170000,0.01,0.61833,-0.018
0.599,171000,0.017,0.63349,-0.015
0.604,172000,0.009,0.63997,0.0
0.545,173000,0.02,0.57535,-0.015
0.594,174000,0.012,0.62813,0.003
0.572,175000,0.016,0.60432,-0.014
0.581,176000,0.008,0.61486,-0.013
0.585,177000,0.012,0.61992,-0.011
0.584,178000,0.005,0.61885,0.001
0.603,179000,0.018,0.63969,-0.005
0.587,180000,0.015,0.62248,-0.001
0.6,181000,0.02,0.63616,-0.005
0.579,182000,0.022,0.61489,0.002
0.581,183000,0.016,0.61645,-0.007
0.578,184000,0.03,0.61281,-0.007
0.59,185000,0.012,0.62631,-0.009
0.567,186000,0.021,0.60287,-0.01
0.542,187000,0.024,0.57618,-0.008
0.584,188000,0.011,0.62043,0.002
0.594,189000,0.012,0.62922,-0.007
0.597,190000,0.005,0.6327,-0.015
0.603,191000,0.015,0.6373,0.001
0.514,192000,0.022,0.54267,-0.001
0.588,193000,0.014,0.62394,0.007
0.582,194000,0.018,0.61674,-0.008
0.57,195000,0.026,0.60417,-0.001
0.589,196000,0.02,0.6241,0.0
0.59,197000,0.015,0.62586,-0.007
0.57,198000,0.031,0.60434,-0.017
0.598,199000,0.014,0.63442,-0.002
0.597,200000,0.012,0.63416,-0.008
0.596,201000,0.023,0.63219,-0.015
0.585,202000,0.011,0.62235,-0.006
0.589,203000,0.019,0.62673,-0.02
0.589,204000,0.013,0.62652,-0.008
0.592,205000,0.019,0.62959,0.008
0.597,206000,0.015,0.63325,-0.015
0.579,207000,0.024,0.61283,-0.014
0.592,208000,0.016,0.62846,0.005
0.605,209000,0.018,0.64169,-0.002
0.609,210000,0.017,0.64601,-0.014
0.599,211000,0.018,0.63494,-0.003
0.601,212000,0.018,0.63791,0.001
0.588,213000,0.021,0.62294,-0.004
0.603,214000,0.016,0.63949,-0.0
0.593,215000,0.004,0.62703,-0.009
0.54,216000,0.036,0.57253,-0.009
0.592,217000,0.012,0.62747,-0.017
0.539,218000,0.019,0.56947,-0.01
0.589,219000,0.012,0.62434,-0.0
0.586,220000,0.013,0.62129,-0.008
0.595,221000,0.024,0.63082,-0.007
0.57,222000,0.016,0.60401,-0.002
0.605,223000,0.025,0.64063,-0.011
0.61,224000,0.02,0.64609,-0.003
