avg_diff,step_idx,avg_score,loss_train,avg_winning
0.022,1000,0.23077,0.0,0.211
0.021,2000,0.25035,0.0,0.236
0.021,3000,0.2687,0.0,0.254
0.023,4000,0.26704,0.0,0.252
0.028,5000,0.27813,0.0,0.261
0.021,6000,0.2701,0.0,0.252
0.032,7000,0.26802,0.0,0.247
0.021,8000,0.27394,0.0,0.254
0.016,9000,0.27671,0.0,0.257
0.022,10000,0.27259,0.0,0.247
0.021,11000,0.31202,0.0,0.286
0.024,12000,0.31527,0.0,0.291
0.009,13000,0.33523,0.0,0.306
0.02,14000,0.33429,0.0,0.311
0.016,15000,0.34115,0.0,0.317
0.034,16000,0.3617,0.0,0.332
0.02,17000,0.3778,0.0,0.355
0.021,18000,0.37844,0.0,0.351
0.021,19000,0.40605,0.0,0.371
0.015,20000,0.42321,0.0,0.389
0.023,21000,0.43119,0.0,0.398
0.02,22000,0.47724,0.0,0.447
0.019,23000,0.44573,0.0,0.409
0.024,24000,0.4589,0.0,0.421
0.02,25000,0.47058,0.0,0.436
0.018,26000,0.45887,0.0,0.43
0.02,27000,0.47779,0.0,0.439
0.026,28000,0.47427,0.0,0.437
0.024,29000,0.47471,0.0,0.442
0.021,30000,0.48005,0.0,0.448
0.014,31000,0.48458,0.0,0.454
0.017,32000,0.50889,0.0,0.472
0.014,33000,0.48043,0.0,0.44
0.015,34000,0.53109,0.0,0.495
0.022,35000,0.50034,0.0,0.465
0.024,36000,0.50656,0.0,0.473
0.021,37000,0.49443,0.0,0.462
0.025,38000,0.51288,0.0,0.473
0.019,39000,0.51006,0.0,0.471
0.024,40000,0.50599,0.0,0.464
0.032,41000,0.49001,0.0,0.451
0.02,42000,0.47573,0.0,0.435
0.015,43000,0.50313,0.0,0.463
0.023,44000,0.49239,0.0,0.457
0.018,45000,0.50552,0.0,0.466
0.023,46000,0.49248,0.0,0.452
0.019,47000,0.49629,0.0,0.46
0.019,48000,0.50456,0.0,0.466
0.03,49000,0.48749,0.0,0.447
0.025,50000,0.50689,0.0,0.467
0.031,51000,0.50315,0.0,0.468
0.023,52000,0.49752,0.0,0.458
0.024,53000,0.50477,0.0,0.464
0.031,54000,0.51209,0.0,0.472
0.018,55000,0.4972,0.0,0.461
0.018,56000,0.51479,0.0,0.473
0.025,57000,0.51024,0.0,0.47
0.024,58000,0.51694,0.0,0.475
0.017,59000,0.5107,0.0,0.469
0.021,60000,0.49068,0.0,0.449
0.024,61000,0.49868,0.0,0.458
0.025,62000,0.49479,0.0,0.454
0.021,63000,0.47796,0.0,0.436
0.018,64000,0.46062,0.0,0.42
0.028,65000,0.47748,0.0,0.436
0.028,66000,0.48995,0.0,0.448
0.018,67000,0.48446,0.0,0.443
0.025,68000,0.49232,0.0,0.451
0.026,69000,0.50273,0.0,0.462
0.017,70000,0.50329,0.0,0.463
0.023,71000,0.48115,0.0,0.441
0.02,72000,0.47814,0.0,0.437
0.017,73000,0.48188,0.0,0.441
0.027,74000,0.46785,0.0,0.429
0.03,75000,0.47424,0.0,0.436
0.025,76000,0.47865,0.0,0.438
0.027,77000,0.47564,0.0,0.435
0.031,78000,0.47057,0.0,0.43
0.022,79000,0.47518,0.0,0.435
0.022,80000,0.478,0.0,0.437
0.02,81000,0.47227,0.0,0.431
0.025,82000,0.4869,0.0,0.448
0.022,83000,0.47622,0.0,0.436
0.018,84000,0.47418,0.0,0.433
0.022,85000,0.47594,0.0,0.435
0.025,86000,0.47077,0.0,0.43
0.025,87000,0.47205,0.0,0.431
0.016,88000,0.47085,0.0,0.43
0.03,89000,0.48014,0.0,0.439
0.024,90000,0.46525,0.0,0.424
0.017,91000,0.46061,0.0,0.419
0.027,92000,0.48794,0.0,0.446
0.017,93000,0.5133,0.0,0.473
0.025,94000,0.46097,0.0,0.419
0.032,95000,0.47285,0.0,0.431
0.028,96000,0.46626,0.0,0.425
0.026,97000,0.44283,0.0,0.402
0.018,98000,0.46709,0.0,0.427
0.03,99000,0.47672,0.0,0.436
0.024,100000,0.46975,0.0,0.429
0.02,101000,0.46216,0.0,0.422
0.023,102000,0.4659,0.0,0.425
0.026,103000,0.46686,0.0,0.427
0.027,104000,0.46009,0.0,0.42
0.02,105000,0.47543,0.0,0.435
0.032,106000,0.48169,0.0,0.442
0.026,107000,0.47199,0.0,0.432
0.022,108000,0.45734,0.0,0.418
0.024,109000,0.46108,0.0,0.421
0.02,110000,0.47403,0.0,0.434
0.023,111000,0.46786,0.0,0.428
0.023,112000,0.48438,0.0,0.445
0.022,113000,0.45581,0.0,0.416
0.026,114000,0.4806,0.0,0.442
0.031,115000,0.47731,0.0,0.438
0.023,116000,0.4758,0.0,0.435
0.023,117000,0.4693,0.0,0.428
0.027,118000,0.47098,0.0,0.429
0.02,119000,0.45632,0.0,0.415
0.028,120000,0.47532,0.0,0.434
0.021,121000,0.4581,0.0,0.417
0.02,122000,0.45757,0.0,0.419
0.022,123000,0.48338,0.0,0.441
0.024,124000,0.47203,0.0,0.43
0.015,125000,0.4542,0.0,0.413
0.02,126000,0.46756,0.0,0.426
0.02,127000,0.48042,0.0,0.439
0.021,128000,0.47679,0.0,0.434
0.023,129000,0.46639,0.0,0.424
0.02,130000,0.47054,0.0,0.429
0.029,131000,0.46828,0.0,0.426
0.029,132000,0.47845,0.0,0.436
0.027,133000,0.48039,0.0,0.438
0.025,134000,0.44159,0.0,0.401
0.018,135000,0.48483,0.0,0.443
0.015,136000,0.4708,0.0,0.429
0.018,137000,0.47991,0.0,0.437
0.027,138000,0.4918,0.0,0.449
0.012,139000,0.49668,0.0,0.456
0.024,140000,0.51222,0.0,0.472
0.03,141000,0.48038,0.0,0.437
0.024,142000,0.46385,0.0,0.421
0.021,143000,0.49825,0.0,0.455
0.023,144000,0.48727,0.0,0.444
0.031,145000,0.46339,0.0,0.42
0.036,146000,0.46584,0.0,0.423
0.026,147000,0.48167,0.0,0.438
0.022,148000,0.46256,0.0,0.419
0.017,149000,0.47007,0.0,0.428
0.026,150000,0.46279,0.0,0.421
0.025,151000,0.48333,0.0,0.44
0.02,152000,0.47823,0.0,0.434
0.016,153000,0.49143,0.0,0.447
0.018,154000,0.49161,0.0,0.449
0.026,155000,0.48914,0.0,0.446
0.021,156000,0.48125,0.0,0.437
0.021,157000,0.48827,0.0,0.445
0.027,158000,0.47445,0.0,0.432
0.025,159000,0.46693,0.0,0.425
0.027,160000,0.46685,0.0,0.424
0.017,161000,0.47993,0.0,0.437
0.02,162000,0.48338,0.0,0.44
0.03,163000,0.47753,0.0,0.435
0.028,164000,0.473,0.0,0.43
0.023,165000,0.47767,0.0,0.435
0.03,166000,0.4741,0.0,0.431
0.03,167000,0.48138,0.0,0.438
0.022,168000,0.46407,0.0,0.421
0.019,169000,0.45857,0.0,0.415
0.037,170000,0.46737,0.0,0.424
0.021,171000,0.49283,0.0,0.456
0.026,172000,0.44352,0.0,0.401
0.014,173000,0.45747,0.0,0.415
0.023,174000,0.46503,0.0,0.421
0.025,175000,0.4723,0.0,0.429
0.022,176000,0.47796,0.0,0.435
0.024,177000,0.47578,0.0,0.433
0.034,178000,0.4934,0.0,0.45
0.029,179000,0.44621,0.0,0.404
0.031,180000,0.45198,0.0,0.408
0.02,181000,0.46,0.0,0.417
0.016,182000,0.45449,0.0,0.411
0.017,183000,0.4745,0.0,0.43
0.024,184000,0.47493,0.0,0.431
0.021,185000,0.45025,0.0,0.407
0.028,186000,0.47989,0.0,0.437
0.023,187000,0.48179,0.0,0.437
0.021,188000,0.47295,0.0,0.429
0.025,189000,0.45887,0.0,0.416
0.022,190000,0.45161,0.0,0.408
0.025,191000,0.46421,0.0,0.42
0.027,192000,0.46963,0.0,0.425
0.024,193000,0.4689,0.0,0.424
0.017,194000,0.47983,0.0,0.435
0.029,195000,0.43829,0.0,0.394
0.02,196000,0.46658,0.0,0.421
0.023,197000,0.45877,0.0,0.414
0.013,198000,0.49108,0.0,0.446
0.023,199000,0.47588,0.0,0.43
0.026,200000,0.47377,0.0,0.43
0.026,201000,0.45993,0.0,0.416
0.025,202000,0.46743,0.0,0.423
0.022,203000,0.46651,0.0,0.423
0.021,204000,0.45611,0.0,0.413
0.019,205000,0.45384,0.0,0.41
0.024,206000,0.47534,0.0,0.429
0.019,207000,0.46608,0.0,0.42
0.028,208000,0.45109,0.0,0.405
0.029,209000,0.47194,0.0,0.427
