loss_train,avg_diff,step_idx,avg_score,avg_winning
0.024,0.021,159000,0.49134,0.447
0.019,0.022,160000,0.50167,0.458
0.021,0.019,161000,0.47074,0.427
0.018,0.025,162000,0.48018,0.436
0.021,0.027,163000,0.48702,0.443
0.023,0.022,164000,0.49374,0.45
0.016,0.022,165000,0.50975,0.467
0.024,0.028,166000,0.48935,0.447
0.019,0.016,167000,0.49177,0.449
0.022,0.012,168000,0.49398,0.451
0.021,0.019,169000,0.48431,0.444
0.033,0.026,170000,0.50085,0.457
0.024,0.02,171000,0.51817,0.473
0.02,0.017,172000,0.50302,0.457
0.012,0.023,173000,0.49726,0.452
0.023,0.013,174000,0.50519,0.461
0.018,0.027,175000,0.50196,0.457
0.025,0.028,176000,0.5026,0.457
0.018,0.028,177000,0.4961,0.451
0.017,0.021,178000,0.49628,0.451
0.013,0.014,179000,0.49022,0.445
0.012,0.023,180000,0.49244,0.447
0.017,0.014,181000,0.49321,0.448
0.01,0.016,182000,0.48878,0.444
0.022,0.027,183000,0.4996,0.454
0.018,0.017,184000,0.49046,0.448
0.023,0.018,185000,0.48302,0.44
0.032,0.021,186000,0.49619,0.451
0.023,0.023,187000,0.48341,0.438
0.023,0.023,188000,0.48284,0.438
0.017,0.016,189000,0.48391,0.439
0.014,0.019,190000,0.47118,0.426
0.013,0.021,191000,0.50255,0.457
0.02,0.019,192000,0.45428,0.41
0.002,0.026,193000,0.48835,0.443
0.001,0.01,194000,0.47799,0.435
0.017,0.015,195000,0.47836,0.433
0.014,0.026,196000,0.48336,0.438
0.014,0.018,197000,0.49334,0.449
0.017,0.012,198000,0.47534,0.431
0.019,0.036,199000,0.46712,0.423
0.033,0.015,200000,0.49142,0.446
0.01,0.015,201000,0.48865,0.445
0.035,0.024,202000,0.49403,0.449
0.021,0.02,203000,0.47852,0.433
0.022,0.022,204000,0.47205,0.44
0.028,0.019,205000,0.48766,0.443
0.027,0.013,206000,0.49459,0.447
0.03,0.022,207000,0.49615,0.45
0.012,0.025,208000,0.48945,0.443
0.024,0.02,209000,0.48291,0.438
0.023,0.021,210000,0.48284,0.438
0.01,0.013,211000,0.47205,0.427
0.01,0.021,212000,0.46551,0.42
0.022,0.023,213000,0.49331,0.449
0.034,0.022,214000,0.47983,0.435
0.017,0.022,215000,0.47811,0.434
0.012,0.023,216000,0.47847,0.434
0.015,0.019,217000,0.47111,0.427
0.015,0.023,218000,0.5034,0.457
0.017,0.02,219000,0.48021,0.435
0.017,0.015,220000,0.47565,0.431
0.019,0.028,221000,0.47741,0.434
0.015,0.019,222000,0.47708,0.432
0.009,0.027,223000,0.47563,0.432
0.031,0.03,224000,0.45765,0.414
0.008,0.026,225000,0.48561,0.44
0.015,0.015,226000,0.47849,0.451
0.025,0.027,227000,0.47142,0.427
0.002,0.026,228000,0.48462,0.438
0.026,0.03,229000,0.46704,0.422
0.006,0.032,230000,0.48645,0.441
0.019,0.027,231000,0.48899,0.444
0.025,0.021,232000,0.47229,0.427
0.023,0.025,233000,0.48857,0.445
0.029,0.024,234000,0.48041,0.436
0.03,0.028,235000,0.47587,0.431
0.016,0.026,236000,0.47331,0.429
0.031,0.023,237000,0.49075,0.445
0.025,0.026,238000,0.4561,0.413
0.007,0.033,239000,0.47041,0.426
0.021,0.02,240000,0.47743,0.433
0.014,0.03,241000,0.46853,0.423
0.016,0.019,242000,0.46812,0.423
0.026,0.019,243000,0.46703,0.423
0.024,0.02,244000,0.48848,0.443
0.015,0.029,245000,0.46855,0.424
0.018,0.014,246000,0.4979,0.452
0.019,0.017,247000,0.4074,0.389
0.056,0.023,248000,0.51593,0.473
0.018,0.026,249000,0.52427,0.487
0.033,0.024,250000,0.51516,0.471
0.025,0.021,251000,0.493,0.447
0.023,0.028,252000,0.4709,0.427
-0.003,0.02,253000,0.50616,0.46
0.02,0.025,254000,0.46971,0.426
0.018,0.018,255000,0.50721,0.461
0.034,0.022,256000,0.50428,0.458
0.019,0.024,257000,0.50365,0.458
0.004,0.022,258000,0.49412,0.449
0.007,0.026,259000,0.49488,0.451
0.019,0.035,260000,0.47574,0.433
0.015,0.019,261000,0.49766,0.453
0.016,0.024,262000,0.50974,0.464
0.017,0.032,263000,0.50939,0.463
0.017,0.023,264000,0.50475,0.458
0.021,0.027,265000,0.50693,0.461
0.008,0.028,266000,0.50122,0.456
0.014,0.027,267000,0.50481,0.461
0.015,0.038,268000,0.48357,0.439
0.009,0.02,269000,0.50357,0.458
0.017,0.031,270000,0.52212,0.476
0.017,0.029,271000,0.48223,0.437
0.008,0.021,272000,0.51853,0.471
0.023,0.027,273000,0.50673,0.46
0.018,0.022,274000,0.48155,0.437
0.009,0.019,275000,0.49015,0.444
0.01,0.034,276000,0.45834,0.416
0.014,0.03,277000,0.49367,0.448
0.015,0.027,278000,0.49662,0.45
0.009,0.023,279000,0.50214,0.456
0.009,0.034,280000,0.50194,0.456
0.025,0.036,281000,0.45733,0.414
0.017,0.033,282000,0.4925,0.448
0.008,0.036,283000,0.47614,0.432
0.006,0.037,284000,0.46233,0.42
0.016,0.033,285000,0.45082,0.409
0.008,0.022,286000,0.48893,0.445
0.014,0.037,287000,0.50942,0.464
0.028,0.027,288000,0.50796,0.461
0.017,0.031,289000,0.47612,0.431
0.021,0.038,290000,0.49487,0.449
0.023,0.033,291000,0.48227,0.438
0.008,0.027,292000,0.48619,0.441
0.027,0.024,293000,0.51529,0.469
0.01,0.02,294000,0.52606,0.481
0.033,0.038,295000,0.48692,0.442
0.017,0.026,296000,0.48717,0.443
0.017,0.023,297000,0.52146,0.476
0.015,0.023,298000,0.53291,0.487
0.019,0.028,299000,0.48262,0.436
0.011,0.024,300000,0.48921,0.444
0.01,0.027,301000,0.49012,0.444
0.005,0.032,302000,0.46767,0.422
0.026,0.028,303000,0.48309,0.438
0.004,0.032,304000,0.46306,0.419
0.008,0.032,305000,nan,0.459
0.027,0.02,306000,0.48927,0.444
0.013,0.032,307000,0.47417,0.429
0.007,0.035,308000,0.47007,0.426
0.017,0.033,309000,0.48545,0.44
0.024,0.038,310000,0.47577,0.431
0.019,0.023,311000,0.50008,0.453
0.021,0.026,312000,0.50692,0.46
0.018,0.018,313000,0.5083,0.462
0.036,0.024,314000,0.49579,0.45
0.023,0.022,315000,0.48181,0.436
0.026,0.021,316000,nan,0.434
0.022,0.024,317000,0.4602,0.415
0.011,0.035,318000,0.47788,0.432
0.026,0.028,319000,0.51067,0.465
0.028,0.033,320000,0.46732,0.423
0.017,0.025,321000,0.45434,0.41
0.027,0.03,322000,0.46273,0.417
0.016,0.018,323000,0.49788,0.452
0.02,0.038,324000,0.44903,0.404
0.013,0.035,325000,0.4729,0.428
0.019,0.033,326000,0.44978,0.405
0.007,0.019,327000,0.4819,0.436
0.022,0.02,328000,nan,0.443
0.027,0.018,329000,0.49297,0.448
0.018,0.035,330000,0.45065,0.407
0.013,0.041,331000,0.48965,0.446
0.019,0.02,332000,0.52223,0.48
0.029,0.011,333000,0.49629,0.455
0.023,0.031,334000,0.49865,0.458
0.025,0.03,335000,0.46714,0.425
0.01,0.02,336000,0.47561,0.432
0.016,0.035,337000,0.48257,0.439
0.028,0.016,338000,0.50736,0.468
0.035,0.013,339000,0.43398,0.391
0.021,0.025,340000,0.4774,0.435
0.023,0.013,341000,0.50314,0.464
0.007,0.015,342000,0.53641,0.499
0.028,0.033,343000,0.4771,0.433
0.007,0.021,344000,0.48684,0.445
0.027,0.025,345000,0.49857,0.454
0.013,0.025,346000,0.50981,0.465
0.024,0.031,347000,0.49086,0.444
0.008,0.025,348000,0.50416,0.458
0.018,0.032,349000,0.48769,0.442
0.011,0.023,350000,0.4777,0.434
0.014,0.025,351000,0.4936,0.452
0.049,0.025,352000,0.47278,0.428
0.017,0.026,353000,0.45311,0.408
0.011,0.013,354000,0.46856,0.424
0.011,0.037,355000,0.48338,0.438
0.023,0.025,356000,0.50311,0.46
0.011,0.044,357000,0.47483,0.429
