avg_winning,avg_score,loss_train,step_idx,avg_diff
0.423,0.46503,0.028,159000,0.032
0.418,0.46004,0.02,160000,0.027
0.426,0.46757,0.015,161000,0.018
0.413,0.45463,0.017,162000,0.028
0.42,0.46128,0.02,163000,0.024
0.405,0.44568,0.01,164000,0.03
0.411,0.45228,0.02,165000,0.03
0.404,0.4453,0.01,166000,0.029
0.396,0.43647,0.013,167000,0.033
0.404,0.4453,0.005,168000,0.018
0.391,0.4322,0.012,169000,0.025
0.393,0.43396,0.017,170000,0.014
0.408,0.45039,0.013,171000,0.035
0.41,0.45214,0.009,172000,0.023
0.404,0.44663,0.019,173000,0.029
0.328,0.32781,0.002,174000,0.019
0.434,0.46954,0.048,175000,0.021
0.437,0.47657,0.039,176000,0.027
0.423,0.46511,0.034,177000,0.03
0.414,0.45549,0.017,178000,0.026
0.434,0.47624,0.022,179000,0.032
0.429,0.47142,0.012,180000,0.022
0.416,0.45832,0.017,181000,0.028
0.389,0.43,0.002,182000,0.027
0.408,0.45038,0.01,183000,0.031
0.455,0.49661,0.012,184000,0.029
0.43,0.47301,0.016,185000,0.023
0.426,0.46834,0.023,186000,0.027
0.434,0.4765,0.013,187000,0.025
0.443,0.4852,0.014,188000,0.025
0.444,0.48581,0.011,189000,0.026
0.431,0.47364,0.001,190000,0.029
0.438,0.47973,0.008,191000,0.033
0.43,0.47276,0.022,192000,0.024
0.447,0.49022,0.014,193000,0.037
0.413,0.45591,0.014,194000,0.029
0.425,0.4683,0.018,195000,0.029
0.389,0.42999,0.019,196000,0.023
0.458,0.50116,0.021,197000,0.026
0.434,0.47742,0.017,198000,0.018
0.423,0.46703,0.021,199000,0.024
0.415,0.45822,0.016,200000,0.02
0.418,0.46073,0.007,201000,0.023
0.442,0.48579,0.006,202000,0.03
0.439,0.48207,0.025,203000,0.023
0.446,0.48917,0.009,204000,0.022
0.445,0.48198,0.012,205000,0.027
0.443,0.4853,0.013,206000,0.02
0.452,0.49475,0.023,207000,0.023
0.443,0.48626,0.02,208000,0.019
0.431,0.47435,0.01,209000,0.022
0.463,0.50603,0.003,210000,0.027
0.467,0.50909,0.015,211000,0.026
0.473,0.514,0.026,212000,0.023
0.454,0.49537,0.014,213000,0.034
0.46,0.502,0.019,214000,0.022
0.424,0.46582,0.013,215000,0.036
0.417,0.45907,0.018,216000,0.027
0.432,0.47373,0.013,217000,0.026
0.436,0.47753,0.012,218000,0.028
0.419,0.46054,0.013,219000,0.029
0.427,0.46789,0.022,220000,0.035
0.434,0.4765,0.023,221000,0.015
0.445,0.48598,0.022,222000,0.022
0.405,0.44694,0.019,223000,0.025
0.474,0.51243,0.019,224000,0.019
0.46,0.50141,0.022,225000,0.032
0.398,0.43946,0.013,226000,0.023
0.446,0.48913,0.011,227000,0.038
0.472,0.51545,0.029,228000,0.026
0.451,0.49318,0.025,229000,0.026
0.461,0.50269,0.02,230000,0.024
0.467,0.50325,0.015,231000,0.022
0.473,0.51413,0.025,232000,0.022
0.463,0.50509,0.019,233000,0.024
0.429,0.47076,0.028,234000,0.028
0.447,0.48877,0.021,235000,0.024
0.451,0.49316,0.014,236000,0.028
0.465,0.5048,0.014,237000,0.016
0.442,0.48398,0.016,238000,0.024
0.39,0.43066,0.013,239000,0.02
0.411,0.45295,-0.001,240000,0.025
0.427,0.46862,0.019,241000,0.017
0.433,0.4748,0.01,242000,0.025
0.465,0.49409,0.001,243000,0.029
0.427,0.4677,0.01,244000,0.022
0.448,0.48776,0.022,245000,0.028
0.446,0.4873,0.018,246000,0.03
0.421,0.46149,0.022,247000,0.022
0.437,0.47728,0.033,248000,0.016
0.45,0.48911,0.022,249000,0.017
0.443,0.48072,0.001,250000,0.019
0.452,0.47951,0.025,251000,0.023
0.434,0.47655,0.022,252000,0.026
0.463,0.50543,0.006,253000,0.021
0.465,0.4998,0.005,254000,0.023
0.43,0.47004,0.022,255000,0.029
0.427,0.46745,0.016,256000,0.027
0.449,0.48885,0.007,257000,0.029
0.438,0.4786,0.022,258000,0.025
0.445,0.48542,0.017,259000,0.024
0.464,0.50556,0.008,260000,0.024
0.43,0.47103,0.022,261000,0.018
0.446,0.48809,0.009,262000,0.023
0.421,0.45975,0.019,263000,0.027
0.448,0.48817,0.018,264000,0.01
0.451,0.48558,-0.001,265000,0.028
0.437,0.47601,0.022,266000,0.028
0.41,0.44914,0.018,267000,0.029
0.42,0.45934,0.02,268000,0.032
0.396,0.43519,0.019,269000,0.034
0.419,0.45806,0.002,270000,0.023
0.408,0.44771,0.019,271000,0.02
0.396,0.43504,0.015,272000,0.014
0.456,0.49434,0.003,273000,0.019
0.475,0.50483,0.02,274000,0.022
0.435,0.4718,0.028,275000,0.029
0.434,0.47315,0.017,276000,0.016
0.425,0.46096,0.003,277000,0.019
0.464,0.50313,0.019,278000,0.027
0.443,0.48125,0.013,279000,0.028
0.452,0.4861,0.029,280000,0.018
0.454,0.49235,0.021,281000,0.009
0.461,0.4946,0.016,282000,0.016
0.464,0.5028,0.006,283000,0.017
0.451,0.48733,0.023,284000,0.023
0.473,0.51166,0.033,285000,0.014
0.464,0.49376,0.023,286000,0.024
0.444,0.48348,0.035,287000,0.018
0.418,0.45738,0.024,288000,0.027
0.399,0.43773,0.015,289000,0.017
0.423,0.46305,0.012,290000,0.029
0.439,0.48033,0.017,291000,0.017
0.418,0.45808,0.02,292000,0.023
0.462,0.50305,0.014,293000,0.017
0.47,0.50523,0.019,294000,0.022
0.46,0.50115,0.026,295000,0.018
0.427,0.4683,0.018,296000,0.023
0.411,0.45263,0.018,297000,0.021
0.44,0.48157,0.02,298000,0.018
0.455,0.49554,0.013,299000,0.022
0.449,0.48907,0.009,300000,0.026
0.452,0.49171,0.016,301000,0.019
0.447,0.48612,0.009,302000,0.026
0.424,0.46449,0.014,303000,0.018
0.449,0.4857,0.021,304000,0.019
0.461,0.49655,0.023,305000,0.022
0.396,0.43475,0.021,306000,0.031
0.399,0.43791,0.013,307000,0.02
0.39,0.42936,0.016,308000,0.027
0.412,0.45122,0.007,309000,0.016
0.411,0.45118,0.011,310000,0.026
0.387,0.42626,0.017,311000,0.029
0.426,0.46589,0.015,312000,0.023
0.427,0.46504,0.012,313000,0.016
0.4,0.43964,0.014,314000,0.023
0.381,0.41939,0.011,315000,0.031
0.453,0.49228,0.014,316000,0.019
0.432,0.4718,0.026,317000,0.02
0.433,0.47296,0.009,318000,0.026
0.436,0.47546,0.023,319000,0.032
0.431,0.47084,0.018,320000,0.027
0.421,0.46149,0.019,321000,0.024
0.439,0.47908,0.011,322000,0.024
0.45,0.4901,0.022,323000,0.027
0.42,0.46093,0.021,324000,0.022
0.417,0.4576,0.014,325000,0.028
0.451,0.49196,0.007,326000,0.031
0.424,0.46554,0.026,327000,0.016
0.446,0.48806,0.017,328000,0.02
0.461,0.50216,0.005,329000,0.019
0.438,0.47871,0.005,330000,0.017
0.43,0.47151,0.003,331000,0.022
0.418,0.45955,0.025,332000,0.03
0.413,0.45382,0.012,333000,0.024
0.439,0.47953,0.019,334000,0.023
0.436,0.47552,0.014,335000,0.021
