loss_train,avg_diff,avg_winning,avg_score,step_idx
0.029,0.022,0.141,0.16165,1000
0.028,0.037,0.181,0.19608,2000
0.036,0.025,0.198,0.2095,3000
0.033,0.023,0.202,0.21404,4000
0.035,0.019,0.201,0.21502,5000
0.029,0.017,0.201,0.21629,6000
0.027,0.029,0.213,0.23313,7000
