loss_train,avg_winning,step_idx,avg_diff,avg_score
0.006,0.451,158000,0.031,0.49167
0.009,0.455,159000,0.03,0.49517
0.009,0.456,160000,0.024,0.49581
0.008,0.435,161000,0.021,0.47217
0.002,0.444,162000,0.024,0.48299
0.004,0.448,163000,0.026,0.48607
0.014,0.451,164000,0.022,0.49096
0.007,0.448,165000,0.029,0.48838
0.0,0.461,166000,0.019,0.50169
0.006,0.443,167000,0.025,0.48277
0.007,0.444,168000,0.026,0.48284
0.023,0.441,169000,0.021,0.48003
0.003,0.44,170000,0.023,0.47804
0.016,0.437,171000,0.03,0.47486
0.002,0.439,172000,0.027,0.47559
0.011,0.43,173000,0.019,0.46814
0.009,0.436,174000,0.027,0.47413
0.002,0.424,175000,0.021,0.46297
0.001,0.428,176000,0.029,0.46432
0.003,0.431,177000,0.032,0.46687
0.004,0.432,178000,0.025,0.47112
0.014,0.432,179000,0.022,0.47124
0.004,0.432,180000,0.027,0.4702
0.009,0.431,181000,0.027,0.46923
0.003,0.428,182000,0.032,0.46247
0.021,0.43,183000,0.029,0.46731
0.003,0.441,184000,0.032,0.47423
0.009,0.43,185000,0.027,0.46563
0.013,0.422,186000,0.022,0.45884
0.007,0.43,187000,0.025,0.46318
0.007,0.433,188000,0.028,0.46821
0.003,0.442,189000,0.032,0.47887
0.007,0.424,190000,0.022,0.46098
0.007,0.422,191000,0.029,0.45619
-0.0,0.432,192000,0.03,0.4664
0.005,0.433,193000,0.038,0.4669
0.003,0.436,194000,0.025,0.46902
-0.002,0.442,195000,0.027,0.47667
0.01,0.433,196000,0.024,0.4694
-0.002,0.444,197000,0.021,0.48111
0.0,0.445,198000,0.017,0.47973
0.012,0.444,199000,0.021,0.48154
0.011,0.435,200000,0.025,0.47086
0.004,0.427,201000,0.023,0.46194
0.002,0.441,202000,0.025,0.47861
0.009,0.434,203000,0.028,0.46505
-0.002,0.431,204000,0.035,0.46371
0.008,0.435,205000,0.028,0.47127
-0.004,0.424,206000,0.032,0.45853
0.015,0.423,207000,0.03,0.46117
-0.001,0.419,208000,0.017,0.45347
0.005,0.429,209000,0.025,0.46257
0.004,0.45,210000,0.022,0.48456
0.009,0.442,211000,0.022,0.47642
0.007,0.423,212000,0.022,0.45614
0.008,0.431,213000,0.022,0.46748
-0.001,0.429,214000,0.023,0.46148
0.008,0.429,215000,0.024,0.46491
0.001,0.436,216000,0.031,0.47149
0.005,0.431,217000,0.021,0.4667
0.011,0.435,218000,0.023,0.47036
-0.002,0.426,219000,0.028,0.46037
0.002,0.441,220000,0.028,0.47777
0.002,0.439,221000,0.019,0.47626
-0.008,0.451,222000,0.02,0.48918
0.004,0.431,223000,0.031,0.46767
0.01,0.43,224000,0.029,0.46314
0.015,0.434,225000,0.031,0.47002
0.007,0.434,226000,0.024,0.46833
0.005,0.43,227000,0.032,0.46885
-0.003,0.424,228000,0.028,0.45994
0.011,0.443,229000,0.026,0.48126
0.012,0.438,230000,0.026,0.47731
-0.002,0.427,231000,0.022,0.46381
0.013,0.436,232000,0.023,0.47049
0.022,0.446,233000,0.02,0.48515
0.008,0.459,234000,0.025,0.49946
-0.007,0.425,235000,0.026,0.46211
0.008,0.433,236000,0.029,0.47126
0.016,0.446,237000,0.035,0.48305
0.005,0.448,238000,0.025,0.48543
-0.004,0.429,239000,0.03,0.46554
-0.0,0.441,240000,0.027,0.47712
0.009,0.437,241000,0.023,0.47381
-0.0,0.44,242000,0.025,0.47661
0.012,0.437,243000,0.032,0.47535
0.009,0.435,244000,0.029,0.47367
0.001,0.44,245000,0.025,0.47423
0.018,0.422,246000,0.021,0.45911
0.002,0.426,247000,0.029,0.46354
0.01,0.423,248000,0.031,0.46098
0.007,0.417,249000,0.031,0.45577
0.01,0.416,250000,0.028,0.45296
0.012,0.419,251000,0.032,0.45732
-0.009,0.433,252000,0.029,0.46942
-0.006,0.428,253000,0.029,0.46577
-0.001,0.407,254000,0.03,0.4382
0.015,0.424,255000,0.028,0.46098
0.015,0.43,256000,0.03,0.46762
0.008,0.423,257000,0.032,0.46211
-0.006,0.418,258000,0.03,0.45699
0.003,0.433,259000,0.029,0.47032
-0.004,0.43,260000,0.017,0.4647
-0.004,0.437,261000,0.018,0.46988
0.011,0.437,262000,0.023,0.47243
0.007,0.447,263000,0.03,0.48551
-0.01,0.451,264000,0.017,0.48619
0.014,0.443,265000,0.032,0.4821
0.0,0.424,266000,0.035,0.46277
-0.008,0.438,267000,0.029,0.47599
0.001,0.426,268000,0.028,0.46526
0.006,0.423,269000,0.03,0.4618
0.012,0.428,270000,0.026,0.4669
-0.001,0.435,271000,0.034,0.47385
-0.001,0.441,272000,0.031,0.48038
0.006,0.438,273000,0.025,0.47749
-0.013,0.442,274000,0.023,0.48008
0.003,0.445,275000,0.024,0.48313
0.011,0.437,276000,0.032,0.47596
0.009,0.432,277000,0.026,0.46771
0.005,0.454,278000,0.022,0.49173
0.005,0.432,279000,0.031,0.47111
0.026,0.449,280000,0.016,0.48613
0.011,0.447,281000,0.031,0.48262
0.012,0.452,282000,0.026,0.49093
-0.007,0.434,283000,0.025,0.47291
0.01,0.436,284000,0.022,0.47658
-0.006,0.452,285000,0.021,0.48944
0.014,0.438,286000,0.026,0.47621
