avg_score,loss_train,step_idx,avg_winning,avg_diff
0.43156,0.024,159000,0.419,0.016
0.47502,0.026,160000,0.438,0.019
0.47655,0.021,161000,0.434,0.017
0.4788,0.026,162000,0.44,0.018
0.50425,0.023,163000,0.461,0.01
0.4663,0.014,164000,0.422,0.016
0.48917,0.024,165000,0.446,0.02
0.44872,0.019,166000,0.405,0.018
0.49885,0.003,167000,0.457,0.015
0.50291,0.021,168000,0.463,0.025
0.46401,0.027,169000,0.432,0.024
0.50355,0.026,170000,0.46,0.015
0.48662,0.022,171000,0.447,0.022
0.46864,0.012,172000,0.425,0.019
0.47567,0.022,173000,0.435,0.013
0.47506,0.023,174000,0.435,0.019
