avg_diff,step_idx,avg_winning,loss_train,avg_score dropout=0.1
0.024,159000,0.47,0.027,0.51407
0.036,160000,0.45,0.027,0.49743
0.03,161000,0.451,0.022,0.49879
0.017,162000,0.465,0.022,0.51057
0.027,163000,0.442,0.019,0.48901
0.03,164000,0.453,0.023,0.49965
0.025,165000,0.463,0.014,0.50618
0.03,166000,0.443,0.03,0.49042
0.023,167000,0.487,0.029,0.53482
0.034,168000,0.445,0.024,0.49215
0.02,169000,0.449,0.015,0.49468
0.022,170000,0.44,0.023,0.48419
0.014,171000,0.436,0.032,0.47339
0.031,172000,0.441,0.019,0.48821
0.028,173000,0.469,0.022,0.51689
0.038,174000,0.431,0.019,0.47687
0.021,175000,0.424,0.009,0.46911
0.022,176000,0.435,0.032,0.4815
0.021,177000,0.449,0.02,0.49244
0.03,178000,0.426,0.025,0.47047
0.019,179000,0.445,0.022,0.49037
0.028,180000,0.46,0.02,0.50592
0.02,181000,0.447,0.017,0.49338
0.032,182000,0.444,0.019,0.49018
0.03,183000,0.466,0.016,0.51297
0.023,184000,0.468,0.017,0.51394
0.029,185000,0.44,0.015,0.48609
0.035,186000,0.451,0.021,0.49789
0.035,187000,0.458,0.016,0.50456
0.022,188000,0.457,0.021,0.50001
0.023,189000,0.456,0.026,0.50294
0.033,190000,0.465,0.012,0.51271
0.017,191000,0.478,0.027,0.52602
0.032,192000,0.49,0.021,0.53801
0.029,193000,0.454,0.015,0.50003
0.033,194000,0.473,0.023,0.51648
0.016,195000,0.46,0.025,0.50769
0.025,196000,0.448,0.019,0.49452
0.021,197000,0.479,0.022,0.52529
0.025,198000,0.461,0.031,0.50853
0.021,199000,0.455,0.014,0.50161
0.028,200000,0.462,0.016,0.50683
0.02,201000,0.45,0.023,0.49476
0.024,202000,0.458,0.023,0.50347
0.038,203000,0.443,0.023,0.48959
0.02,204000,0.438,0.019,0.4689
0.034,205000,0.462,0.021,0.50909
0.029,206000,0.463,0.019,0.51033
0.021,207000,0.456,0.022,0.50251
0.024,208000,0.474,0.018,0.52173
0.017,209000,0.45,0.02,0.4964
0.015,210000,0.436,0.018,0.48185
0.021,211000,0.444,0.018,0.48965
0.02,212000,0.46,0.017,0.50499
0.026,213000,0.472,0.017,0.51799
0.029,214000,0.451,0.02,0.4981
0.032,215000,0.473,0.02,0.51872
0.019,216000,0.443,0.026,0.48807
0.035,217000,0.441,0.013,0.48726
0.025,218000,0.458,0.024,0.50321
0.032,219000,0.466,0.025,0.50876
0.026,220000,0.468,0.017,0.51134
0.024,221000,0.463,0.022,0.50966
0.032,222000,0.456,0.022,0.49566
0.024,223000,0.454,0.023,0.49833
0.029,224000,0.46,0.021,0.50632
0.024,225000,0.445,0.018,0.48714
0.027,226000,0.459,0.01,0.50365
0.029,227000,0.466,0.016,0.51154
0.031,228000,0.46,0.019,0.50552
0.028,229000,0.462,0.028,0.50775
0.022,230000,0.453,0.01,0.49926
0.024,231000,0.46,0.014,0.50427
0.017,232000,0.468,0.016,0.51357
0.016,233000,0.458,0.014,0.50252
0.036,234000,0.469,0.007,0.51065
0.027,235000,0.459,0.026,0.5011
0.023,236000,0.474,0.013,0.51844
0.027,237000,0.459,0.031,0.50522
0.027,238000,0.458,0.022,0.50293
0.019,239000,0.444,0.016,0.48971
0.017,240000,0.483,0.016,0.52889
0.024,241000,0.447,0.023,0.49251
0.019,242000,0.453,0.009,0.49848
0.024,243000,0.452,0.024,0.49707
0.024,244000,0.458,0.014,0.503
0.024,245000,0.477,0.022,0.52017
0.031,246000,0.444,0.024,0.4884
0.015,247000,0.475,0.009,0.51918
0.027,248000,0.454,0.023,0.49767
0.024,249000,0.461,0.022,0.50053
0.017,250000,0.437,0.021,0.4798
0.026,251000,0.464,0.011,0.50874
0.019,252000,0.465,0.009,0.50732
0.023,253000,0.462,0.027,0.50464
0.023,254000,0.469,0.011,0.51071
0.021,255000,0.462,0.011,0.50545
0.028,256000,0.459,0.017,0.50266
0.019,257000,0.47,0.014,0.51288
0.027,258000,0.44,0.015,0.47958
0.018,259000,0.459,0.01,0.50126
0.024,260000,0.469,0.021,0.51331
0.024,261000,0.447,0.02,0.4913
0.029,262000,0.47,0.018,0.51399
0.019,263000,0.457,0.011,0.50048
0.026,264000,0.469,0.016,0.51062
0.027,265000,0.463,0.017,0.50718
0.022,266000,0.459,0.009,0.49772
0.017,267000,0.464,0.016,0.50809
0.029,268000,0.47,0.018,0.51123
0.03,269000,0.454,0.019,0.49688
0.022,270000,0.461,0.023,0.5021
0.037,271000,0.45,0.012,0.49009
0.015,272000,0.442,0.026,0.48665
0.02,273000,0.437,0.019,0.48205
0.021,274000,0.449,0.02,0.49088
0.026,275000,0.464,0.015,0.50759
0.016,276000,0.437,0.023,0.47994
0.026,277000,0.456,0.015,0.49728
0.019,278000,0.463,0.013,0.50503
0.024,279000,0.453,0.013,0.49548
0.033,280000,0.452,0.013,0.4923
0.026,281000,0.45,0.017,0.49196
0.028,282000,0.441,0.017,0.48258
0.027,283000,0.452,0.018,0.49472
0.029,284000,0.459,0.004,0.50284
0.027,285000,0.454,0.014,0.49758
0.026,286000,0.463,0.019,0.50745
0.025,287000,0.448,0.017,0.49327
0.023,288000,0.46,0.011,0.50361
0.023,289000,0.458,0.019,0.50157
0.03,290000,0.436,0.023,0.48019
0.025,291000,0.452,0.014,0.49418
0.023,292000,0.457,0.008,0.49957
0.02,293000,0.46,0.009,0.50268
0.019,294000,0.473,0.03,0.51667
0.016,295000,0.452,0.009,0.49654
0.022,296000,0.456,0.017,0.50061
0.014,297000,0.447,0.01,0.49065
0.025,298000,0.46,0.01,0.50491
0.021,299000,0.457,0.004,0.50123
0.021,300000,0.469,0.022,0.51321
0.03,301000,0.448,0.006,0.48481
0.026,302000,0.454,0.013,0.4911
0.018,303000,0.465,0.029,0.50926
0.029,304000,0.445,0.031,0.49117
0.015,305000,0.452,0.014,0.49534
0.018,306000,0.457,0.024,0.50296
0.02,307000,0.452,0.007,0.49741
0.025,308000,0.443,0.015,0.48804
0.016,309000,0.448,0.026,0.49363
0.017,310000,0.456,0.011,0.50237
