step_idx,avg_score,loss_train,avg_winning,avg_diff
159000,0.49886,0.03,0.46,0.024
160000,0.48855,0.021,0.449,0.016
161000,0.48743,0.016,0.447,0.02
162000,0.47485,0.022,0.433,0.022
163000,0.49424,0.015,0.454,0.02
164000,0.49378,0.024,0.457,0.019
165000,0.49666,0.019,0.455,0.023
166000,0.49528,0.031,0.456,0.022
167000,0.49858,0.024,0.458,0.025
168000,0.51205,0.027,0.471,0.022
169000,0.50581,0.026,0.468,0.011
170000,0.51041,0.015,0.471,0.019
171000,0.5141,0.016,0.475,0.02
172000,0.50286,0.011,0.47,0.013
173000,0.50054,0.016,0.463,0.018
174000,0.47552,0.013,0.435,0.023
175000,0.50904,0.016,0.47,0.014
176000,0.49946,0.01,0.461,0.017
177000,0.49047,0.016,0.45,0.019
178000,0.48477,0.022,0.444,0.02
179000,0.51855,0.017,0.479,0.012
180000,0.49961,0.03,0.466,0.017
181000,0.4808,0.044,0.443,0.017
182000,0.4951,0.023,0.456,0.026
183000,0.48331,0.016,0.445,0.018
184000,0.49378,0.02,0.465,0.013
185000,0.46794,0.029,0.429,0.012
186000,0.49083,0.023,0.452,0.012
187000,0.48033,0.022,0.44,0.024
188000,0.49798,0.016,0.459,0.014
189000,0.4816,0.015,0.442,0.022
190000,0.47585,0.02,0.439,0.022
191000,0.49889,0.033,0.461,0.015
192000,0.49443,0.024,0.453,0.022
193000,0.49636,0.024,0.455,0.025
194000,0.4689,0.023,0.427,0.024
195000,0.47713,0.019,0.434,0.027
196000,0.4992,0.02,0.458,0.015
197000,0.49741,0.021,0.456,0.026
198000,0.48802,0.008,0.446,0.019
199000,0.49324,0.021,0.452,0.019
200000,0.48665,0.024,0.452,0.021
201000,0.49957,0.015,0.461,0.016
202000,0.49903,0.01,0.461,0.018
203000,0.50642,0.028,0.472,0.013
204000,0.50051,0.034,0.459,0.012
205000,0.51477,0.02,0.472,0.02
206000,0.48956,0.012,0.451,0.018
207000,0.49624,0.031,0.453,0.023
208000,0.49247,0.02,0.45,0.017
209000,0.48957,0.033,0.446,0.031
210000,0.48639,0.019,0.442,0.018
211000,0.4951,0.022,0.451,0.016
212000,0.50386,0.008,0.459,0.017
213000,0.4905,0.014,0.448,0.024
214000,0.50081,0.025,0.456,0.022
215000,0.50632,0.021,0.462,0.013
216000,0.48703,0.017,0.443,0.018
217000,0.48627,0.011,0.445,0.015
218000,0.50289,0.021,0.46,0.012
219000,0.48908,0.021,0.45,0.022
220000,0.51387,0.026,0.47,0.013
221000,0.50132,0.018,0.458,0.008
222000,0.49909,0.02,0.456,0.022
223000,0.49968,0.02,0.455,0.017
224000,0.49997,0.013,0.455,0.019
225000,0.49044,0.017,0.448,0.016
226000,0.50488,0.015,0.46,0.02
227000,0.50001,0.022,0.456,0.022
228000,0.50006,0.024,0.454,0.013
229000,0.5178,0.022,0.473,0.016
230000,0.48865,0.02,0.447,0.018
231000,0.49945,0.034,0.456,0.01
232000,0.49415,0.032,0.45,0.013
233000,0.48269,0.016,0.441,0.031
234000,0.49419,0.014,0.454,0.016
235000,0.49354,0.023,0.45,0.019
236000,0.47807,0.029,0.434,0.017
237000,0.48055,0.021,0.436,0.02
238000,0.48907,0.011,0.449,0.019
239000,0.49478,0.027,0.452,0.017
240000,0.49834,0.025,0.454,0.016
241000,0.47695,0.028,0.435,0.023
242000,0.50114,0.013,0.459,0.022
243000,0.4989,0.025,0.459,0.022
244000,0.48801,0.009,0.447,0.02
