avg_score,step_idx,avg_diff,avg_winning,loss_train
0.50715,159000,0.017,0.461,0.011
0.51179,160000,0.017,0.465,0.021
0.50694,161000,0.014,0.459,0.028
0.50261,162000,0.015,0.455,0.021
0.51451,163000,0.02,0.468,0.013
0.52008,164000,0.021,0.473,0.025
0.49603,165000,0.013,0.451,0.016
0.49388,166000,0.014,0.447,0.025
0.49107,167000,0.021,0.451,0.017
0.4899,168000,0.022,0.446,0.026
0.49327,169000,0.016,0.446,0.023
0.50178,170000,0.02,0.458,0.015
0.50493,171000,0.018,0.462,0.016
0.50771,172000,0.015,0.461,0.031
0.46977,173000,0.023,0.427,0.009
0.50134,174000,0.017,0.457,0.023
0.48103,175000,0.025,0.449,0.005
0.488,176000,0.022,0.442,0.022
0.50933,177000,0.019,0.463,0.024
0.50291,178000,0.027,0.457,0.018
0.4882,179000,0.013,0.442,0.014
0.4894,180000,0.021,0.445,0.009
0.50214,181000,0.016,0.457,0.027
0.49725,182000,0.016,0.451,0.023
0.4775,183000,0.016,0.433,0.016
0.49686,184000,0.023,0.453,0.006
0.4832,185000,0.018,0.438,0.017
0.48472,186000,0.02,0.44,0.009
0.47627,187000,0.022,0.435,0.014
0.46242,188000,0.024,0.422,0.013
0.50768,189000,0.019,0.463,0.019
0.51866,190000,0.012,0.474,0.015
0.49026,191000,0.024,0.445,0.013
0.4955,192000,0.023,0.454,0.006
0.50037,193000,0.015,0.455,0.021
0.48746,194000,0.027,0.442,0.024
0.4977,195000,0.014,0.451,0.021
0.48711,196000,0.027,0.442,0.01
0.51533,197000,0.011,0.469,0.016
0.5144,198000,0.018,0.469,0.013
0.49911,199000,0.024,0.455,0.018
0.50388,200000,0.017,0.459,0.02
0.4981,201000,0.025,0.454,0.011
0.49701,202000,0.016,0.451,0.022
0.49458,203000,0.017,0.45,0.007
0.51284,204000,0.029,0.465,0.012
0.49535,205000,0.024,0.448,0.014
0.50893,206000,0.023,0.461,0.004
0.51029,207000,0.026,0.467,0.007
0.5047,208000,0.019,0.456,0.013
0.50218,209000,0.018,0.453,0.015
0.51322,210000,0.031,0.465,0.003
0.48594,211000,0.02,0.438,0.027
0.50484,212000,0.021,0.458,0.025
0.49994,213000,0.014,0.451,0.018
0.48502,214000,0.019,0.44,0.016
0.50457,215000,0.022,0.456,0.014
0.49777,216000,0.022,0.451,0.012
0.4953,217000,0.016,0.446,0.015
0.53146,218000,0.022,0.486,0.005
0.50886,219000,0.027,0.468,0.012
0.49965,220000,0.014,0.452,0.022
0.50085,221000,0.027,0.455,0.005
0.49652,222000,0.03,0.449,0.023
0.49689,223000,0.02,0.45,0.015
0.4827,224000,0.021,0.437,0.003
0.51651,225000,0.02,0.468,0.01
0.51514,226000,0.021,0.471,0.019
0.48598,227000,0.023,0.439,0.015
0.50435,228000,0.021,0.459,0.022
0.51176,229000,0.02,0.467,0.014
0.49686,230000,0.013,0.451,0.019
0.53051,231000,0.018,0.493,-0.001
0.49792,232000,0.022,0.452,0.02
0.50238,233000,0.013,0.459,0.022
0.50545,234000,0.018,0.458,0.008
0.49355,235000,0.02,0.447,0.022
0.51588,236000,0.022,0.472,0.016
0.47425,237000,0.01,0.428,0.015
0.48641,238000,0.017,0.44,0.016
0.49679,239000,0.018,0.451,0.01
0.53496,240000,0.012,0.489,0.024
0.4978,241000,0.021,0.452,0.019
0.49403,242000,0.023,0.449,0.011
0.48365,243000,0.014,0.437,0.023
0.5073,244000,0.023,0.462,0.016
0.49105,245000,0.026,0.445,0.008
0.50064,246000,0.027,0.455,0.015
0.49442,247000,0.012,0.447,0.017
0.53663,248000,0.013,0.495,0.01
0.51592,249000,0.016,0.469,0.018
0.49914,250000,0.017,0.453,0.01
0.51018,251000,0.026,0.464,0.011
0.50519,252000,0.012,0.459,0.022
0.53413,253000,0.017,0.489,0.01
0.51579,254000,0.018,0.471,0.031
0.48965,255000,0.02,0.444,0.007
