step_idx,loss_train,avg_diff,avg_score,avg_winning
150,0.027,-0.2692,6.6045,0.655
300,0.057,-0.04797,6.35418,0.63
450,0.097,-0.10459,6.75652,0.67
600,0.136,-0.13433,6.85611,0.68
750,0.161,-0.10976,6.6018,0.655
900,0.174,0.06344,3.05843,0.305
1050,0.167,-0.03044,2.50516,0.25
1200,0.169,-0.013,2.50384,0.25
1350,0.18,-0.0177,2.40327,0.24
1500,0.176,-0.07797,2.50477,0.25
1650,0.196,0.00253,2.45338,0.245
